image_index,image datetime,area_px,intensity_sum,mean_intensity,centroid_row,centroid_col,w_centroid_row,w_centroid_col
34,52:24.4,19,248703.02,13089.633,384.4736842,272.3684211,384.3991258,272.4263236
35,53:56.4,23,339595.94,14765.044,382.173913,278,382.0817242,278.064901
36,55:28.4,67,999017.6,14910.712,386.2985075,278.5820896,386.1990567,278.7172539
37,57:00.4,44,831543.2,18898.709,331.5227273,568.9318182,331.530065,568.9346648
37,57:00.4,38,568340.25,14956.322,386.9736842,279.0526316,386.8297626,279.2628576
37,57:00.4,28,544981.4,19463.621,412.8214286,537.0357143,412.8143893,537.0343334
37,57:00.4,19,366692.16,19299.588,425.2631579,525.2631579,425.2656412,525.2651084
37,57:00.4,17,304426.47,17907.44,634.3529412,167.3529412,634.3778421,167.3440468
38,58:32.4,18,331494.12,18416.34,309.7777778,337.8333333,309.7853043,337.8355767
38,58:32.4,21,394620.44,18791.45,329.7142857,566.4761905,329.7226881,566.4711366
38,58:32.4,47,703837.56,14975.268,387.3404255,279.0212766,387.2607879,279.1582523
39,00:04.4,22,405734.2,18442.46,307.9545455,336.9090909,307.9602933,336.8969103
39,00:04.4,46,829885.8,18040.998,351.6956522,117.7391304,351.6927649,117.7289002
39,00:04.4,74,1.09E+06,14753.466,388.7837838,277.3108108,388.6473051,277.5467502
39,00:04.4,36,635765.3,17660.148,632.1388889,125.3611111,632.146521,125.3560271
40,01:36.4,74,1.37E+06,18541.357,306.7837838,338.4864865,306.8006811,338.4812811
40,01:36.4,58,863462.4,14887.282,386.3275862,278.7758621,386.2234971,278.9311784
40,01:36.4,43,761145.8,17701.064,632.372093,125.8604651,632.3814458,125.8607592
41,03:08.4,48,707926.25,14748.464,386.7291667,278.5416667,386.6170817,278.6544024
41,03:08.4,52,917862,17651.193,630.9807692,125.9615385,630.9809804,125.9643866
42,04:40.4,52,921307.5,17717.451,631.4807692,126.0192308,631.4821021,126.0209157
42,04:40.4,17,305325.12,17960.303,632.1176471,166.4705882,632.1101621,166.4745407
43,06:12.4,45,702081.44,15601.812,384.5555556,280.5111111,384.5656238,280.5666319
43,06:12.4,19,336889.44,17731.023,620.0526316,134.3157895,620.0527806,134.3200632
43,06:12.4,99,1.76E+06,17758.219,631.5353535,125.8787879,631.5421647,125.8900935
44,07:44.4,76,1.17E+06,15359.034,385.5,279.8421053,385.4152591,279.9863065
44,07:44.4,16,292672.9,18292.057,577.5625,129.5,577.5507834,129.505291
44,07:44.4,22,414506.97,18841.227,586.2727273,174.7272727,586.2727901,174.7237018
44,07:44.4,20,363313.66,18165.684,587.75,132.1,587.7466586,132.1059383
45,09:16.4,19,337365.3,17756.07,366.6315789,74.73684211,366.6254588,74.75111243
45,09:16.4,43,647957.9,15068.788,386.3023256,279.4186047,386.2264403,279.4896009
46,10:48.4,58,871585.94,15027.344,385.7758621,279.137931,385.7060012,279.2241289
46,10:48.4,43,807392.6,18776.57,453.744186,321.0465116,453.7305867,321.0430092
46,10:48.4,20,375140.56,18757.027,586.45,178.1,586.4526172,178.1023228
46,10:48.4,26,477066.25,18348.701,620.7692308,165.5769231,620.7609349,165.567849
46,10:48.4,25,439549,17581.96,629.64,126.84,629.6281408,126.8472692
47,12:20.4,32,559712.6,17491.02,357.9375,68.28125,357.9340662,68.29424011
47,12:20.4,27,472341.12,17494.115,365.7407407,70.92592593,365.7471727,70.96429747
47,12:20.4,54,830720.9,15383.721,385.7962963,280.1481481,385.7662831,280.239954
47,12:20.4,18,312219.53,17345.53,585.7777778,60.94444444,585.7637964,60.93626311
47,12:20.4,19,326167.88,17166.73,587,44.42105263,586.9960191,44.41837293
47,12:20.4,17,299797.4,17635.14,634.0588235,126.8235294,634.0747455,126.8386555
48,13:52.4,31,457767.25,14766.686,386.0322581,278.8387097,385.9603502,278.8817028
48,13:52.4,16,302311.3,18894.459,472.25,372.75,472.2461767,372.750409
48,13:52.4,19,356024.28,18738.121,599.5263158,251.0526316,599.5236374,251.0507495
49,15:24.4,44,657132.9,14934.84,385.4545455,279.0227273,385.3649702,279.08741
49,15:24.4,17,321144.12,18890.83,472.4117647,373.0588235,472.4060651,373.0628192
49,15:24.4,18,316017.44,17556.523,634.4444444,126.9444444,634.438589,126.9479296
50,16:56.7,86,1.33E+06,15474.283,384.744186,279.7325581,384.6320831,279.8673469
50,16:56.7,54,952680.5,17642.232,585.2777778,76.27777778,585.2566275,76.30895004
50,16:56.7,16,291822,18238.875,629.125,174.8125,629.1213132,174.8157029
50,16:56.7,41,731752.25,17847.615,635.0487805,129.1463415,635.0519593,129.1660232
51,18:29.0,66,1.01E+06,15344.148,384.2121212,279.7575758,384.0543427,279.8887647
