filter2_file,counts_under_contours,qs_mean_counts
2024-07-10T13:31:01.128,11240.88399661304,4351.6665
2024-07-10T13:31:19.742,11260.724809483489,4353.7603
2024-07-10T13:32:50.632,11056.079029071409,4322.6426
2024-07-10T13:33:08.579,11012.184024837708,4319.7954
2024-07-10T13:34:40.137,10822.274908269828,4370.035
2024-07-10T13:34:58.829,10791.638724244991,4378.039
2024-07-10T13:36:29.641,10747.312447078746,4346.9663
2024-07-10T13:36:47.587,10732.864803838555,4338.5645
2024-07-10T13:38:19.146,10591.635337284786,4335.7744
2024-07-10T13:38:37.926,10581.858312164832,4342.3027
2024-07-10T13:40:08.650,10652.263053909117,4365.4463
2024-07-10T13:40:26.596,10631.855489697997,4364.5093
2024-07-10T13:41:58.154,10645.830087496472,4338.6113
2024-07-10T13:42:16.100,10569.469940728197,4330.942
2024-07-10T13:43:47.659,10293.379621789443,4337.6396
2024-07-10T13:44:05.605,10245.478972622072,4345.268
2024-07-10T13:45:37.163,10192.032740615297,4365.977
2024-07-10T13:45:55.109,10211.288738357325,4363.0103
2024-07-10T13:47:26.667,10081.002540220152,4330.9243
2024-07-10T13:47:44.613,10049.06576347728,4321.2725
2024-07-10T13:49:16.171,10032.37933954276,4354.7505
2024-07-10T13:49:34.117,10007.345187694045,4366.6587
2024-07-10T13:51:05.676,10124.667231160034,4362.7256
2024-07-10T13:51:23.620,10087.854360711262,4352.7427
2024-07-10T13:52:55.181,10068.145639288738,4356.537
2024-07-10T13:53:13.125,10086.802145074795,4365.8813
2024-07-10T13:54:44.684,10045.856054191363,4370.491
2024-07-10T13:55:02.628,10058.060400790291,4360.804
2024-07-10T13:56:34.188,9866.798758114592,4382.123
2024-07-10T13:56:52.132,9847.323736946091,4389.113
2024-07-10T13:58:23.693,9898.086367485183,4344.7393
2024-07-10T13:58:41.637,9875.977420265312,4339.5693
2024-07-10T14:00:13.196,9829.900084674005,4377.8433
2024-07-10T14:00:31.140,9811.360993508326,4379.949
2024-07-10T14:02:02.700,9891.009878633926,4365.7085
2024-07-10T14:02:20.646,9900.964154671183,4359.794
2024-07-10T14:03:52.203,9898.541349139148,4343.174
2024-07-10T14:04:10.149,9921.088343211968,4344.9946
2024-07-10T14:05:41.707,9957.640417725092,4349.472
2024-07-10T14:05:59.653,9997.707027942422,4348.6465
2024-07-10T14:07:31.213,9856.239345187694,4354.652
2024-07-10T14:07:49.159,9826.066045723963,4363.8174
2024-07-10T14:09:20.716,9824.369178662151,4324.83
2024-07-10T14:09:38.662,9790.350550381034,4316.7866
2024-07-10T14:11:10.220,9769.372847869037,4347.8687
2024-07-10T14:11:28.166,9798.654247812588,4350.5386
2024-07-10T14:12:59.725,9808.776742873271,4339.2563
2024-07-10T14:13:17.672,9757.245272368049,4331.171
2024-07-10T14:14:49.233,9715.635337284786,4340.135
2024-07-10T14:15:07.175,9732.241603161163,4337.753
2024-07-10T14:16:38.734,9889.241885407846,4334.451
2024-07-10T14:16:56.680,9950.941010443128,4346.0107
2024-07-10T14:18:28.241,9995.160033869603,4348.449
2024-07-10T14:18:46.181,10006.259102455546,4339.9062
2024-07-10T14:20:17.742,10158.676827547277,4367.564
2024-07-10T14:20:35.686,10150.05023990968,4375.81
2024-07-10T14:22:07.251,10277.5783234547,4346.5444
2024-07-10T14:22:25.191,10310.706181202371,4344.508
2024-07-10T14:23:56.751,10206.120237087214,4377.8525
2024-07-10T14:24:14.695,10214.396838837143,4364.785
2024-07-10T14:25:46.259,10241.539937905729,4311.522
