Peak time,Peak total count
2024-11-13 15:11:26.400,1.4790474557881819
2024-11-13 15:16:17.344,0.045694260809502125
2024-11-13 15:19:31.361,0.10501034143301516
2024-11-13 15:27:36.384,0.3601012184537998
2024-11-13 15:41:05.155,0.4118764955072533
2024-11-13 15:52:23.907,0.5082789719273807
2024-11-13 15:55:37.860,0.6325985169799404
2024-11-13 16:08:33.636,1.1043288250135552
2024-11-13 16:26:20.267,1.4510092450364982
2024-11-13 16:31:11.239,1.0539679058851505
2024-11-13 16:39:16.134,1.29671451196863
2024-11-13 16:48:57.896,1.616734688827511
