T_REC,CRPIX1,CRPIX2,CRVAL1,CRVAL2,CDELT1,CDELT2,CUNIT1,CUNIT2,CTYPE1,CTYPE2,DATE-OBS,TIMESYS,TELESCOP,INSTRUME,BUNIT,RSUN_OBS,DSUN_OBS,CRLN_OBS,CRLT_OBS,CAR_ROT,CROTA2
2024-06-02T06:39:23Z,2069.776123,2010.08313,0.0,0.0,0.600109,0.600109,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-06-02T06:39:23.12Z,Invalid KeyLink,SDO/AIA,AIA_4,Invalid KeyLink,945.976342,151759406752.28,5.644309,-0.47524,2284,-0.137637
2024-06-02T06:39:23Z,2041.899414,2047.061279,0.0,0.0,0.600698,0.600698,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-06-02T06:39:30.62Z,Invalid KeyLink,SDO/AIA,AIA_1,Invalid KeyLink,945.976291,151759414832.7,5.643168,-0.475231,2284,-0.138728
2024-06-02T06:39:23Z,2052.788086,2050.462646,0.0,0.0,0.599489,0.599489,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-06-02T06:39:33.35Z,Invalid KeyLink,SDO/AIA,AIA_3,Invalid KeyLink,945.976276,151759417284.63,5.642821,-0.475228,2284,0.019394
2024-06-02T06:39:23Z,2040.383423,2046.294434,0.0,0.0,0.600714,0.600714,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-06-02T06:39:28.84Z,Invalid KeyLink,SDO/AIA,AIA_2,Invalid KeyLink,945.976306,151759412431.51,5.643507,-0.475233,2284,0.057879
2024-06-02T06:39:23Z,2036.385986,2044.993408,0.0,0.0,0.600758,0.600758,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-06-02T06:39:21.63Z,Invalid KeyLink,SDO/AIA,AIA_2,Invalid KeyLink,945.976352,151759405139.21,5.644536,-0.475241,2284,0.056429
2024-06-02T06:39:23Z,2064.591309,2011.121826,0.0,0.0,0.600165,0.600165,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-06-02T06:39:29.13Z,Invalid KeyLink,SDO/AIA,AIA_4,Invalid KeyLink,945.976301,151759413228.68,5.643394,-0.475232,2284,-0.131549
2024-06-02T06:39:23Z,2040.863037,2045.522827,0.0,0.0,0.600737,0.600737,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-06-02T06:39:24.63Z,Invalid KeyLink,SDO/AIA,AIA_1,Invalid KeyLink,945.976332,151759408373.11,5.64408,-0.475238,2284,-0.14247
2024-06-02T06:39:35Z,2069.776123,2010.08313,0.0,0.0,0.600109,0.600109,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-06-02T06:39:35.12Z,Invalid KeyLink,SDO/AIA,AIA_4,Invalid KeyLink,945.976261,151759419676.12,5.642484,-0.475225,2284,-0.137564
2024-06-02T06:39:35Z,2041.899414,2047.061279,0.0,0.0,0.600698,0.600698,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-06-02T06:39:42.62Z,Invalid KeyLink,SDO/AIA,AIA_1,Invalid KeyLink,945.976211,151759427740.77,5.641343,-0.475216,2284,-0.138791
2024-06-02T06:39:35Z,2052.788086,2050.462646,0.0,0.0,0.599489,0.599489,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-06-02T06:39:45.35Z,Invalid KeyLink,SDO/AIA,AIA_3,Invalid KeyLink,945.976196,151759430187.18,5.640997,-0.475214,2284,0.019331
