T_REC,CRPIX1,CRPIX2,CRVAL1,CRVAL2,CDELT1,CDELT2,CUNIT1,CUNIT2,CTYPE1,CTYPE2,DATE-OBS,TIMESYS,TELESCOP,INSTRUME,BUNIT,RSUN_OBS,DSUN_OBS,CRLN_OBS,CRLT_OBS,CAR_ROT,CROTA2
2024-06-02T06:39:23Z,2041.899414,2047.061279,0.0,0.0,0.600698,0.600698,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-06-02T06:39:30.62Z,Invalid KeyLink,SDO/AIA,AIA_1,Invalid KeyLink,945.976291,151759414832.7,5.643168,-0.475231,2284,-0.138728
2024-06-02T06:39:35Z,2041.899414,2047.061279,0.0,0.0,0.600698,0.600698,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-06-02T06:39:42.62Z,Invalid KeyLink,SDO/AIA,AIA_1,Invalid KeyLink,945.976211,151759427740.77,5.641343,-0.475216,2284,-0.138791
2024-06-02T06:39:47Z,2041.899414,2047.061279,0.0,0.0,0.600698,0.600698,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-06-02T06:39:54.62Z,Invalid KeyLink,SDO/AIA,AIA_1,Invalid KeyLink,945.976131,151759440616.57,5.639519,-0.475202,2284,-0.138722
2024-06-02T06:39:59Z,2041.899414,2047.061279,0.0,0.0,0.600698,0.600698,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-06-02T06:40:06.62Z,Invalid KeyLink,SDO/AIA,AIA_1,Invalid KeyLink,945.97605,151759453481.65,5.637693,-0.475188,2284,-0.138788
2024-06-02T06:40:11Z,2041.899414,2047.061279,0.0,0.0,0.600698,0.600698,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-06-02T06:40:18.62Z,Invalid KeyLink,SDO/AIA,AIA_1,Invalid KeyLink,945.97597,151759466311.96,5.635869,-0.475173,2284,-0.138712
2024-06-02T06:40:23Z,2041.899414,2047.061279,0.0,0.0,0.600698,0.600698,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-06-02T06:40:30.62Z,Invalid KeyLink,SDO/AIA,AIA_1,Invalid KeyLink,945.975891,151759479117.98,5.634044,-0.475159,2284,-0.138802
2024-06-02T06:40:35Z,2041.899414,2047.061279,0.0,0.0,0.600698,0.600698,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-06-02T06:40:42.62Z,Invalid KeyLink,SDO/AIA,AIA_1,Invalid KeyLink,945.975811,151759491891.36,5.63222,-0.475145,2284,-0.13872
2024-06-02T06:40:47Z,2041.899414,2047.061279,0.0,0.0,0.600698,0.600698,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-06-02T06:40:54.62Z,Invalid KeyLink,SDO/AIA,AIA_1,Invalid KeyLink,945.975731,151759504655.5,5.630394,-0.475131,2284,-0.138789
2024-06-02T06:40:59Z,2041.899414,2047.061279,0.0,0.0,0.600698,0.600698,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-06-02T06:41:06.64Z,Invalid KeyLink,SDO/AIA,AIA_1,Invalid KeyLink,945.975652,151759517400.52,5.628567,-0.475116,2284,-0.138712
2024-06-02T06:41:11Z,2041.899414,2047.061279,0.0,0.0,0.600698,0.600698,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-06-02T06:41:18.62Z,Invalid KeyLink,SDO/AIA,AIA_1,Invalid KeyLink,945.975573,151759530078.63,5.626746,-0.475102,2284,-0.138776
2024-06-02T06:41:23Z,2041.899414,2047.061279,0.0,0.0,0.600698,0.600698,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-06-02T06:41:30.62Z,Invalid KeyLink,SDO/AIA,AIA_1,Invalid KeyLink,945.975494,151759542763.74,5.62492,-0.475088,2284,-0.13871
2024-06-02T06:41:35Z,2041.899414,2047.061279,0.0,0.0,0.600698,0.600698,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-06-02T06:41:42.62Z,Invalid KeyLink,SDO/AIA,AIA_1,Invalid KeyLink,945.975415,151759555416.49,5.623095,-0.475074,2284,-0.138765
2024-06-02T06:41:47Z,2041.899414,2047.061279,0.0,0.0,0.600698,0.600698,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-06-02T06:41:54.62Z,Invalid KeyLink,SDO/AIA,AIA_1,Invalid KeyLink,945.975336,151759568045.05,5.62127,-0.475059,2284,-0.138676
2024-06-02T06:41:59Z,2041.899414,2047.061279,0.0,0.0,0.600698,0.600698,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-06-02T06:42:06.62Z,Invalid KeyLink,SDO/AIA,AIA_1,Invalid KeyLink,945.975258,151759580637.56,5.619446,-0.475045,2284,-0.138865
2024-06-02T06:42:11Z,2041.899414,2047.061279,0.0,0.0,0.600698,0.600698,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-06-02T06:42:18.62Z,Invalid KeyLink,SDO/AIA,AIA_1,Invalid KeyLink,945.975179,151759593220.47,5.61762,-0.475031,2284,-0.138658
2024-06-02T06:42:23Z,2041.899414,2047.061279,0.0,0.0,0.600698,0.600698,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-06-02T06:42:30.64Z,Invalid KeyLink,SDO/AIA,AIA_1,Invalid KeyLink,945.975101,151759605787.1,5.615793,-0.475017,2284,-0.138852
2024-06-02T06:42:35Z,2041.899414,2047.061279,0.0,0.0,0.600698,0.600698,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-06-02T06:42:42.63Z,Invalid KeyLink,SDO/AIA,AIA_1,Invalid KeyLink,945.975023,151759618304.68,5.613969,-0.475003,2284,-0.138639
2024-06-02T06:42:47Z,2041.899414,2047.061279,0.0,0.0,0.600698,0.600698,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-06-02T06:42:54.62Z,Invalid KeyLink,SDO/AIA,AIA_1,Invalid KeyLink,945.974945,151759630794.86,5.612146,-0.474988,2284,-0.138833
2024-06-02T06:42:59Z,2041.899414,2047.061279,0.0,0.0,0.600698,0.600698,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-06-02T06:43:06.64Z,Invalid KeyLink,SDO/AIA,AIA_1,Invalid KeyLink,945.974867,151759643283.18,5.610319,-0.474974,2284,-0.13861
2024-06-02T06:43:11Z,2041.899414,2047.061279,0.0,0.0,0.600698,0.600698,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-06-02T06:43:18.63Z,Invalid KeyLink,SDO/AIA,AIA_1,Invalid KeyLink,945.97479,151759655722.41,5.608495,-0.47496,2284,-0.138777
2024-06-02T06:43:23Z,2041.899414,2047.061279,0.0,0.0,0.600698,0.600698,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-06-02T06:43:30.62Z,Invalid KeyLink,SDO/AIA,AIA_1,Invalid KeyLink,945.974712,151759668136.18,5.606672,-0.474946,2284,-0.138684
2024-06-02T06:43:35Z,2041.899414,2047.061279,0.0,0.0,0.600698,0.600698,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-06-02T06:43:42.62Z,Invalid KeyLink,SDO/AIA,AIA_1,Invalid KeyLink,945.974635,151759680532.5,5.604847,-0.474932,2284,-0.13887
2024-06-02T06:43:47Z,2041.899414,2047.061279,0.0,0.0,0.600698,0.600698,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-06-02T06:43:54.62Z,Invalid KeyLink,SDO/AIA,AIA_1,Invalid KeyLink,945.974558,151759692904.4,5.603022,-0.474918,2284,-0.138646
2024-06-02T06:43:59Z,2041.899414,2047.061279,0.0,0.0,0.600698,0.600698,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-06-02T06:44:06.62Z,Invalid KeyLink,SDO/AIA,AIA_1,Invalid KeyLink,945.974481,151759705249.2,5.601197,-0.474903,2284,-0.138853
2024-06-02T06:44:11Z,2041.899414,2047.061279,0.0,0.0,0.600698,0.600698,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-06-02T06:44:18.62Z,Invalid KeyLink,SDO/AIA,AIA_1,Invalid KeyLink,945.974404,151759717566.95,5.599372,-0.474889,2284,-0.138632
2024-06-02T06:44:23Z,2041.899414,2047.061279,0.0,0.0,0.600698,0.600698,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-06-02T06:44:30.62Z,Invalid KeyLink,SDO/AIA,AIA_1,Invalid KeyLink,945.974328,151759729854.05,5.597548,-0.474875,2284,-0.138833
2024-06-02T06:44:35Z,2041.899414,2047.061279,0.0,0.0,0.600698,0.600698,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-06-02T06:44:42.62Z,Invalid KeyLink,SDO/AIA,AIA_1,Invalid KeyLink,945.974251,151759742128.88,5.595723,-0.474861,2284,-0.138621
2024-06-02T06:44:47Z,2041.899414,2047.061279,0.0,0.0,0.600698,0.600698,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-06-02T06:44:54.62Z,Invalid KeyLink,SDO/AIA,AIA_1,Invalid KeyLink,945.974175,151759754372.04,5.593898,-0.474847,2284,-0.138833
2024-06-02T06:44:59Z,2041.899414,2047.061279,0.0,0.0,0.600698,0.600698,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-06-02T06:45:06.64Z,Invalid KeyLink,SDO/AIA,AIA_1,Invalid KeyLink,945.974099,151759766603.84,5.592071,-0.474833,2284,-0.13876
2024-06-02T06:45:11Z,2041.899414,2047.061279,0.0,0.0,0.600698,0.600698,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-06-02T06:45:18.62Z,Invalid KeyLink,SDO/AIA,AIA_1,Invalid KeyLink,945.974023,151759778770.99,5.59025,-0.474819,2284,-0.138835
