time_start,time_end,T,T_er1,T_er2,EM,EM_er1,EM_er2,
2024-11-13T16:55:30.000,2024-11-13T16:55:50.000,15.8598318437569,6.96723021852008,3.3433698090244,0.493038120717036,0.391308394844471,15.7625797494538,-15.5011319188503
2024-11-13T16:55:50.000,2024-11-13T16:56:20.000,17.1942994703309,1.52778175779179,1.27579148805833,0.231022093974159,0.0670292213049559,0.128524817656575,-17.8015604116021
2024-11-13T16:56:20.000,2024-11-13T16:56:50.000,15.5219614069897,1.54916240970419,1.3923933751244,0.445634804436572,0.158398398655001,0.37739539280018,-38.4147246452343
2024-11-13T16:56:50.000,2024-11-13T16:57:10.000,13.4051848884076,3.97165318825504,4.82869366060039,3.04250441401236,2.73594410059035,23.919395730201,-37.440162754815
2024-11-13T16:57:10.000,2024-11-13T16:57:30.000,11.4382519144831,1.62955765664542,1.3630940475212,6.04604159553236,3.44544690684539,15.7595319049787,-61.2901086336384
2024-11-13T16:57:30.000,2024-11-13T16:57:50.000,14.8199865881219,6.29697963865245,0.927964943907554,1.31055891579569,0.38945656331749,98.1796909755587,-16.0469211396008
2024-11-13T16:57:50.000,2024-11-13T16:58:10.000,16.0140420288853,4.7295834041291,1.24325784662479,1.16358937583383,0.369949733172549,10.4691686362204,-10.5420627249305
2024-11-13T16:58:10.000,2024-11-13T16:58:30.000,16.0363181799607,4.06418554998469,0.715225196786587,1.44923890339503,0.317312969095293,8.0264811006911,-46.1787587480057
2024-11-13T16:58:30.000,2024-11-13T16:58:50.000,15.3466331726876,3.61048174373885,0.656605500366783,2.11883806992031,0.419167386338711,10.9588728118707,-25.7330431310035
2024-11-13T16:58:50.000,2024-11-13T16:59:10.000,14.8938451323938,0.424608390096232,0.407662827160115,2.47888012041707,0.340112104881421,0.465564333180153,-57.7481971137154
2024-11-13T16:59:10.000,2024-11-13T16:59:30.000,13.1430995012567,0.453714126339007,0.483968323231695,5.40343055743547,1.14574001634896,1.51548825655833,-18.7590565552191
2024-11-13T16:59:30.000,2024-11-13T16:59:50.000,13.3332238025935,0.421111442089142,0.507201797951929,5.03294691225304,1.11032919992373,1.22195255483403,-25.8037943876576
2024-11-13T16:59:50.000,2024-11-13T17:00:10.000,10.8472593877503,0.482812794031517,0.500230473904303,21.2354823649682,6.40865878991784,9.71481457863503,-30.2258015722561
2024-11-13T17:00:10.000,2024-11-13T17:00:30.000,10.124852325062,0.368397623438051,0.323529975279895,38.9351846520641,8.90767724837725,14.1125259216695,-9.31148750203762
2024-11-13T17:00:30.000,2024-11-13T17:00:50.000,10.3685052160794,0.450528798541523,0.543930751105668,28.6225579729303,9.87265691594456,12.9676470061742,-59.3299781016675
2024-11-13T17:00:50.000,2024-11-13T17:01:10.000,11.2198265987831,0.454584316726118,0.508297489731399,13.9034743359374,4.04987281504248,5.66067268155231,-21.7266186394686
2024-11-13T17:01:10.000,2024-11-13T17:01:30.000,10.5900632806868,0.583300087949851,0.606827711047885,22.0765880437741,7.9692796236528,13.3470192239613,-25.344902425667
2024-11-13T17:01:30.000,2024-11-13T17:01:50.000,9.73186782342674,0.388497945158942,3.28745924504092,42.4410816251489,38.1104038115132,17.3906883798091,-36.7933429842404
2024-11-13T17:01:50.000,2024-11-13T17:02:10.000,12.1835569898992,0.876486786937857,6.50146858208625,6.69221192999713,6.10715291005893,5.10735262374776,-35.3365212531523
2024-11-13T17:02:10.000,2024-11-13T17:02:30.000,10.9003265547725,0.685696988708397,1.18730139938544,15.4471465641644,8.50210592137707,11.0040139702299,-13.7240410217268
2024-11-13T17:02:30.000,2024-11-13T17:02:50.000,9.809517087023,0.435533316396441,8.75370462324783,37.9237394632698,37.252948734882,17.2066268247463,-34.9918835121007
2024-11-13T17:02:50.000,2024-11-13T17:03:10.000,11.4967068194616,0.598540567882207,0.683581282355615,10.5826438004651,3.79307302903128,5.65268035997629,-24.6515431025169
2024-11-13T17:03:10.000,2024-11-13T17:03:30.000,10.8336005751464,1.61762215052147,1.07250006603279,18.0873200085097,9.48334263105374,55.3237416964,-6.86748584913168
2024-11-13T17:03:30.000,2024-11-13T17:03:50.000,13.4184143257149,0.742867600690675,0.547985318625184,4.59618337041225,1.0435504476951,2.3234359414436,-11.7029669639735
2024-11-13T17:03:50.000,2024-11-13T17:04:10.000,17.354019691555,6.15862094034171,0.422621901610736,1.7548797944544,0.182036119568694,27.4969436236662,-29.480936710947
2024-11-13T17:04:00.000,2024-11-13T17:04:30.000,18.0988150176083,0.766183200866898,0.537295229701751,2.61061410964091,0.260334670188557,0.467260979341149,-5.5109862235585
2024-11-13T17:04:30.000,2024-11-13T17:05:00.000,17.6772780857649,1.01073652661267,9.35105688886306,14.4927575489326,10.9887963538633,4.19644399755068,-234.872444987655
2024-11-13T17:05:00.000,2024-11-13T17:05:30.000,23.452667711737,3.94788028316541,0.0602640487911081,18.7464858289154,0.147282865564822,14.3074394631082,-772.013395778323
2024-11-13T17:05:30.000,2024-11-13T17:06:00.000,18.7410861198905,0.0336218266952066,0.328482861087121,99.8661117079276,37.7729112841629,0.1064709237328,-784.232319974857
