TIME,COUNTS
2024-11-13 16:50:03.968,0
2024-11-13 16:50:33.968,0
2024-11-13 16:51:03.968,0
2024-11-13 16:51:33.968,0
2024-11-13 16:52:03.968,1
2024-11-13 16:52:33.968,2
2024-11-13 16:53:03.968,0
2024-11-13 16:53:33.968,2
2024-11-13 16:54:03.968,2
2024-11-13 16:54:33.968,0
2024-11-13 16:55:03.968,1
2024-11-13 16:55:33.968,1
2024-11-13 16:56:03.968,2
2024-11-13 16:56:33.968,1
2024-11-13 16:57:03.968,2
2024-11-13 16:57:33.968,1
2024-11-13 16:58:03.968,1
2024-11-13 16:58:33.968,2
2024-11-13 16:59:03.968,1
2024-11-13 16:59:33.968,0
2024-11-13 17:00:03.968,1
2024-11-13 17:00:33.968,1
2024-11-13 17:01:03.968,1
2024-11-13 17:01:33.968,1
2024-11-13 17:02:03.968,1
2024-11-13 17:02:33.968,0
2024-11-13 17:03:03.968,0
2024-11-13 17:03:33.968,1
2024-11-13 17:04:03.968,6
2024-11-13 17:04:33.968,10
2024-11-13 17:05:03.968,18
2024-11-13 17:05:33.968,5
2024-11-13 17:06:03.968,12
2024-11-13 17:06:33.968,8
2024-11-13 17:07:03.968,7
2024-11-13 17:07:33.968,5
2024-11-13 17:08:03.968,2
2024-11-13 17:08:33.968,2
2024-11-13 17:09:03.968,2
