Date time,Threshold 1 count,Threshold 1 area,Threshold 2 count,Threshold 2 area
2024-07-10T13:32:01.544,84472823.37614755,26907,13354343.603889618,4031
2024-07-10T13:32:01.544,84472823.37614755,26907,13354343.603889618,4031
2024-07-10T13:33:51.497,85319924.4427233,27167,13489730.903180784,4074
2024-07-10T13:35:40.553,83899000.68966289,26719,12052340.23996697,3640
2024-07-10T13:37:30.573,81426540.33874986,25963,10878998.774681943,3287
2024-07-10T13:39:19.562,80822108.50851683,25768,10508333.351862388,3170
2024-07-10T13:41:09.660,82189422.53166287,26158,12141443.444422286,3662
2024-07-10T13:42:58.570,83097549.68562007,26435,12956246.577455193,3913
2024-07-10T13:44:48.746,80065835.14584392,25573,9136386.168021886,2766
2024-07-10T13:46:37.579,78197461.07338244,24990,8239500.909639292,2496
2024-07-10T13:48:27.842,77914126.82191035,24906,7889122.162618447,2390
2024-07-10T13:50:16.588,79198264.33359434,25288,10591618.991434101,3197
2024-07-10T13:52:06.919,74569783.13467237,23828,8877824.666418169,2678
2024-07-10T13:53:55.597,80088340.31115454,25553,9623692.322066786,2898
2024-07-10T13:55:45.101,77031048.6186712,24594,9469061.422585735,2846
2024-07-10T13:57:34.605,77101063.19695455,24623,9334424.529214654,2817
2024-07-10T13:59:24.106,76045390.87034222,24279,9654015.911749192,2908
2024-07-10T14:01:13.610,74950125.47049986,23948,8636277.154417006,2604
2024-07-10T14:03:03.116,78214446.87935494,24939,10042012.2950582,3028
2024-07-10T14:04:52.619,78728412.88267617,25074,11445663.108335458,3455
2024-07-10T14:06:42.124,85067681.9435945,27060,13509842.732356362,4079
2024-07-10T14:08:31.629,86548998.22171985,27571,12114228.220719052,3666
2024-07-10T14:10:21.132,87630019.61569083,27906,12869065.287458286,3891
2024-07-10T14:12:10.637,87311304.23442657,27769,14154543.505769117,4270
2024-07-10T14:14:00.141,87049886.89745487,27743,12909473.013810702,3903
2024-07-10T14:15:49.645,84680174.42873791,26980,12313491.084017675,3716
2024-07-10T14:17:39.150,83016699.50648876,26463,11827494.858124802,3563
2024-07-10T14:19:28.654,85075854.46892343,27110,12653036.785896027,3816
2024-07-10T14:21:18.159,81832625.0956918,26054,12304014.995186668,3711
2024-07-10T14:23:07.663,82438369.77841845,26288,11008215.851230677,3319
2024-07-10T14:24:57.167,83770062.1101425,26743,10284258.569816401,3104
2024-07-10T14:26:46.671,82774100.62950909,26415,11439517.272667209,3457
2024-07-10T14:28:36.174,82617255.27108273,26360,10719870.468004193,3235
2024-07-10T14:30:25.678,82759466.78993025,26399,10611475.500341231,3209
2024-07-10T14:32:15.182,81689907.54636058,26045,10348023.776996443,3132
2024-07-10T14:34:04.685,81530886.59538104,26028,8953061.631074687,2707
2024-07-10T14:35:54.191,85573708.70043433,27316,11202721.575637631,3389
2024-07-10T14:37:43.695,83846730.36936685,26749,11715254.280782312,3548
2024-07-10T14:39:33.198,81923161.74455628,26198,8487768.614600604,2566
2024-07-10T14:41:22.704,82984641.88428654,26523,9912680.173118073,3001
2024-07-10T14:43:12.207,81930528.40939803,26175,10415340.65661556,3157
2024-07-10T14:45:01.712,85410666.78000769,27287,10745038.38582956,3246
2024-07-10T14:46:51.216,80128950.06171632,25587,10367242.435962927,3141
2024-07-10T14:48:40.720,77659906.83935235,24803,10432076.777951078,3161
2024-07-10T14:50:30.225,77591060.65823036,24821,7657628.673935531,2325
2024-07-10T14:52:19.729,76900558.52754357,24588,8509385.80898823,2583
2024-07-10T14:54:09.233,78215808.88182668,24974,9789665.63980692,2964
2024-07-10T14:55:58.738,78832400.02963798,25201,8475661.806234974,2568
2024-07-10T14:57:48.244,78458375.6010324,25060,9974189.104636345,3019
2024-07-10T14:59:37.744,79481989.55057895,25383,10122363.955297828,3067
2024-07-10T15:01:27.250,82602011.12217508,26395,9850770.577873211,2982
2024-07-10T15:03:16.749,79046529.7282078,25236,10669451.664415982,3228
2024-07-10T15:05:06.261,81223895.93398963,25907,10637853.120366989,3215
2024-07-10T15:06:55.760,78440104.09320545,25050,9318777.81353151,2811
2024-07-10T15:08:45.269,75676151.22959776,24189,9160959.604590002,2767
2024-07-10T15:10:34.801,75400806.27167286,24119,8667767.438463267,2619
2024-07-10T15:12:24.305,77979413.99619079,24899,10865030.228827752,3281
2024-07-10T15:12:24.305,77979413.99619079,24899,10865030.228827752,3281
2024-07-10T15:12:24.305,77979413.99619079,24899,10865030.228827752,3281
2024-07-10T15:15:12.550,80374506.79644698,25661,11495408.689561635,3473
2024-07-10T15:15:12.550,80374506.79644698,25661,11495408.689561635,3473
2024-07-10T15:15:12.550,80374506.79644698,25661,11495408.689561635,3473
2024-07-10T15:16:49.222,76965516.9810245,24630,9254317.316991976,2802
2024-07-10T15:18:26.406,72619176.99234393,23243,7913666.052548328,2399
2024-07-10T15:20:03.590,74262041.8765164,23772,7932417.059480565,2405
2024-07-10T15:21:40.775,70179127.6982941,22482,7120960.572100979,2153
2024-07-10T15:23:17.959,70234495.35739604,22489,7502721.318085881,2272
2024-07-10T15:24:55.143,70418123.1049906,22523,8015336.639647838,2425
2024-07-10T15:26:32.325,71776412.29106379,22939,8463619.69772191,2555
2024-07-10T15:28:09.510,72320227.1642869,23134,7589985.993406221,2298
2024-07-10T15:29:46.694,75065475.96247664,23998,8560087.137667442,2594
2024-07-10T15:31:24.374,80041165.16110265,25567,10687446.848635443,3240
2024-07-10T15:33:01.478,77994656.4388832,24872,10888581.935478717,3299
2024-07-10T15:36:28.646,80637348.19812925,25706,12210549.730130088,3696
2024-07-10T15:38:18.375,80500911.94477648,25692,10493279.624582091,3186
2024-07-10T15:40:08.104,77991345.50483502,24914,8066102.635607976,2449
2024-07-10T15:41:57.831,76478153.16252658,24429,8369200.651731194,2534
2024-07-10T15:43:47.560,77702716.45634866,24834,7616549.75758337,2311
2024-07-10T15:45:37.295,75949258.16695468,24319,7235469.933305414,2191
2024-07-10T15:47:27.161,76012463.70038813,24298,7779107.75101075,2353
2024-07-10T15:49:16.713,78543756.22094648,25102,8584472.67832324,2603
2024-07-10T15:51:06.441,76638674.40947337,24501,7551526.687769289,2287
2024-07-10T15:52:56.138,76531830.74917226,24445,8900561.938695977,2695
2024-07-10T15:54:45.834,77711989.2381648,24832,8970435.215873878,2721
2024-07-10T15:56:35.528,75158169.78683141,24018,9053332.086816609,2747
2024-07-10T15:58:25.193,77815557.34858784,24830,11260665.107281376,3410
2024-07-10T16:00:14.857,78649754.31694598,25087,11778470.292736892,3569
2024-07-10T16:02:04.553,76353084.7894524,24390,9527771.382153844,2887
2024-07-10T16:03:54.217,77811234.25040601,24830,10913256.733042225,3308
2024-07-10T16:05:43.944,81789504.71332817,26102,12013438.428667782,3641
2024-07-10T16:07:33.674,77437208.77984697,24717,9615151.76848002,2912
2024-07-10T16:09:23.402,76464151.86527793,24397,10751006.902666053,3247
2024-07-10T16:11:13.129,74628007.60180491,23843,9622071.01421175,2908
2024-07-10T16:13:02.859,74141874.35699157,23685,9330077.169290064,2817
2024-07-10T16:14:52.587,77953154.57856815,24891,10371646.768650843,3140
2024-07-10T16:16:42.287,76178247.28335822,24354,9508670.622372603,2870
2024-07-10T16:18:31.980,78148363.68998738,24969,9448829.714906607,2855
