filter2_file,total_counts_under_contours,qs_mean_counts,contour_area
2024-07-10T13:30:12.420,22823612.07248055,2657.9276333040443,7691
2024-07-10T13:32:01.544,22784515.505409986,2658.79476381451,7691
2024-07-10T13:33:51.497,22750280.342563577,2664.349909792527,7691
2024-07-10T13:35:40.553,22601851.79314386,2663.1299254927862,7691
2024-07-10T13:37:30.573,22599246.959841643,2654.1985383294764,7691
2024-07-10T13:39:19.562,22535304.019821048,2661.0316615332727,7691
2024-07-10T13:41:09.660,22594185.69490354,2656.0236680736407,7691
2024-07-10T13:42:58.570,22522927.41328087,2650.9559216767007,7691
2024-07-10T13:44:48.746,22389349.031733606,2664.5501352890938,7691
2024-07-10T13:46:37.579,22322162.774003748,2652.4771693337,7691
2024-07-10T13:48:27.842,22269503.231814127,2669.2413647558997,7691
2024-07-10T13:50:16.588,22393964.69821938,2665.5892305846724,7691
2024-07-10T13:52:06.919,22362836.77496486,2660.381257732947,7691
2024-07-10T13:53:55.597,22374826.821246568,2674.094452863993,7691
2024-07-10T13:55:45.101,22404758.087326914,2653.8627219881073,7691
2024-07-10T13:57:34.605,22383572.179835908,2668.2716462175385,7691
2024-07-10T13:59:24.106,22360465.03513131,2665.5972821517576,7691
2024-07-10T14:01:13.610,22366783.94932921,2656.669957516985,7691
2024-07-10T14:03:03.116,22386256.150770046,2661.44171818569,7691
2024-07-10T14:04:52.619,22393736.420722805,2660.8557243559035,7691
2024-07-10T14:06:42.124,22466714.15887745,2651.8546248548805,7691
2024-07-10T14:08:31.629,22459972.204466216,2658.5895068852215,7691
2024-07-10T14:10:21.132,22486209.17949173,2651.9121220024617,7691
2024-07-10T14:12:10.637,22538103.880938362,2650.029363933096,7691
2024-07-10T14:14:00.141,22509429.18151324,2651.7184010419483,7691
2024-07-10T14:15:49.645,22478703.860896938,2644.1820427889934,7691
2024-07-10T14:17:39.150,22533123.83021159,2660.281779677372,7691
2024-07-10T14:19:28.654,22546809.064510033,2652.231604515082,7691
2024-07-10T14:21:18.159,22449495.8302047,2662.924470641636,7691
2024-07-10T14:23:07.663,22503869.129907332,2669.400436661475,7691
2024-07-10T14:24:57.167,22501758.23427608,2651.6703343945856,7691
2024-07-10T14:26:46.671,22511774.827375297,2679.515427964436,7691
2024-07-10T14:28:36.174,22479690.901437957,2655.3474903774736,7691
2024-07-10T14:30:25.678,22444910.322755937,2659.1259808467794,7691
2024-07-10T14:32:15.182,22437200.091864947,2663.8388042020806,7691
2024-07-10T14:34:04.685,22497891.402039386,2661.4760971759283,7691
2024-07-10T14:35:54.191,22503654.535907842,2660.370382051235,7691
2024-07-10T14:37:43.695,22461355.311022755,2675.0012805917877,7691
2024-07-10T14:39:33.198,22461227.732834615,2647.549565973314,7691
2024-07-10T14:41:22.704,22486227.751134433,2664.8181509728424,7691
2024-07-10T14:43:12.207,22476716.006166533,2660.0789829032633,7691
2024-07-10T14:45:01.712,22560450.97767691,2667.10500693827,7691
2024-07-10T14:46:51.216,22478757.339814354,2659.190124209641,7691
