Time (UTC),10.00-30.00 keV
2024-11-13 00:00:06.244,12
2024-11-13 00:01:06.244,5
2024-11-13 00:02:06.244,9
2024-11-13 00:03:06.244,6
2024-11-13 00:04:06.244,71
2024-11-13 00:05:06.244,14
2024-11-13 00:06:06.244,1
2024-11-13 00:07:06.244,8
2024-11-13 00:08:06.244,4
2024-11-13 00:09:06.244,5
2024-11-13 00:10:06.244,9
2024-11-13 00:11:06.244,5
2024-11-13 00:12:06.244,2
2024-11-13 00:13:06.244,7
2024-11-13 00:14:06.244,19
2024-11-13 00:15:06.244,61
2024-11-13 00:16:06.244,70
2024-11-13 00:17:06.244,254
2024-11-13 00:18:06.244,2049
2024-11-13 00:19:06.244,3071
2024-11-13 00:20:06.244,2331
2024-11-13 00:21:06.244,1480
2024-11-13 00:22:06.244,802
2024-11-13 00:23:06.244,501
2024-11-13 00:24:06.244,256
2024-11-13 00:25:06.244,188
2024-11-13 00:26:06.244,121
2024-11-13 00:27:06.244,74
2024-11-13 00:28:06.244,59
2024-11-13 00:29:06.244,35
2024-11-13 00:30:06.244,27
2024-11-13 00:31:06.244,35
2024-11-13 00:32:06.244,23
2024-11-13 00:33:06.244,17
2024-11-13 00:34:06.244,22
2024-11-13 00:35:06.244,28
