date_time,suit_count,Mean,Std,diff_count,Diff_error,Img_count,area
2024-10-08 23:59:25,46701.048828125,,,,,,
2024-10-09 00:02:39,4035772.182128906,17.534371968270275,224.84432455721912,1715065.1953125,4731.169543311527,48803702.677246094,2659.0
2024-10-09 00:17:12,166283.203125,,,,,,
2024-10-09 00:22:03,204566.970703125,,,,,,
2024-10-09 00:26:55,599675.3642578125,,,,,,
2024-10-09 00:30:09,513809.57177734375,,,,,,
2024-10-09 00:36:37,429734.52978515625,,,,,,
2024-10-09 00:41:28,528516.5913085938,,,,,,
2024-10-09 00:46:20,1362341.6396484375,,,,,,
2024-10-09 00:51:11,1072655.6391601562,,,,,,
2024-10-09 00:56:02,864780.900390625,,,,,,
2024-10-09 01:11:08,2738619.6772460938,,,,,,
2024-10-09 01:25:41,1159232.8149414062,,,,,,
