61.772,785137328.605641,28020.30206832182
159.204,785511784.2927604,28026.983141251574
256.27,784758126.864579,28013.534693072917
353.517,784522229.9233302,28009.323965422656
450.765,784207275.0847727,28003.701094676755
548.145,784675423.0306858,28012.058528426645
645.262,785062379.2236943,28018.96463112083
742.508,783522302.350246,27991.468378775702
839.757,782681941.122972,27976.453331328474
937.44,783098563.3526694,27983.898280975794
1034.253,784385642.8646566,28006.885617647673
1131.502,783265246.776174,27986.876317302722
1228.749,783484242.6279113,27990.78852051153
1325.997,783318248.4986883,27987.823209388756
1423.246,783190914.071672,27985.548306224053
1520.493,783671390.411381,27994.13134926676
1617.742,783264092.6712368,27986.855700489115
1714.99,781475376.9727867,27954.881076477504
1812.238,779810396.8544297,27925.085425115532
1909.487,779508837.8920131,27919.68547458943
2006.734,780482011.701748,27937.10813595423
2103.982,780277193.1357331,27933.44219748078
2201.232,780844999.696391,27943.60390142975
