time,reg1,reg2,reg3,reg4,reg5,reg6,reg7
2024-07-10 13:38:08.800000,2943751.8581706164,944797.6513884241,1399549.5391630398,565924.6090481357,583376.4235053079,92072.82296424794,6759269.289012842
2024-07-10 13:40:23.800000,2937881.883746853,945577.1866118133,1398863.2906603536,562350.8299702618,578844.4339950394,90854.04973245249,6750643.834637353
2024-07-10 13:41:53.800000,2938062.419635321,937322.7506506013,1398226.113425972,561748.7369324823,575685.5664204871,91336.50813925921,6742087.741936308
2024-07-10 13:44:08.800000,2940914.6536477823,936949.1082042443,1391599.662530477,560934.587266426,577054.2476284103,91182.07236908929,6740308.588407494
2024-07-10 13:45:38.800000,2927711.0268057026,940400.3813846551,1398342.2094818144,560565.452740253,576769.3255128104,91297.86209838046,6742064.870848721
2024-07-10 13:47:53.800000,2926863.4181835107,932755.0735553686,1400404.399190676,559505.4034226042,570668.0032145107,93972.26395378512,6732306.561486379
2024-07-10 13:49:23.800000,2932722.8068644553,936066.9056303732,1393571.321392786,558102.6806663845,571102.8932354212,95227.75711433882,6724049.233631602
2024-07-10 13:50:53.800000,2928295.08538322,935208.3622275287,1403225.0015817196,564134.9201903478,568152.0050087807,94028.06736049766,6727025.258309742
2024-07-10 13:53:08.800000,2919988.3359016287,933795.0407912866,1402982.0007799775,563643.4806983371,570428.1052055669,93871.91838474668,6721676.78868943
2024-07-10 13:54:38.800000,2919977.9695280804,930572.9003643645,1409753.3322055796,567762.7153612229,574052.1507658281,94744.77933157717,6725281.579477777
2024-07-10 13:56:53.800000,2919404.2649128083,931030.8272666897,1414359.7578302398,577788.3250218977,570155.8072811877,92655.89846129097,6737155.713850523
2024-07-10 13:58:23.800000,2919081.987662703,929269.0908059471,1413267.6405388871,580770.2506263675,567596.4746454896,93421.15560485172,6724332.4527549
2024-07-10 14:00:38.800000,2910544.336622808,922903.1519977491,1415304.6633835952,577429.0108747877,565976.1947039925,94121.17032157932,6724665.078021329
2024-07-10 14:02:08.800000,2910335.119446745,926346.2517589733,1418396.655987106,575421.2458266419,560394.6608246714,92124.78697185962,6725442.93540854
2024-07-10 14:03:38.800000,2919114.1101671346,922705.6526207126,1420673.8265880763,571842.7508765786,565946.2559735377,92056.20590756772,6725790.859397217
2024-07-10 14:05:53.800000,2908220.7939919923,913614.1594089554,1424803.9893960217,570245.1094363572,562367.0983815286,92351.2166448175,6716791.365335527
2024-07-10 14:07:23.800000,2912777.724210536,911810.0121114649,1428363.1590114394,570420.5490953089,562816.8875910286,92637.97867374361,6726515.275926946
