image_index,image datetime,area_px,intensity_sum,mean_intensity,centroid_row,centroid_col,w_centroid_row,w_centroid_col,peak_intensity,peak thresh
0,2024-06-02 06:50:53.498575,589.0,433199.154296875,735.4824351390068,419.38709677419354,211.7572156196944,419.6514040928968,210.94593323977583,1500.8701171875,552.1392599818547
1,2024-06-02 06:52:20.282725,318.0,184310.794921875,579.5936947228773,420.7704402515723,197.7987421383648,420.9396398069849,197.9136126079159,1222.25390625,449.6420840008625
2,2024-06-02 06:53:47.670100,39.0,22534.3125,577.8028846153846,357.7435897435897,13.23076923076923,357.73211802521985,12.950455546610863,1047.9384765625,385.51502113986515
2,2024-06-02 06:53:47.670100,28.0,18467.830078125,659.5653599330357,370.35714285714283,11.571428571428571,370.3106467655062,11.389192238742009,1069.4912109375,393.44382901745666
4,2024-06-02 06:56:40.635435,252.0,135135.025390625,536.2501007564484,344.48015873015873,235.65873015873015,344.82362184680073,235.28699752604214,1283.578125,472.20200332488776
8,2024-06-02 07:02:28.123180,719.0,1009273.6494140625,1403.7185666398643,399.317107093185,11.585535465924895,399.34603647223605,10.852374777487938,2409.9599609375,886.5747236752385
8,2024-06-02 07:02:28.123180,1319.0,1775980.9575195312,1346.4601649124575,501.5413191811979,350.2911296436694,501.24173808344756,349.9495718167558,2246.9677734375,826.6132488224275
9,2024-06-02 07:03:55.196465,1262.0,1840654.041015625,1458.5214271122227,510.32805071315374,349.5586370839937,510.7252385751036,349.19131814600007,2724.68359375,1002.3550778377472
10,2024-06-02 07:05:22.267615,1204.0,1629257.8315429688,1353.2041790223993,515.2931893687708,349.6843853820598,515.0156097944662,349.44831000818647,2302.47314453125,847.0325337224099
22,2024-06-02 07:28:08.637920,814.0,1246047.556640625,1530.770954103962,391.72727272727275,72.91891891891892,391.4890691661048,72.06185524676872,2648.4267578125,974.3017556475573
23,2024-06-02 07:29:35.645080,891.0,1449230.2783203125,1626.5210755559062,390.66329966329965,73.01907968574635,390.4244549833618,72.16691382114713,2791.1201171875,1026.7957089533081
24,2024-06-02 07:31:02.717355,1034.0,1713786.3701171875,1657.4336268057907,391.38201160541587,73.8936170212766,391.06287557287396,72.96774845809638,3112.9287109375,1145.182474586226
25,2024-06-02 07:32:29.981390,1001.0,1797137.609375,1795.3422671078922,391.56943056943055,73.48351648351648,391.23230335100067,73.00463319297762,3331.37890625,1225.5458103615808
26,2024-06-02 07:33:57.244665,909.0,1461457.4912109375,1607.7640167337047,390.01100110011004,72.77227722772277,389.7661038896362,72.5493653014095,2876.505859375,1058.2073680732544
40,2024-06-02 07:54:19.295720,2578.0,4063369.8061523438,1576.1713755439657,348.6869666408068,204.1256788207913,347.19439772116493,206.6981293048422,2951.294921875,1085.7207265914906
41,2024-06-02 07:55:46.592870,2276.0,3591359.470703125,1577.925953735995,347.13444639718807,209.14982425307556,345.34660595908167,211.97356242443095,3135.48046875,1153.478802647722
46,2024-06-02 08:03:03.551900,3315.0,5408168.87890625,1631.42349288273,360.90648567119155,168.8262443438914,361.14315476817467,166.35221522074454,3276.7314453125,1205.442132970455
47,2024-06-02 08:04:31.105060,3386.0,5758248.6591796875,1700.6050381511186,361.0434140578854,165.06910809214412,360.8106624958008,162.41107434838824,3526.490234375,1297.3232567184236
60,2024-06-02 08:23:29.281955,711.0,1395572.708984375,1962.8308143240154,390.62165963431784,71.65822784810126,390.1628523945465,71.48981998425666,3495.5810546875,1285.9524049679185
60,2024-06-02 08:23:29.281955,822.0,1817153.4970703125,2210.6490231998937,417.7116788321168,218.45742092457422,418.02873762447086,218.3989868380926,4181.072265625,1538.1305285755413
61,2024-06-02 08:24:56.802115,1531.0,4674850.513671875,3053.4621251939093,387.3115610711953,71.87785760940562,385.9813822270018,71.291478098621,6582.7607421875,2421.6623432012466
61,2024-06-02 08:24:56.802115,995.0,2476828.873046875,2489.275249293342,418.76884422110555,217.34371859296482,419.11026917086724,217.5997432537191,4625.916015625,1701.7793987341502
62,2024-06-02 08:26:24.354265,2522.0,7581438.4384765625,3006.121506136623,390.15781126090405,72.27042030134814,388.85443202866617,74.46603806211736,6081.9248046875,2237.4150983951713
62,2024-06-02 08:26:24.354265,1022.0,2327684.9267578125,2277.5782062209514,417.5352250489237,215.25440313111545,417.7440288722529,215.16795499345574,3800.0615234375,1397.9645096592874
63,2024-06-02 08:27:51.906425,1441.0,2902361.86328125,2014.1303700772032,386.3421235253296,77.05551700208188,385.549701736922,76.6536871394384,3436.4150390625,1264.1864442034528
63,2024-06-02 08:27:51.906425,753.0,1647369.8159179688,2187.742119412973,530.0013280212484,16.179282868525895,530.9346979657766,16.24006989837707,3484.40771484375,1281.8419629501811
64,2024-06-02 08:29:19.426700,902.0,1879563.779296875,2083.7735912382204,413.10753880266077,210.13525498891352,413.59338292949053,210.2524999304947,3817.0966796875,1404.2313934208055
