image datetime,area_px,intensity_sum,mean_intensity
2024-06-02 06:50:53.498575,0,0,0
2024-06-02 06:52:20.282725,0,0,0
2024-06-02 06:53:47.670100,0,0,0
2024-06-02 06:55:13.852160,0,0,0
2024-06-02 06:56:40.635435,0,0,0
2024-06-02 06:58:07.419470,0,0,0
2024-06-02 06:59:34.204745,0,0,0
2024-06-02 07:01:01.509050,0,0,0
2024-06-02 07:02:28.123180,0,0,0
2024-06-02 07:03:55.196465,0,0,0
2024-06-02 07:05:22.267615,0,0,0
2024-06-02 07:06:49.339900,0,0,0
2024-06-02 07:08:16.412925,0,0,0
2024-06-02 07:09:43.483210,0,0,0
2024-06-02 07:11:10.560360,0,0,0
2024-06-02 07:12:37.595645,0,0,0
2024-06-02 07:19:26.587615,0,0,0
2024-06-02 07:20:53.595775,0,0,0
2024-06-02 07:22:20.604925,0,0,0
2024-06-02 07:23:47.613210,0,0,0
2024-06-02 07:25:14.620485,0,0,0
2024-06-02 07:26:41.629645,0,0,0
2024-06-02 07:28:08.637920,0,0,0
2024-06-02 07:29:35.645080,0,0,0
2024-06-02 07:31:02.717355,0,0,0
2024-06-02 07:32:29.981390,0,0,0
2024-06-02 07:33:57.244665,0,0,0
2024-06-02 07:35:24.508825,0,0,0
2024-06-02 07:36:51.774100,0,0,0
2024-06-02 07:38:19.703850,0,0,0
2024-06-02 07:39:46.333535,0,0,0
2024-06-02 07:41:13.598820,0,0,0
2024-06-02 07:42:40.894970,0,0,0
2024-06-02 07:44:08.222130,0,0,0
2024-06-02 07:45:35.519290,0,0,0
2024-06-02 07:47:02.815565,0,0,0
2024-06-02 07:48:30.110725,0,0,0
2024-06-02 07:49:57.408000,0,0,0
2024-06-02 07:51:24.704160,0,0,0
2024-06-02 07:52:52.435000,0,0,0
2024-06-02 07:54:19.295720,0,0,0
2024-06-02 07:55:46.592870,0,0,0
2024-06-02 07:57:13.889030,0,0,0
2024-06-02 07:58:41.216180,0,0,0
2024-06-02 08:00:08.513465,0,0,0
2024-06-02 08:01:36.615000,0,0,0
2024-06-02 08:03:03.551900,0,0,0
2024-06-02 08:04:31.105060,0,0,0
2024-06-02 08:05:58.655335,0,0,0
2024-06-02 08:07:26.206620,0,0,0
2024-06-02 08:08:53.759770,0,0,0
2024-06-02 08:10:21.343930,0,0,0
2024-06-02 08:11:48.896080,0,0,0
2024-06-02 08:13:16.448365,0,0,0
2024-06-02 08:14:44.525000,0,0,0
2024-06-02 08:16:11.552800,0,0,0
2024-06-02 08:17:39.103960,0,0,0
2024-06-02 08:19:06.657235,0,0,0
2024-06-02 08:20:34.209395,0,0,0
2024-06-02 08:22:01.760670,0,0,0
2024-06-02 08:23:29.281955,0,0,0
2024-06-02 08:24:56.802115,0,0,0
2024-06-02 08:26:24.354265,0,0,0
2024-06-02 08:27:51.906425,0,0,0
2024-06-02 08:29:19.426700,0,0,0
2024-06-02 08:30:46.977860,0,0,0
2024-06-02 08:32:14.786135,0,0,0
2024-06-02 08:33:42.596295,0,0,0
2024-06-02 08:35:10.434580,0,0,0
2024-06-02 08:36:38.242855,0,0,0
2024-06-02 08:38:06.510150,0,0,0
2024-06-02 08:39:33.859300,0,0,0
2024-06-02 08:41:01.667450,0,0,0
2024-06-02 08:42:29.475610,0,0,0
2024-06-02 08:43:57.283760,0,0,0
2024-06-02 08:45:25.920450,0,0,0
2024-06-02 08:46:52.900205,0,0,0
2024-06-02 08:59:07.620130,0,0,0
2024-06-02 09:00:35.427290,0,0,0
2024-06-02 09:02:03.491575,0,0,0
2024-06-02 09:03:31.555725,0,0,0
2024-06-02 09:04:59.621010,0,0,0
