Date,QS_mode,AR sum
2024-06-02T02:30:52.740,3727,654748912.1019244
2024-06-02T02:30:52.740,3727,655091877.6563748
2024-06-02T02:30:52.740,3727,653398957.3843409
2024-06-02T02:31:18.502,3846,657256680.6203605
2024-06-02T02:32:17.413,3689,655588140.0043517
2024-06-02T02:32:43.171,3629,654692999.0793475
2024-06-02T02:33:42.859,3652,650757940.8721536
2024-06-02T02:34:07.845,3632,652101559.8232222
2024-06-02T02:35:06.757,3689,654585673.6930864
2024-06-02T02:35:32.515,3632,654039738.3910881
2024-06-02T02:36:31.429,3855,653607714.8253485
2024-06-02T02:36:57.187,3873,653285757.2669806
2024-06-02T02:37:56.102,3671,651784934.7680159
2024-06-02T02:39:20.773,3696,650705910.8800807
2024-06-02T02:39:46.532,3721,651829367.8481444
2024-06-02T02:40:45.573,3758,650658519.716647
2024-06-02T02:41:11.395,3629,650313414.3093753
2024-06-02T02:42:10.534,3767,648450904.2691755
2024-06-02T02:42:36.356,3706,648406073.0983788
2024-06-02T02:43:35.497,3723,650368630.0306604
2024-06-02T02:44:01.315,3743,652454435.29233
2024-06-02T02:45:00.453,3668,651803683.4282478
2024-06-02T02:45:26.275,3878,653271907.5131527
2024-06-02T02:46:25.414,3772,649052327.1269841
2024-06-02T02:46:51.237,3729,650950235.8715324
2024-06-02T02:47:50.375,3884,650469319.1592191
2024-06-02T02:48:16.196,3884,652732320.6752388
2024-06-02T02:49:15.334,3619,650251134.101226
2024-06-02T02:49:41.156,3858,651286053.2051115
2024-06-02T02:50:40.294,3668,649906877.4226526
2024-06-02T02:52:05.255,3714,646408412.0650527
2024-06-02T02:52:31.772,3757,647444197.8437898
2024-06-02T02:53:30.214,3674,645672881.4300542
2024-06-02T02:53:56.441,3851,645958873.5791628
2024-06-02T02:54:55.143,3774,645760865.2417233
2024-06-02T02:55:20.965,3730,647232832.1333791
2024-06-02T02:56:20.104,3752,647135641.5687325
2024-06-02T02:56:45.926,3786,650787946.3690757
2024-06-02T02:57:45.629,3795,647474269.1111134
2024-06-02T02:58:10.885,3746,647341618.5857029
2024-06-02T02:59:10.231,3760,649025113.207371
2024-06-02T02:59:35.845,3706,650248885.9146092
2024-06-02T03:00:34.952,3812,649181023.4510512
2024-06-02T03:01:00.774,3797,651401432.8408455
2024-06-02T03:01:59.912,3714,651988385.7961073
2024-06-02T03:02:25.733,3823,651087683.1110473
2024-06-02T03:03:24.872,3660,651560945.8873417
2024-06-02T03:04:49.832,3586,653641113.748457
2024-06-02T03:05:15.656,3646,656090345.6217238
2024-06-02T03:06:14.792,3836,657337459.315203
2024-06-02T03:06:40.584,3739,656260861.6953179
2024-06-02T03:07:39.752,3824,654920782.3866596
2024-06-02T03:08:05.544,3855,657866684.4632899
2024-06-02T03:09:04.680,3611,658544141.9474963
2024-06-02T03:09:30.478,3635,659535227.2710708
2024-06-02T03:10:29.673,3730,659262679.8459976
2024-06-02T03:10:55.529,3796,659157800.7526404
2024-06-02T03:11:54.888,3851,657151927.6511236
2024-06-02T03:12:20.745,3710,657319302.7105155
2024-06-02T03:13:20.105,3757,656190346.0476776
2024-06-02T03:13:45.961,3795,654743032.1539723
2024-06-02T03:14:45.323,3856,656512627.3362269
2024-06-02T03:15:11.179,3767,658587354.0975057
2024-06-02T03:16:10.539,3757,662404725.5577143
2024-06-02T03:17:35.755,3826,658156733.9309107
2024-06-02T03:18:01.611,3735,657337847.7817626
2024-06-02T03:19:00.972,3634,657087379.0108784
2024-06-02T03:19:26.829,3752,659785069.076417
