Date,QS_mode,AR sum
2024-06-02T02:30:52.740,3727,447735199.7746252
2024-06-02T02:30:52.740,3727,450579459.8323928
2024-06-02T02:30:52.740,3727,450763662.4111335
2024-06-02T02:31:18.502,3846,452947152.1557725
2024-06-02T02:32:17.413,3689,450983220.087452
2024-06-02T02:32:43.171,3629,450076831.1184303
2024-06-02T02:33:42.859,3652,447575433.2470858
2024-06-02T02:34:07.845,3632,446792666.10977024
2024-06-02T02:35:06.757,3689,448994689.2462413
2024-06-02T02:35:32.515,3632,449179833.5522679
2024-06-02T02:36:31.429,3855,449041784.0365062
2024-06-02T02:36:57.187,3873,450845858.01831836
2024-06-02T02:37:56.102,3671,446077956.76803064
2024-06-02T02:39:20.773,3696,444629190.18350893
2024-06-02T02:39:46.532,3721,446991408.74041057
2024-06-02T02:40:45.573,3758,446306264.3358736
2024-06-02T02:41:11.395,3629,444020932.3389356
2024-06-02T02:42:10.534,3767,444270872.5756295
2024-06-02T02:42:36.356,3706,444949363.264547
2024-06-02T02:43:35.497,3723,447404795.3625132
2024-06-02T02:44:01.315,3743,448290997.9634247
2024-06-02T02:45:00.453,3668,446801346.2382327
2024-06-02T02:45:26.275,3878,446941656.34923327
2024-06-02T02:46:25.414,3772,447441427.9021713
2024-06-02T02:46:51.237,3729,450936485.20247644
2024-06-02T02:47:50.375,3884,450624643.98306316
2024-06-02T02:48:16.196,3884,451242539.39759314
2024-06-02T02:49:15.334,3619,448031750.38665915
2024-06-02T02:49:41.156,3858,448490698.0546306
2024-06-02T02:50:40.294,3668,448588308.8105132
2024-06-02T02:52:05.255,3714,447102362.1308867
2024-06-02T02:52:31.772,3757,446330053.53317535
2024-06-02T02:53:30.214,3674,444295345.72088695
2024-06-02T02:53:56.441,3851,441496935.61474204
2024-06-02T02:54:55.143,3774,447139744.4742673
2024-06-02T02:55:20.965,3730,444974635.1573906
2024-06-02T02:56:20.104,3752,447135355.1694421
2024-06-02T02:56:45.926,3786,447273915.3970121
2024-06-02T02:57:45.629,3795,448137803.02386576
2024-06-02T02:58:10.885,3746,443584229.21498686
2024-06-02T02:59:10.231,3760,443990581.1749856
2024-06-02T02:59:35.845,3706,445698914.7751964
2024-06-02T03:00:34.952,3812,447567641.7337946
2024-06-02T03:01:00.774,3797,446633859.95446146
2024-06-02T03:01:59.912,3714,447908765.5443492
2024-06-02T03:02:25.733,3823,446462596.829638
