date_time,suit_counts,helios_counts
2024-11-01 00:26:43.000,58758.8916015625,0.26666666666666666
2024-11-01 00:36:54.000,829070.7880859375,0.3
#2024-11-01 00:45:50.000,33935.416015625,0.3333333333333333
#2024-11-01 00:48:49.000,168705.7275390625,0.2833333333333333
2024-11-01 01:03:43.000,777687.7631835938,0.25
#2024-11-01 01:12:39.000,26718.8974609375,0.2833333333333333
2024-11-01 01:24:33.000,396828.373046875,0.4
#2024-11-01 01:33:28.000,402367.11279296875,5.916666666666667
2024-11-01 01:45:21.000,2848505.046875,0.5
2024-11-01 01:55:44.000,4038717.0278320312,1.5333333333333334
