date_time,helio_count
2024-11-01T00:28:03,0.26666666666666666
2024-11-01T00:30:03,0.2833333333333333
2024-11-01T00:36:03,0.3
2024-11-01T00:40:03,0.31666666666666665
2024-11-01T00:46:03,0.3333333333333333
2024-11-01T00:49:03,0.2833333333333333
2024-11-01T01:05:03,0.25
2024-11-01T01:14:03,0.2833333333333333
2024-11-01T01:25:03,0.4
2024-11-01T01:32:03,5.916666666666667
2024-11-01T01:45:03,0.5
2024-11-01T01:55:03,1.5333333333333334
2024-11-01T02:10:03,6.6
2024-11-01T02:15:03,97.05
2024-11-01T02:28:03,0.3
