Date,Mean,Std,diff_count,Diff_error,Img_count,area,median,thresh_val
2024-07-10 04:00:11.888050,-2.9441463473497067,134.02390417183005,1064741.1499146745,4079.973940214004,34357115.85556544,1670,0.0,407.70941438102295
2024-07-10 04:01:42.509555,-4.90910675451369,96.8837643268434,31360.71590478221,962.1802067394956,1882942.2163872994,74,0.0,311.3417346182357
2024-07-10 04:03:13.967305,-0.21178748313986073,101.07865704877699,67962.97648097281,1360.9770272968021,3772479.914140254,165,0.0,333.5804299481097
2024-07-10 04:04:45.454930,3.5314798576642237,153.91816278902658,2148880.3292691964,4549.7564001493,43549446.93066824,1591,0.0,385.470719051149
2024-07-10 04:06:16.911680,6.415905781653487,160.88847598638773,3126275.470271661,6163.076363872601,79093296.00412191,3092,0.0,407.70941438102295
2024-07-10 04:07:48.401430,4.0344577001563335,190.18792809637688,1355985.5097067275,3769.484621458593,29774014.13253239,1267,4.0,745.2898443291327
2024-07-10 04:09:19.857055,5.385325578339648,186.52016508829354,1803703.7738304536,4401.0186969490205,40541634.915620156,1761,5.0,716.6382505559675
2024-07-10 04:10:51.313805,6.846514409218038,215.42826784314596,2957547.7486799494,4535.214137278284,44093882.29061759,2057,5.0,731.46404744255
2024-07-10 04:12:22.803385,0.23547346488934653,213.42317715571156,1749645.59759371,3448.9507630403887,25540168.32934747,1131,4.0,774.941438102298
2024-07-10 04:13:54.291420,-13.962442447596139,190.1069381093283,391490.5539649482,2135.5800637604125,9512894.971426804,446,-4.0,729.8769458858415
2024-07-10 04:15:25.778705,-20.219266278916983,194.58437125328132,171956.71142479609,1477.1978840869417,4536183.888926671,180,-5.0,751.1156412157153
2024-07-10 04:16:57.490865,-11.870205754033696,225.15154889621942,1480103.920602874,3545.933950013249,26627399.076316003,1076,-3.0,819.8317272053373
2024-07-10 04:18:29.203160,-1.2982267021701648,249.39687302766285,3481163.34860158,4823.885292063412,50020901.97057299,2005,-1.0,829.2446256486286
2024-07-10 04:20:00.915445,12.714679516573215,284.18350689885085,6140853.350527198,5949.401168641813,76931601.88140032,3062,4.0,797.180133432172
2024-07-10 04:21:32.627605,9.261570144883233,251.4187807977202,4533269.2701138025,5555.24130991305,66254681.292842716,2762,3.0,788.7672349888808
2024-07-10 04:23:04.339900,9.936037391297353,240.82339281150064,3404981.3492646664,4837.225163876437,50202475.92134353,2051,9.0,809.5930318754633
2024-07-10 04:24:36.509350,-0.85947425862314,217.48969491702627,2260014.070638061,4485.503561852352,42499498.477418326,1774,0.0,793.180133432172
2024-07-10 04:26:07.764220,5.308623005944959,218.88869603279622,1828233.2661682037,3983.644867949627,33567086.134051,1502,8.0,816.0059303187546
2024-07-10 04:27:39.474515,0.6802834916778621,213.58916085375967,1386022.2412757587,3639.7067452240112,27880952.623734094,1257,4.0,804.5930318754633
2024-07-10 04:29:11.217675,-0.27610941727604504,223.25337973174962,1885745.9774007387,3931.6524495290387,32801527.945176125,1483,1.0,831.2446256486286
2024-07-10 04:30:42.930960,16.86546212200439,234.13931740025873,2542961.9117682027,4213.88560355322,38056625.67143437,1671,14.0,851.6575240919199
2024-07-10 04:32:14.643130,13.730160007079247,248.34527661756135,3676324.257093892,5038.418262192643,54447641.42668655,2457,10.0,862.4833209785027
2024-07-10 04:33:46.354415,19.82524717031221,251.01300361113928,4125308.2390443226,5549.227484382204,65713159.585890025,2932,11.0,878.3091178650852
2024-07-10 04:35:18.675750,13.88921514208103,232.436942232513,2494031.995025634,4520.637439433719,43366357.71264533,1907,9.0,868.896219421794
2024-07-10 04:36:49.779860,10.271759970610397,225.95131339425552,1697933.6341094978,3906.381099895009,32217560.22934338,1503,9.0,854.0704225352114
2024-07-10 04:38:21.491030,9.62084999235763,228.82566033814098,2718144.879164435,5018.47032229141,53088233.63060373,2281,6.0,843.6575240919199
2024-07-10 04:39:53.204315,5.530619085543587,235.87726008663734,3183758.7748926114,5396.760015541397,61433796.10558536,2561,2.0,839.6575240919199
2024-07-10 04:41:24.916350,6.615213409810657,247.71344854614654,4327644.487197126,5832.789240887849,72370505.14443123,3155,2.0,847.0704225352114
2024-07-10 04:42:56.627645,2.3895114514870444,239.2325939680504,2579434.6912248847,4825.904757891858,49158148.155711435,2160,3.0,862.896219421794
2024-07-10 04:44:28.340805,-7.1077895854618,236.27648576628482,1702005.0899684823,3391.723177071645,24709577.309738427,1229,-1.0,858.896219421794
2024-07-10 04:46:00.180090,-13.529007484158843,233.87588917272956,1081695.128398043,3114.5205794575027,20482172.008126643,941,-5.0,854.896219421794
2024-07-10 04:47:32.148260,-2.07638615149053,284.398777078286,3473584.008805524,4461.551700995903,43284471.17012438,1686,0.0,896.9607116382506
2024-07-10 04:49:04.120545,8.747520252278633,301.9344167187565,5652101.857784266,5834.167760802351,73727128.78015529,2836,1.0,875.7220163083766
2024-07-10 04:50:36.847050,8.70188055915328,265.2426046103295,4378506.166942147,5740.403748520136,70282976.5589902,2795,5.0,887.1349147516679
2024-07-10 04:52:08.530000,4.293665414390715,247.4111900726292,2442771.825785756,4692.070254820167,46473818.37812212,1946,5.0,909.3736100815419
2024-07-10 04:53:40.211600,9.293719045052438,265.61653036581566,3788804.9820859544,5540.765489540478,65188969.40225141,2960,6.0,925.1994069681245
2024-07-10 04:55:12.214550,10.932304697241507,267.55182859149625,2625567.3614974506,4640.945525373691,45702318.10046964,1991,10.0,966.2638991845812
2024-07-10 04:56:43.988615,9.349398398052134,248.62309412680946,1575526.3872406199,3819.727999154661,30756170.362292755,1294,12.0,931.1994069681245
2024-07-10 04:58:15.989900,9.890542500958649,249.01220998106638,1117566.461766125,2982.125321310683,18903709.325770814,895,12.0,953.4381022979985
2024-07-10 04:59:47.990070,7.5170290758632525,255.6631967171414,1237865.9199205579,3048.035341883741,19818904.81066522,991,11.0,937.612305411416
2024-07-10 05:01:19.989355,15.149339940630858,260.01472574255797,1965159.1823075956,4130.904268927961,36093899.34040211,1581,18.0,974.2638991845812
2024-07-10 05:02:51.990515,11.40557383467276,263.94140654609623,2020514.9712294654,4044.8407450740265,34741988.277251475,1497,13.0,954.4381022979985
2024-07-10 05:04:23.990685,0.23746852550540196,266.6101988477375,1414159.8355453636,3439.698228947197,25077207.647990335,1115,8.0,979.0896960711638
2024-07-10 05:05:55.989970,-5.402066389396145,272.7767389446622,2314608.690056919,4141.309015341238,36615489.411150135,1655,1.0,957.2638991845812
2024-07-10 05:07:27.991255,-17.592865513071132,274.5913544577706,1760616.4331970257,3562.4598690626376,27142857.070560593,1386,-8.0,970.5025945144553
2024-07-10 05:08:59.991550,-18.278670281373266,272.56386865937327,1667609.8851616695,3508.848719938542,26291648.563990355,1345,-7.0,956.6767976278725
2024-07-10 05:10:31.990710,-22.86756444394389,281.1428704520636,1332114.8698885445,3350.7980133602127,23787809.522566043,1074,-8.0,985.3283914010378
2024-07-10 05:12:03.991880,-29.95705792915926,272.79833793436194,685145.729241034,2320.3218754588725,11452932.94070699,568,-11.0,960.0896960711638
2024-07-10 05:13:35.992165,-15.860096374299115,268.1869852891564,491197.8183285546,2058.8344553721645,8968796.44758375,427,-2.0,961.6767976278725
2024-07-10 05:15:07.991325,-28.9828355067159,270.35735748365875,655375.6861768896,2463.2484854295267,12790561.888118604,564,-11.0,952.6767976278725
2024-07-10 05:16:40.247620,-24.909482169145743,272.71597570885797,633183.1256460997,2166.2995496017325,10018890.602855437,530,-5.0,973.5025945144553
2024-07-10 05:18:12.533780,-23.7345469952081,269.52227668287446,413358.2810170666,1810.6108284811962,6969981.425443795,351,-10.0,975.9154929577466
