time,exposure,region_1,region_2,region_3,region_4,region_5
2024-07-10 04:00:06.622,2.900782,1.2885781e+07,1.770294e+07,1.0312772e+07,2.2520856e+07,2.455208e+06
2024-07-10 04:00:18.623,2.90081,1.2885644e+07,1.7703652e+07,1.0315232e+07,2.2520564e+07,2.454307e+06
2024-07-10 04:00:30.615,2.900807,1.2881487e+07,1.7704708e+07,1.0318099e+07,2.2512836e+07,2.452765e+06
2024-07-10 04:00:42.626,2.90081,1.2908301e+07,1.7684908e+07,1.0312761e+07,2.2534384e+07,2.458004e+06
2024-07-10 04:00:54.624,2.90081,1.2920913e+07,1.770784e+07,1.0298618e+07,2.2537134e+07,2.467081e+06
2024-07-10 04:01:06.616,2.900807,1.2932725e+07,1.7710928e+07,1.0306371e+07,2.2556182e+07,2.472135e+06
2024-07-10 04:01:18.622,2.9008089999999997,1.2951475e+07,1.7707208e+07,1.029783e+07,2.2552766e+07,2.469026e+06
2024-07-10 04:01:30.622,2.9008079999999996,1.296339e+07,1.7703132e+07,1.0298152e+07,2.2552194e+07,2.473716e+06
2024-07-10 04:01:42.626,2.9008069999999995,1.2988882e+07,1.7693246e+07,1.0304357e+07,2.2558166e+07,2.47148e+06
2024-07-10 04:01:54.615,2.9008079999999996,1.3003438e+07,1.7695392e+07,1.0296623e+07,2.2549692e+07,2.469805e+06
2024-07-10 04:02:06.622,2.9008079999999996,1.3040566e+07,1.7690124e+07,1.0286221e+07,2.2555298e+07,2.465799e+06
2024-07-10 04:02:18.616,2.9008059999999998,1.3043846e+07,1.7687906e+07,1.0278979e+07,2.2557252e+07,2.463507e+06
2024-07-10 04:02:30.622,2.900807,1.3045762e+07,1.7695436e+07,1.0289324e+07,2.2566082e+07,2.46407e+06
2024-07-10 04:02:42.615,2.9008059999999998,1.3059142e+07,1.767851e+07,1.0281709e+07,2.2570358e+07,2.460161e+06
2024-07-10 04:02:54.623,2.900809,1.307601e+07,1.7674332e+07,1.026868e+07,2.256436e+07,2.462511e+06
2024-07-10 04:03:06.615,2.900807,1.3090683e+07,1.7671152e+07,1.0282397e+07,2.2557194e+07,2.460561e+06
2024-07-10 04:03:18.623,2.90081,1.3118733e+07,1.7677744e+07,1.027154e+07,2.2560176e+07,2.452811e+06
2024-07-10 04:03:30.622,2.9008059999999998,1.3145692e+07,1.7674066e+07,1.0273853e+07,2.2565078e+07,2.453275e+06
2024-07-10 04:03:42.625,2.9008079999999996,1.3156224e+07,1.7684288e+07,1.0284485e+07,2.2565888e+07,2.452358e+06
2024-07-10 04:03:54.615,2.9008089999999997,1.3172832e+07,1.768135e+07,1.0285897e+07,2.2565562e+07,2.446253e+06
2024-07-10 04:04:06.624,2.90081,1.3191173e+07,1.7678348e+07,1.028435e+07,2.2577612e+07,2.445028e+06
2024-07-10 04:04:18.616,2.9008089999999997,1.3209225e+07,1.76806e+07,1.027467e+07,2.2572584e+07,2.441346e+06
2024-07-10 04:04:30.623,2.9008089999999997,1.3239211e+07,1.7681038e+07,1.0277957e+07,2.2580072e+07,2.442702e+06
2024-07-10 04:04:42.616,2.900807,1.3329606e+07,1.768213e+07,1.0270397e+07,2.257873e+07,2.443027e+06
2024-07-10 04:04:54.623,2.900808,1.3350901e+07,1.7679644e+07,1.02622e+07,2.258169e+07,2.442536e+06
2024-07-10 04:05:06.615,2.900807,1.3389833e+07,1.7669966e+07,1.0259022e+07,2.258176e+07,2.441738e+06
2024-07-10 04:05:18.630,2.9008079999999996,1.3443759e+07,1.7689048e+07,1.026087e+07,2.2586152e+07,2.442616e+06
2024-07-10 04:05:30.616,2.900808,1.3483517e+07,1.7698154e+07,1.025095e+07,2.2601712e+07,2.441292e+06
2024-07-10 04:05:42.626,2.900811,1.3492733e+07,1.7675252e+07,1.0245936e+07,2.2593984e+07,2.441202e+06
2024-07-10 04:05:54.622,2.9008079999999996,1.3502243e+07,1.7678768e+07,1.0236369e+07,2.2595802e+07,2.434793e+06
2024-07-10 04:06:06.623,2.90081,1.3450415e+07,1.769412e+07,1.0232791e+07,2.2613556e+07,2.436874e+06
2024-07-10 04:06:18.638,2.90081,1.3446657e+07,1.768298e+07,1.023505e+07,2.2625508e+07,2.439055e+06
2024-07-10 04:06:30.623,2.90081,1.3462239e+07,1.7689998e+07,1.0230025e+07,2.263082e+07,2.435786e+06
2024-07-10 04:06:42.615,2.9008089999999997,1.3436109e+07,1.7694416e+07,1.022845e+07,2.2630404e+07,2.432486e+06
2024-07-10 04:06:54.622,2.90081,1.3432982e+07,1.7694104e+07,1.0228744e+07,2.2633572e+07,2.430978e+06
2024-07-10 04:07:06.638,2.9008089999999997,1.3436207e+07,1.7688098e+07,1.0223381e+07,2.2632936e+07,2.426308e+06
2024-07-10 04:07:18.622,2.900811,1.3455675e+07,1.7682896e+07,1.0221385e+07,2.2635422e+07,2.424624e+06
2024-07-10 04:07:30.616,2.9008089999999997,1.342843e+07,1.7686212e+07,1.0216206e+07,2.2649616e+07,2.421383e+06
2024-07-10 04:07:42.626,2.9008089999999997,1.3415276e+07,1.7683548e+07,1.0215658e+07,2.2651584e+07,2.421646e+06
2024-07-10 04:07:54.616,2.9008089999999997,1.3440975e+07,1.767951e+07,1.0223354e+07,2.2648516e+07,2.416592e+06
2024-07-10 04:08:06.622,2.90081,1.3444884e+07,1.768182e+07,1.0214696e+07,2.2644236e+07,2.415165e+06
2024-07-10 04:08:18.623,2.90081,1.3415997e+07,1.7669052e+07,1.0230485e+07,2.2636872e+07,2.415308e+06
2024-07-10 04:08:30.616,2.90081,1.3393703e+07,1.766905e+07,1.022523e+07,2.2657772e+07,2.414556e+06
2024-07-10 04:08:42.625,2.9008079999999996,1.3395487e+07,1.7674584e+07,1.0209459e+07,2.2645936e+07,2.412e+06
2024-07-10 04:08:54.623,2.900808,1.3379707e+07,1.767802e+07,1.0199718e+07,2.2644066e+07,2.421048e+06
2024-07-10 04:09:06.630,2.900811,1.339017e+07,1.7679752e+07,1.019759e+07,2.2642948e+07,2.415918e+06
2024-07-10 04:09:18.624,2.90081,1.3409321e+07,1.7673012e+07,1.0199928e+07,2.2647738e+07,2.420627e+06
2024-07-10 04:09:30.623,2.900812,1.3401542e+07,1.7672908e+07,1.0201876e+07,2.2646452e+07,2.424258e+06
2024-07-10 04:09:42.625,2.9008089999999997,1.3396103e+07,1.76696e+07,1.0192668e+07,2.2655948e+07,2.419215e+06
2024-07-10 04:09:54.623,2.900811,1.3416151e+07,1.7673944e+07,1.0179769e+07,2.2653982e+07,2.422833e+06
2024-07-10 04:10:06.623,2.90081,1.338718e+07,1.7671184e+07,1.0176906e+07,2.2651194e+07,2.41666e+06
2024-07-10 04:10:18.622,2.900811,1.3359222e+07,1.7660438e+07,1.0172856e+07,2.2656758e+07,2.415636e+06
2024-07-10 04:10:30.623,2.90081,1.334726e+07,1.7655104e+07,1.0165536e+07,2.266353e+07,2.416747e+06
2024-07-10 04:10:42.616,2.9008100000000003,1.3346569e+07,1.7664892e+07,1.0162372e+07,2.2669468e+07,2.416489e+06
2024-07-10 04:10:54.622,2.9008119999999997,1.3322114e+07,1.7662226e+07,1.0149288e+07,2.2671416e+07,2.41659e+06
2024-07-10 04:11:06.615,2.9008089999999997,1.3304689e+07,1.7656196e+07,1.0151253e+07,2.2661348e+07,2.415421e+06
2024-07-10 04:11:18.622,2.900811,1.3279273e+07,1.766308e+07,1.0147536e+07,2.2661742e+07,2.419276e+06
2024-07-10 04:11:30.622,2.900811,1.3254546e+07,1.7665172e+07,1.0147078e+07,2.2676096e+07,2.42016e+06
2024-07-10 04:11:42.626,2.9008089999999997,1.3233791e+07,1.7682776e+07,1.013578e+07,2.2671932e+07,2.418879e+06
2024-07-10 04:11:54.622,2.900813,1.3238464e+07,1.7685156e+07,1.0141934e+07,2.266286e+07,2.42401e+06
2024-07-10 04:12:06.616,2.900812,1.3227379e+07,1.7676876e+07,1.0132799e+07,2.266087e+07,2.424999e+06
2024-07-10 04:12:18.622,2.9008119999999997,1.3214268e+07,1.7682764e+07,1.0130558e+07,2.2666412e+07,2.426176e+06
2024-07-10 04:12:30.622,2.9008119999999997,1.3206576e+07,1.767148e+07,1.0119022e+07,2.2671916e+07,2.424652e+06
2024-07-10 04:12:42.615,2.900811,1.3214006e+07,1.766794e+07,1.0115191e+07,2.2660022e+07,2.420705e+06
2024-07-10 04:12:54.622,2.9008119999999997,1.3214728e+07,1.7681228e+07,1.0114015e+07,2.2669352e+07,2.418537e+06
2024-07-10 04:13:06.617,2.900811,1.3206309e+07,1.7684532e+07,1.0122502e+07,2.268132e+07,2.417402e+06
2024-07-10 04:13:18.638,2.90081,1.3186507e+07,1.7671146e+07,1.0118635e+07,2.2669584e+07,2.421423e+06
2024-07-10 04:13:30.623,2.9008089999999997,1.3171178e+07,1.7661336e+07,1.0116831e+07,2.2679598e+07,2.421945e+06
2024-07-10 04:13:42.626,2.9008079999999996,1.3175751e+07,1.766858e+07,1.0119725e+07,2.2686488e+07,2.420438e+06
2024-07-10 04:13:54.630,2.9008079999999996,1.3165727e+07,1.7675668e+07,1.0112519e+07,2.2697112e+07,2.415801e+06
2024-07-10 04:14:06.622,2.900811,1.3120047e+07,1.7676616e+07,1.0098664e+07,2.2699308e+07,2.414511e+06
2024-07-10 04:14:18.622,2.900812,1.3107717e+07,1.7664352e+07,1.0098245e+07,2.2701452e+07,2.41273e+06
2024-07-10 04:14:30.630,2.9008089999999997,1.3074068e+07,1.765073e+07,1.0100659e+07,2.2702076e+07,2.41194e+06
2024-07-10 04:14:42.625,2.900813,1.3052986e+07,1.766298e+07,1.0116885e+07,2.2716414e+07,2.414659e+06
2024-07-10 04:14:54.622,2.900811,1.3044542e+07,1.7657826e+07,1.0120305e+07,2.2727192e+07,2.413624e+06
2024-07-10 04:15:06.623,2.900811,1.3032967e+07,1.7663294e+07,1.0128883e+07,2.2708252e+07,2.403672e+06
2024-07-10 04:15:18.622,2.90081,1.3010032e+07,1.7659964e+07,1.0146543e+07,2.2728132e+07,2.405991e+06
2024-07-10 04:15:30.622,2.90081,1.2991242e+07,1.7664404e+07,1.0137697e+07,2.2736692e+07,2.406067e+06
2024-07-10 04:15:42.615,2.900811,1.2981569e+07,1.7659344e+07,1.0147621e+07,2.274462e+07,2.402095e+06
2024-07-10 04:15:54.630,2.900811,1.2981679e+07,1.7649844e+07,1.0160031e+07,2.2763064e+07,2.403702e+06
2024-07-10 04:16:06.622,2.900811,1.299083e+07,1.7655476e+07,1.0145477e+07,2.2772472e+07,2.399933e+06
2024-07-10 04:16:18.615,2.900811,1.3011775e+07,1.7649296e+07,1.0145964e+07,2.2769866e+07,2.405397e+06
2024-07-10 04:16:30.622,2.900811,1.2992694e+07,1.7655566e+07,1.0144289e+07,2.2788026e+07,2.402294e+06
2024-07-10 04:16:42.616,2.9008089999999997,1.2973549e+07,1.7644104e+07,1.0137685e+07,2.280382e+07,2.401673e+06
2024-07-10 04:16:54.622,2.9008119999999997,1.2968143e+07,1.7651844e+07,1.0140696e+07,2.2817008e+07,2.401761e+06
2024-07-10 04:17:06.616,2.900811,1.3009086e+07,1.7642624e+07,1.0150166e+07,2.2829862e+07,2.415325e+06
2024-07-10 04:17:18.647,2.900811,1.306753e+07,1.764811e+07,1.0132997e+07,2.2851958e+07,2.413326e+06
2024-07-10 04:17:30.623,2.9008089999999997,1.3107776e+07,1.7638704e+07,1.0151163e+07,2.2856442e+07,2.412573e+06
2024-07-10 04:17:42.626,2.900811,1.3063792e+07,1.7645934e+07,1.0164836e+07,2.2863108e+07,2.417045e+06
2024-07-10 04:17:54.622,2.9008089999999997,1.308148e+07,1.763781e+07,1.0167207e+07,2.2875948e+07,2.416231e+06
2024-07-10 04:18:06.631,2.90081,1.3087736e+07,1.764254e+07,1.0169553e+07,2.289036e+07,2.419235e+06
2024-07-10 04:18:18.622,2.90081,1.3109777e+07,1.7631766e+07,1.0168463e+07,2.2906114e+07,2.424429e+06
2024-07-10 04:18:30.616,2.900811,1.3193021e+07,1.7636528e+07,1.0179082e+07,2.2913558e+07,2.424954e+06
2024-07-10 04:18:42.626,2.9008089999999997,1.3273509e+07,1.7646984e+07,1.0192677e+07,2.2928834e+07,2.43309e+06
2024-07-10 04:18:54.622,2.900809,1.3415925e+07,1.762952e+07,1.0209533e+07,2.2974188e+07,2.427373e+06
2024-07-10 04:19:06.615,2.9008069999999995,1.3486792e+07,1.7639088e+07,1.0225305e+07,2.2990938e+07,2.423712e+06
2024-07-10 04:19:18.623,2.900807,1.346356e+07,1.76416e+07,1.0233498e+07,2.3004128e+07,2.428494e+06
2024-07-10 04:19:30.622,2.9008079999999996,1.3473789e+07,1.764474e+07,1.0226027e+07,2.3034062e+07,2.428664e+06
2024-07-10 04:19:42.615,2.9008089999999997,1.3488964e+07,1.7643116e+07,1.0208185e+07,2.3062322e+07,2.423833e+06
2024-07-10 04:19:54.622,2.9008089999999997,1.3445248e+07,1.764337e+07,1.0181159e+07,2.3093808e+07,2.417954e+06
2024-07-10 04:20:06.630,2.9008089999999997,1.3418515e+07,1.7663904e+07,1.016524e+07,2.3107704e+07,2.410586e+06
