Time,Total,smoothed_count,Area,Exposure,Meas_exposure
2024-07-10 04:00:11.888050,2358852343.4007506,2358852343.4007506,372921,2000,1929.7000000000003
2024-07-10 04:01:42.509555,2358115950.599083,2358115950.599083,372921,2000,1929.7000000000003
2024-07-10 04:03:13.967305,2359875126.657924,2359875126.6579237,372921,2000,1929.7000000000003
2024-07-10 04:04:45.454930,2361265299.881712,2361265299.881712,372921,2000,1929.7000000000003
2024-07-10 04:06:16.911680,2362342200.7889633,2362342200.7889633,372921,2000,1929.7000000000003
2024-07-10 04:07:48.401430,2361458955.6294913,2361458955.6294913,372921,2000,1929.7000000000003
2024-07-10 04:09:19.857055,2361963714.4649973,2361963714.4649973,372921,2000,1929.7000000000003
2024-07-10 04:10:51.313805,2362509020.369335,2362509020.369335,372921,2000,1929.7000000000003
2024-07-10 04:12:22.803385,2360041876.8481793,2360041876.8481793,372921,2000,1929.7000000000003
2024-07-10 04:13:54.291420,2354738761.7196317,2354738761.719631,372921,2000,1929.7000000000003
2024-07-10 04:15:25.778705,2352403711.8056855,2352403711.805686,372921,2000,1929.7000000000003
2024-07-10 04:16:57.490865,2355520107.333199,2355520107.333199,372921,2000,1932.4
2024-07-10 04:18:29.203160,2359463800.63379,2359463800.63379,372921,2000,1929.7000000000003
2024-07-10 04:20:00.915445,2364695651.8759665,2364695651.875967,372921,2000,1929.7000000000003
2024-07-10 04:21:32.627605,2363406970.159422,2363406970.1594224,372921,2000,1929.7000000000003
2024-07-10 04:23:04.339900,2363664388.3394394,2363664388.3394394,372921,2000,1929.7000000000003
2024-07-10 04:24:36.509350,2359630105.3706,2359630105.3706,372921,2000,1929.7000000000003
2024-07-10 04:26:07.764220,2361937569.6485777,2361937569.648577,372921,2000,1929.7000000000003
2024-07-10 04:27:39.474515,2360208198.7617874,2360208198.7617874,372921,2000,1929.7000000000003
2024-07-10 04:29:11.217675,2359847655.9825068,2359847655.9825068,372921,2000,1929.7000000000003
2024-07-10 04:30:42.930960,2366252291.5123634,2366252291.5123634,372921,2000,1929.7000000000003
2024-07-10 04:32:14.643130,2365079043.4824085,2365079043.482408,372921,2000,1932.4
2024-07-10 04:33:46.354415,2367352554.244565,2367352554.2445645,372921,2000,1929.7000000000003
2024-07-10 04:35:18.675750,2365137699.451556,2365137699.4515557,372921,2000,1929.7000000000003
2024-07-10 04:36:49.779860,2363789080.5916104,2363789080.5916104,372921,2000,1932.4
2024-07-10 04:38:21.491030,2363543009.1092625,2363543009.1092625,372921,2000,1929.7000000000003
2024-07-10 04:39:53.204315,2362014402.6904864,2362014402.6904864,372921,2000,1929.7000000000003
2024-07-10 04:41:24.916350,2362418972.595549,2362418972.5955496,372921,2000,1932.4
2024-07-10 04:42:56.627645,2360843810.3763533,2360843810.3763533,372921,2000,1929.7000000000003
2024-07-10 04:44:28.340805,2357297703.28944,2357297703.28944,372921,2000,1929.7000000000003
2024-07-10 04:46:00.180090,2354899863.5449076,2354899863.5449076,372921,2000,1929.7000000000003
2024-07-10 04:47:32.148260,2359174710.7891893,2359174710.7891893,372921,2000,1929.7000000000003
2024-07-10 04:49:04.120545,2363212553.1746855,2363212553.1746855,372921,2000,1929.7000000000003
2024-07-10 04:50:36.847050,2363199434.825808,2363199434.825808,372921,2000,1929.7000000000003
2024-07-10 04:52:08.530000,2361555179.0100904,2361555179.010091,372921,2000,1927.0
2024-07-10 04:53:40.211600,2363420923.4329796,2363420923.43298,372921,2000,1927.0
2024-07-10 04:55:12.214550,2364035244.7647605,2364035244.764761,372921,2000,1929.7000000000003
2024-07-10 04:56:43.988615,2363446537.7867513,2363446537.7867513,372921,2000,1929.7000000000003
2024-07-10 04:58:15.989900,2363649053.118316,2363649053.118316,372921,2000,1929.7000000000003
2024-07-10 04:59:47.990070,2362762962.9969473,2362762962.9969473,372921,2000,1929.7000000000003
