Time,AR_total,AR_count_Er,QS_total,QS_count_Er,AR_area,QS_area
2024-07-10T13:31:27.640,15163146.24268304,3078.4681907852973,64031550.8408943,6326.114073865483,1073,3422
2024-07-10T13:33:17.145,15095240.644132318,3071.5672550967693,63655360.56066307,6307.50349587017,1073,3422
2024-07-10T13:35:06.649,15071271.801531404,3069.1277060358907,64089172.710551485,6328.959862733739,1073,3422
2024-07-10T13:36:56.153,15032907.258245654,3065.218921448113,64045529.03658357,6326.80453687837,1073,3422
2024-07-10T13:38:45.658,15065723.883112777,3068.5627624256745,63938963.17429909,6321.538735461243,1073,3422
2024-07-10T13:40:35.162,15048095.770989731,3066.767004007409,64101752.93882056,6329.580996145231,1073,3422
2024-07-10T13:42:24.666,15076043.173379544,3069.6134908750664,64040476.077751115,6326.554951045193,1073,3422
2024-07-10T13:44:14.171,14977636.40362203,3059.5788521075524,63877222.50993644,6318.4859000167335,1073,3422
2024-07-10T13:46:03.675,15004230.592469241,3062.293931074102,64022114.60430351,6325.64792157212,1073,3422
2024-07-10T13:47:53.180,15037359.112708472,3065.6727557654935,63806930.898331,6315.0084569584615,1073,3422
2024-07-10T13:49:42.684,15120098.977899006,3074.0952914942113,63947080.227757774,6321.939982501306,1073,3422
2024-07-10T13:51:32.186,15098065.017744794,3071.8545922765443,63757873.38662862,6312.580365163115,1073,3422
2024-07-10T13:53:21.691,15259163.714333266,3088.1996893753953,63986162.19021255,6323.871549049905,1073,3422
2024-07-10T13:55:11.194,15109183.214634046,3072.985439136717,64021460.42804249,6325.615603838614,1073,3422
2024-07-10T13:57:00.699,15058599.469518906,3067.837131995327,63752350.972305715,6312.306975875862,1073,3422
2024-07-10T13:58:50.202,15164028.948164769,3078.5577942606465,63429835.06154883,6296.320108878521,1073,3422
2024-07-10T14:00:39.706,15216622.189756872,3083.891838018649,63722214.69751634,6310.814859108743,1073,3422
2024-07-10T14:02:29.212,15233441.233832518,3085.5956914581857,63742445.2253247,6311.816558315675,1073,3422
2024-07-10T14:04:18.715,15163063.836510591,3078.4598255977157,64277648.73834528,6338.259261143063,1073,3422
2024-07-10T14:06:08.219,15106227.540344657,3072.6848541162512,63866262.03356479,6317.943792958116,1073,3422
2024-07-10T14:07:57.725,15128557.598281559,3074.9550401470874,64074248.88641764,6328.2229380775625,1073,3422
2024-07-10T14:09:47.228,15111257.34888958,3073.1963560853037,64025710.609247774,6325.825569107946,1073,3422
2024-07-10T14:11:36.733,15254740.233677056,3087.7520376558996,63625949.196332514,6306.046165998772,1073,3422
2024-07-10T14:13:26.238,15291957.913968336,3091.5164072393677,63545539.84033825,6302.060171103684,1073,3422
2024-07-10T14:15:15.741,15302918.297977995,3092.624118161831,63689695.98348936,6309.204386424713,1073,3422
2024-07-10T14:17:05.244,15133176.914246973,3075.424453860696,63930937.870664634,6321.141998813617,1073,3422
2024-07-10T14:18:54.750,15142193.151401386,3076.3404752442257,63998045.74885597,6324.458758900637,1073,3422
2024-07-10T14:20:44.252,15067640.270774862,3068.7579196206225,64151877.53970032,6332.05523209587,1073,3422
2024-07-10T14:22:33.757,15089446.719692128,3070.9777270126174,64368690.911021754,6342.746394062165,1073,3422
2024-07-10T14:24:23.261,15173515.594142463,3079.520619567117,63827993.53940699,6316.050661776659,1073,3422
2024-07-10T14:26:12.766,15172684.692543743,3079.4363011499104,63546169.451875746,6302.091391547915,1073,3422
2024-07-10T14:28:02.269,15193037.80526807,3081.5010349329013,63844462.162148565,6316.86542925705,1073,3422
2024-07-10T14:29:51.773,15233108.938920163,3085.5620374293403,64157095.282062024,6332.312733219101,1073,3422
2024-07-10T14:31:41.278,15305420.348001491,3092.876932162179,63838440.91854259,6316.567546863495,1073,3422
2024-07-10T14:33:30.781,15372689.690930571,3099.6662815263844,64164503.5672749,6332.6783219698455,1073,3422
2024-07-10T14:35:20.287,15485859.613636794,3111.054846595122,64134052.394749545,6331.175463270503,1073,3422
2024-07-10T14:37:09.791,15524582.89934019,3114.9421041309292,63676867.05063264,6308.568926994885,1073,3422
2024-07-10T14:38:59.294,15567353.615947075,3119.230034794952,63569518.659633994,6303.249095686387,1073,3422
2024-07-10T14:40:48.799,15647912.15772179,3127.2903764403004,63802472.248661384,6314.787815549574,1073,3422
2024-07-10T14:42:38.304,15717502.869695399,3134.236636496936,64033434.66368946,6326.20713103878,1073,3422
2024-07-10T14:44:27.807,15603998.503992088,3122.89914422401,63978216.57391934,6323.478896833575,1073,3422
2024-07-10T14:46:17.312,15579268.237502743,3120.4234726138075,63870111.31300892,6318.1341842849915,1073,3422
2024-07-10T14:48:06.816,15516468.956341457,3114.1279835153546,63991488.82719173,6324.134764297392,1073,3422
2024-07-10T14:49:56.319,15411887.399434363,3103.615572948183,63709199.18017781,6310.170321600768,1073,3422
2024-07-10T14:51:45.823,15359341.003729153,3098.320210586814,64049185.69740763,6326.985147831451,1073,3422
2024-07-10T14:53:35.327,15410628.898030443,3103.488853092439,63911383.421935,6320.175206330073,1073,3422
2024-07-10T14:55:24.832,15528890.009453336,3115.3741759070185,63777416.22472468,6313.5477459549575,1073,3422
2024-07-10T14:57:14.335,15635505.68474116,3126.050391942399,63928048.39514495,6320.99914941978,1073,3422
2024-07-10T14:59:03.844,15494908.16391352,3111.963624859062,63792700.64615213,6314.304229592131,1073,3422
2024-07-10T15:00:53.341,15587755.858266085,3121.2733637758006,64006475.51134977,6324.875271070063,1073,3422
2024-07-10T15:02:42.849,15719283.487817746,3134.414168530715,64289491.63348931,6338.84313348507,1073,3422
2024-07-10T15:04:32.351,15638233.590232197,3126.3230789371596,63704407.554617554,6309.933020376363,1073,3422
2024-07-10T15:06:21.862,15555173.271199267,3118.0095084042864,63777413.69813212,6313.547620896874,1073,3422
2024-07-10T15:08:11.359,15362640.637126219,3098.652997385136,64255616.240893275,6337.172883120539,1073,3422
2024-07-10T15:10:00.897,15356337.048823223,3098.017213560073,64023744.31279309,6325.72843200652,1073,3422
2024-07-10T15:11:50.402,15422477.881319977,3104.6817350293713,64224959.327170886,6335.660942591689,1073,3422
2024-07-10T15:14:38.101,15440029.03543307,3106.447834286884,64352757.48740694,6341.961323567761,1073,3422
2024-07-10T15:16:15.349,15417049.528288197,3104.135299109902,64225687.23901069,6335.696845997421,1073,3422
2024-07-10T15:17:52.564,15462072.410805792,3108.66454554904,64211105.99598607,6334.977604340153,1073,3422
2024-07-10T15:19:29.748,15503567.205549773,3112.833034948808,63928265.826695606,6321.009898875713,1073,3422
2024-07-10T15:21:06.934,15505781.347681688,3113.055306656317,64176880.711816944,6333.28907005559,1073,3422
2024-07-10T15:22:44.117,15501167.957509473,3112.5921630440794,63766202.91611342,6312.992699391541,1073,3422
2024-07-10T15:24:21.301,15608854.418617357,3123.385024558427,63704934.48730571,6309.959116711143,1073,3422
2024-07-10T15:25:58.486,15592491.8570827,3121.7474931000884,63725121.41063012,6310.958792580081,1073,3422
2024-07-10T15:27:35.670,15536521.932334214,3116.1396322547685,63697343.85434981,6309.5831802876355,1073,3422
2024-07-10T15:29:12.854,15727907.234223206,3135.2738351521234,63671526.9897843,6308.304397269934,1073,3422
2024-07-10T15:30:50.102,15784190.399902083,3140.87869869863,63872631.66394398,6318.258841640233,1073,3422
2024-07-10T15:32:27.541,15669454.985837765,3129.442341080692,64076433.48859386,6328.330817077373,1073,3422
2024-07-10T15:34:04.983,15671613.955104057,3129.657924109284,63679242.49710651,6308.68659553568,1073,3422
2024-07-10T15:35:54.711,15815638.02931058,3144.006006406335,64020474.22304623,6325.566882849624,1073,3422
2024-07-10T15:37:44.438,15642110.197380971,3126.7105515802236,63810687.92670642,6315.194371845693,1073,3422
2024-07-10T15:39:34.168,15661789.343361247,3128.6767713525123,63326767.64535062,6291.20257012474,1073,3422
2024-07-10T15:41:23.899,15771890.94779336,3139.6547329875066,63151755.251703195,6282.503245706642,1073,3422
2024-07-10T15:43:13.624,15762807.304605257,3138.7504783557238,63331302.33259849,6291.427815518037,1073,3422
2024-07-10T15:45:03.321,15767459.851287238,3139.213660624986,63765599.49124927,6312.962829134257,1073,3422
2024-07-10T15:46:53.780,15742816.217818316,3136.7594960622096,63402368.66802331,6294.956744689718,1073,3422
2024-07-10T15:48:42.775,15720260.095320834,3134.5115344460805,63653023.01215845,6307.387682915886,1073,3422
2024-07-10T15:50:32.504,15740489.186744306,3136.527656775114,63583529.66746545,6303.943689641103,1073,3422
