DateTime,Diff_count
2024-07-10 13:38:19.146410,555820.1025390625
2024-07-10 13:38:37.925650,380854.626953125
2024-07-10 13:40:08.649735,234155.40600585938
2024-07-10 13:40:26.595765,1009151.3239746094
2024-07-10 13:41:58.154050,4524702.537597656
2024-07-10 13:42:16.100080,3358626.1430664062
2024-07-10 13:43:47.659365,1752692.7963867188
2024-07-10 13:44:05.605405,2484884.7651367188
2024-07-10 13:45:37.162690,1898375.0869140625
2024-07-10 13:45:55.108720,2334026.9594726562
2024-07-10 13:47:26.667005,2033176.6259765625
2024-07-10 13:47:44.613045,2374259.8364257812
2024-07-10 13:49:16.171330,1181699.001953125
2024-07-10 13:49:34.117360,1148378.6298828125
2024-07-10 13:51:05.675770,1699971.1547851562
2024-07-10 13:51:23.619810,1681008.2846679688
2024-07-10 13:52:55.181095,2757367.7338867188
2024-07-10 13:53:13.125125,2932261.2705078125
2024-07-10 13:54:44.684410,4624318.162597656
2024-07-10 13:55:02.628450,4733830.421875
2024-07-10 13:56:34.187610,4009571.3383789062
2024-07-10 13:56:52.131765,4500721.182128906
2024-07-10 13:58:23.692925,2842723.5849609375
2024-07-10 13:58:41.637080,3098664.0717773438
2024-07-10 14:00:13.196250,2078611.4360351562
2024-07-10 14:00:31.140280,2479665.8403320312
2024-07-10 14:02:02.699565,2629970.1079101562
2024-07-10 14:02:20.645595,2411467.9140625
2024-07-10 14:03:52.202890,2058481.0258789062
2024-07-10 14:04:10.148920,2234160.09765625
2024-07-10 14:05:41.707330,1823609.3725585938
2024-07-10 14:05:59.653360,1671178.3461914062
2024-07-10 14:07:31.212655,2548714.5341796875
2024-07-10 14:07:49.158685,2774676.2099609375
2024-07-10 14:09:20.715970,2730458.6020507812
2024-07-10 14:09:38.662000,2847090.8110351562
2024-07-10 14:11:10.220295,3919321.0200195312
2024-07-10 14:11:28.166325,4074911.3432617188
2024-07-10 14:12:59.725485,5421646.634277344
2024-07-10 14:13:17.671640,5096562.734863281
2024-07-10 14:14:49.232810,4422063.103027344
2024-07-10 14:15:07.174840,4323130.637207031
2024-07-10 14:16:38.734125,3014062.7524414062
2024-07-10 14:16:56.680155,3073069.2592773438
2024-07-10 14:18:28.241450,3365554.7465820312
2024-07-10 14:18:46.181480,3929533.4584960938
2024-07-10 14:20:17.741890,6314464.046386719
2024-07-10 14:20:35.685920,6472608.875
2024-07-10 14:22:07.251215,7514367.211181641
2024-07-10 14:22:25.191245,7059539.978515625
2024-07-10 14:23:56.750530,4327539.221191406
2024-07-10 14:24:14.694560,4495776.369628906
2024-07-10 14:25:46.258845,2681442.0903320312
2024-07-10 14:26:04.198885,2911672.5712890625
2024-07-10 14:27:35.759170,3405756.9790039062
2024-07-10 14:27:53.703200,3619110.1118164062
2024-07-10 14:29:25.260360,3465502.6821289062
2024-07-10 14:29:43.206525,3482791.2133789062
2024-07-10 14:31:14.765685,4518466.809082031
2024-07-10 14:31:32.711840,4157432.9287109375
2024-07-10 14:33:04.269000,2729051.6801757812
2024-07-10 14:33:22.215040,3049881.8408203125
2024-07-10 14:34:53.773325,3656945.7514648438
2024-07-10 14:35:11.720355,3497405.4912109375
2024-07-10 14:36:43.278640,2917212.9697265625
2024-07-10 14:37:01.224680,3151308.7583007812
2024-07-10 14:38:32.782090,3174034.0200195312
2024-07-10 14:38:50.728120,2991865.984375
2024-07-10 14:40:22.287405,3297061.9575195312
2024-07-10 14:40:40.235435,3153678.5688476562
2024-07-10 14:42:11.791730,2076898.2583007812
2024-07-10 14:42:29.737760,2054941.1967773438
2024-07-10 14:44:01.295045,1624651.1723632812
2024-07-10 14:44:19.245075,1819255.8715820312
2024-07-10 14:45:50.800370,1867653.3984375
2024-07-10 14:46:08.744400,2524070.318359375
2024-07-10 14:47:40.303685,1828205.0166015625
