date_time,suit_count
2024-07-10T04:06:16,3130461.58203125
2024-07-10T04:10:51,3078165.8754882812
2024-07-10T04:20:00,6511831.3583984375
2024-07-10T04:33:46,4606980.6298828125
2024-07-10T04:41:24,4333846.9599609375
2024-07-10T04:49:04,5859758.4150390625
2024-07-10T04:53:40,3730849.4682617188
2024-07-10T05:02:51,2116480.7255859375
2024-07-10T05:05:55,2269745.005859375
2024-07-10T05:16:40,653139.7729492188
2024-07-10T05:24:21,1935889.0966796875
2024-07-10T05:32:02,3464707.8408203125
2024-07-10T05:36:39,7525124.619628906
2024-07-10T05:41:16,7448377.75390625
2024-07-10T05:54:40,17699483.318359375
2024-07-10T05:56:20,20908138.313476562
2024-07-10T05:58:42,16033102.908691406
2024-07-10T06:00:03,14961033.05078125
2024-07-10T06:01:44,12978367.528320312
2024-07-10T06:02:45,13141863.465820312
2024-07-10T06:06:08,10306579.311523438
2024-07-10T06:06:49,10556667.314941406
2024-07-10T06:07:29,10870090.82421875
2024-07-10T06:10:51,10977290.624511719
