date_time,Mean,Std,diff_count,Diff_error,Img_count,area,median,thresh_val
2024-07-10 04:00:11.888050,-3.872134693441572,151.4872704605334,945703.2744140625,3481.715569392816,25190389.88671875,1241,0.0,481.83839881393624
2024-07-10 04:01:42.509555,-3.2464617603076267,98.81507490535614,25609.634765625,859.0132471557482,1501417.15234375,59,0.0,318.75463306152704
2024-07-10 04:03:13.967305,0.10419782097842341,93.59032282502719,80729.4267578125,1492.1642038430184,4533837.44921875,205,0.0,318.75463306152704
2024-07-10 04:04:45.454930,5.056587801751762,146.1886864068054,2177719.4404296875,4670.596842977234,45806669.1796875,1652,0.0,333.5804299481097
2024-07-10 04:06:16.911680,6.3629940183721425,162.70198945068566,3130461.58203125,6170.781268555504,79287544.51074219,3060,0.0,415.1223128243143
2024-07-10 04:07:48.401430,2.235371715445418,179.36123942520388,1362301.0385742188,3923.828531047764,32155161.720703125,1322,1.0,697.8124536693847
2024-07-10 04:09:19.857055,5.8608924375133515,186.2775578203268,1868617.5395507812,4514.2233188675345,42625041.884765625,1837,4.0,715.6382505559675
2024-07-10 04:10:51.313805,2.803388698995941,209.32851646831298,3078165.8754882812,4633.46021681535,46016073.037109375,2164,0.0,696.8124536693847
2024-07-10 04:12:22.803385,-0.6304128391369366,210.16057875085795,2102483.8510742188,3679.123483545739,29174383.065429688,1340,2.0,735.8769458858415
2024-07-10 04:13:54.291420,-15.731491668446914,189.83452242476136,392927.1298828125,2123.347727590944,9410138.274414062,441,-6.0,735.2898443291327
2024-07-10 04:15:25.778705,-22.330962935270243,195.4123830091299,158856.9384765625,1397.9165312771606,4067198.1953125,163,-9.0,754.5285396590066
2024-07-10 04:16:57.490865,-15.192229224524674,225.41378631141353,1618762.5405273438,3684.0985936858488,28763927.436523438,1166,-7.0,801.0059303187546
2024-07-10 04:18:29.203160,-3.13448515274514,242.99953156979362,3766119.966796875,5032.484997299731,54417930.462890625,2213,-3.0,767.941438102298
2024-07-10 04:20:00.915445,8.64717474898526,286.26015633664866,6511831.3583984375,6228.870944533394,84109497.84570312,3359,0.0,778.3543365455894
2024-07-10 04:21:32.627605,7.350453962828455,254.69463106379527,4585118.757324219,5589.220388482225,67063887.859375,2799,0.0,808.0059303187546
2024-07-10 04:23:04.339900,6.675667592394787,247.10978333954918,3478250.7294921875,4882.163023655681,51149282.30859375,2087,6.0,828.8317272053373
2024-07-10 04:24:36.509350,-2.7575331125827813,223.1283623963213,2158447.0004882812,4316.857776185643,39428969.12011719,1637,0.0,815.4188287620459
