Time (UTC),10.00-30.00 keV
2024-07-10 03:59:08.970,30
2024-07-10 04:00:08.970,30
2024-07-10 04:01:08.970,25
2024-07-10 04:02:08.970,22
2024-07-10 04:03:08.970,25
2024-07-10 04:04:08.970,13
2024-07-10 04:05:08.970,11
2024-07-10 04:06:08.970,11
2024-07-10 04:07:08.970,10
2024-07-10 04:08:08.970,12
2024-07-10 04:09:08.970,13
2024-07-10 04:10:08.970,5
2024-07-10 04:11:08.970,7
2024-07-10 04:12:08.970,2
2024-07-10 04:13:08.970,3
2024-07-10 04:14:08.970,7
2024-07-10 04:15:08.970,9
2024-07-10 04:16:08.970,7
2024-07-10 04:17:08.970,2
2024-07-10 04:18:08.970,31
2024-07-10 04:19:08.970,32
2024-07-10 04:20:08.970,9
2024-07-10 04:21:08.970,8
2024-07-10 04:22:08.970,3
2024-07-10 04:23:08.970,11
2024-07-10 04:24:08.970,9
2024-07-10 04:25:08.970,10
2024-07-10 04:26:08.970,5
2024-07-10 04:27:08.970,9
2024-07-10 04:28:08.970,6
2024-07-10 04:29:08.970,6
2024-07-10 04:30:08.970,9
2024-07-10 04:31:08.970,5
2024-07-10 04:32:08.970,9
2024-07-10 04:33:08.970,15
2024-07-10 04:34:08.970,5
2024-07-10 04:35:08.970,9
2024-07-10 04:36:08.970,3
2024-07-10 04:37:08.970,6
2024-07-10 04:38:08.970,2
2024-07-10 04:39:08.970,4
2024-07-10 04:40:08.970,4
2024-07-10 04:41:08.970,2
2024-07-10 04:42:08.970,5
2024-07-10 04:43:08.970,2
2024-07-10 04:44:08.970,5
2024-07-10 04:45:08.970,29
2024-07-10 04:46:08.970,34
2024-07-10 04:47:08.970,26
2024-07-10 04:48:08.970,18
2024-07-10 04:49:08.970,18
2024-07-10 04:50:08.970,15
2024-07-10 04:51:08.970,12
2024-07-10 04:52:08.970,8
2024-07-10 04:53:08.970,8
2024-07-10 04:54:08.970,6
2024-07-10 04:55:08.970,9
2024-07-10 04:56:08.970,9
2024-07-10 04:57:08.970,11
2024-07-10 04:58:08.970,6
2024-07-10 04:59:08.970,6
2024-07-10 05:00:08.970,11
2024-07-10 05:01:08.970,10
2024-07-10 05:02:08.970,7
2024-07-10 05:03:08.970,8
2024-07-10 05:04:08.970,6
2024-07-10 05:05:08.970,8
2024-07-10 05:06:08.970,9
2024-07-10 05:07:08.970,7
2024-07-10 05:08:08.970,5
2024-07-10 05:09:08.970,5
2024-07-10 05:10:08.970,5
2024-07-10 05:11:08.970,7
2024-07-10 05:12:08.970,3
2024-07-10 05:13:08.970,2
2024-07-10 05:14:08.970,2
2024-07-10 05:15:08.970,4
2024-07-10 05:16:08.970,7
2024-07-10 05:17:08.970,5
2024-07-10 05:18:08.970,2
2024-07-10 05:19:08.970,8
2024-07-10 05:20:08.970,5
2024-07-10 05:21:08.970,6
2024-07-10 05:22:08.970,10
2024-07-10 05:23:08.970,10
2024-07-10 05:24:08.970,17
2024-07-10 05:25:08.970,11
2024-07-10 05:26:08.970,6
2024-07-10 05:27:08.970,4
2024-07-10 05:28:08.970,11
2024-07-10 05:29:08.970,18
2024-07-10 05:30:08.970,9
2024-07-10 05:31:08.970,12
2024-07-10 05:32:08.970,3
2024-07-10 05:33:08.970,7
2024-07-10 05:34:08.970,24
2024-07-10 05:35:08.970,17
2024-07-10 05:36:08.970,7
2024-07-10 05:37:08.970,9
2024-07-10 05:38:08.970,5
2024-07-10 05:39:08.970,8
2024-07-10 05:40:08.970,6
2024-07-10 05:41:08.970,4
2024-07-10 05:42:08.970,7
2024-07-10 05:43:08.970,3
2024-07-10 05:44:08.970,5
2024-07-10 05:45:08.970,19
2024-07-10 05:46:08.970,38
2024-07-10 05:47:08.970,20
2024-07-10 05:48:08.970,34
2024-07-10 05:49:08.970,113
2024-07-10 05:50:08.970,231
2024-07-10 05:51:08.970,203
2024-07-10 05:52:08.970,437
2024-07-10 05:53:08.970,762
2024-07-10 05:54:08.970,2956
2024-07-10 05:55:08.970,4942
2024-07-10 05:56:08.970,8470
2024-07-10 05:57:08.970,6552
2024-07-10 05:58:08.970,4386
2024-07-10 05:59:08.970,2398
2024-07-10 06:00:08.970,1357
2024-07-10 06:01:08.970,944
2024-07-10 06:02:08.970,558
2024-07-10 06:03:08.970,451
2024-07-10 06:04:08.970,322
2024-07-10 06:05:08.970,329
2024-07-10 06:06:08.970,286
2024-07-10 06:07:08.970,190
2024-07-10 06:08:08.970,120
2024-07-10 06:09:08.970,148
2024-07-10 06:10:08.970,166
2024-07-10 06:11:08.970,125
2024-07-10 06:12:08.970,69
