date_time,suit_count,Mean,Std,diff_count,Diff_error,Img_count,area
2024-07-10 04:06:16,3130461.58203125,6.362994018372143,162.70198945068566,957473.0390625,6170.781268555504,79287544.51074219,3060.0
2024-07-10 04:10:51,3078165.875488281,2.803388698995941,209.32851646831296,292547.048828125,4633.46021681535,46016073.037109375,2164.0
2024-07-10 04:20:00,6511831.3583984375,8.64717474898526,286.26015633664866,2045726.5732421875,6228.870944533394,84109497.84570312,3359.0
2024-07-10 04:33:46,4606980.6298828125,,,,,,
2024-07-10 04:41:24,4333846.9599609375,,,,,,
2024-07-10 04:49:04,5859758.415039063,3.6115653706472974,314.23091771127434,1023498.3359375,5911.560621770133,75752856.38476562,2902.0
2024-07-10 04:53:40,3730849.468261719,,,,,,
2024-07-10 05:02:51,2116480.725585937,,,,,,
2024-07-10 05:05:55,2269745.005859375,,,,,,
2024-07-10 05:16:40,653139.7729492188,,,,,,
2024-07-10 05:24:21,1935889.0966796875,,,,,,
2024-07-10 05:32:02,3464707.8408203125,,,,,,
2024-07-10 05:36:39,7525124.619628906,-3.9929822687459935,362.5905441715146,1602246.685546875,6360.609009515035,88439818.56347656,3396.0
2024-07-10 05:41:16,7448377.75390625,6.135737556077761,369.7402062124923,999081.5302734376,6246.8718735141,85495194.16210938,3222.0
