filter2_file,total_counts_under_contours,qs_mean_counts,contour_area
2024-06-01T07:10:22.791,114056970.73157035,3792.3395282917572,9899
2024-06-01T07:11:22.224,114292460.79947238,3745.821385540911,9899
2024-06-01T07:11:47.846,114023960.84888706,3720.180667091064,9899
2024-06-01T07:12:47.807,114002546.42877395,3709.4697940324177,9899
2024-06-01T07:13:12.903,113908220.12165742,3733.176728187583,9899
2024-06-01T07:14:12.135,113351795.83580203,3778.9201569108377,9899
2024-06-01T07:14:37.959,112931096.39101912,3793.5985153273373,9899
2024-06-01T07:15:37.191,112801363.89016446,3751.0730771612025,9899
2024-06-01T07:16:03.152,112440354.45055199,3748.755473467727,9899
2024-06-01T07:17:02.247,112794050.83245216,3756.2965451599216,9899
2024-06-01T07:17:28.713,112435597.0245206,3779.56690336002,9899
2024-06-01T07:18:27.303,112568355.47135727,3813.2189965255047,9899
2024-06-01T07:18:53.128,112343702.42841749,3803.1858104563034,9899
2024-06-01T07:19:52.360,111648542.39448321,3756.251648106539,9899
2024-06-01T07:20:18.188,111278235.88078344,3768.2532680956106,9899
2024-06-01T07:21:17.416,111758051.52870238,3740.176254926906,9899
2024-06-01T07:21:43.240,111647083.38902135,3753.301010709746,9899
2024-06-01T07:22:42.472,112023466.88871859,3802.787953758673,9899
2024-06-01T07:23:08.296,111644966.6496626,3805.7765982444143,9899
2024-06-01T07:24:07.528,111463517.7840166,3756.078831924708,9899
2024-06-01T07:24:33.352,111253487.11713293,3751.2521081949794,9899
2024-06-01T07:25:32.585,111188696.06608461,3758.443850319946,9899
2024-06-01T07:25:58.409,110954160.42428705,3778.992198402435,9899
2024-06-01T07:26:57.641,111005784.35569757,3827.5525916701145,9899
2024-06-01T07:27:23.465,110959057.14610793,3840.793368040965,9899
2024-06-01T07:28:22.697,110937763.64867546,3727.3370753190516,9899
2024-06-01T07:28:48.521,110383072.58611551,3704.4506200441606,9899
2024-06-01T07:29:47.753,110650973.36487482,3717.1100651271927,9899
2024-06-01T07:30:13.577,110724935.42741105,3764.852851424213,9899
2024-06-01T07:31:12.650,110756896.41591473,3814.6454606193183,9899
2024-06-01T07:31:38.410,110772937.76330516,3812.7911292438207,9899
2024-06-01T07:32:37.419,110856717.52968515,3777.865228801827,9899
2024-06-01T07:33:03.183,110811746.79967166,3764.0750063130313,9899
2024-06-01T07:34:02.191,111054366.91972974,3751.6341491454227,9899
2024-06-01T07:34:27.946,111030979.9370195,3769.360371072705,9899
2024-06-01T07:35:26.954,111393446.59639302,3794.637739936561,9899
2024-06-01T07:35:52.715,110727713.37827313,3797.716725621766,9899
2024-06-01T07:36:51.723,111038206.09602985,3824.4214485956804,9899
2024-06-01T07:37:17.483,110565379.28650704,3818.1751496452603,9899
2024-06-01T07:38:16.491,110581497.11668122,3774.4729416704927,9899
2024-06-01T07:38:42.251,110329373.30343398,3768.174289759602,9899
2024-06-01T07:39:41.259,110028378.8278205,3772.6747711324206,9899
2024-06-01T07:40:07.186,109824233.91490026,3782.9143501327867,9899
2024-06-01T07:41:06.277,109738038.88484848,3827.389230681901,9899
2024-06-01T07:41:31.788,109807740.58538724,3835.696443003572,9899
2024-06-01T07:42:30.828,109825814.74788429,3806.2092791047285,9899
2024-06-01T07:42:56.586,109753449.80806473,3797.599665532295,9899
2024-06-01T07:43:55.596,109620659.40731923,3808.9085330994267,9899
2024-06-01T07:44:21.355,109283807.85697365,3812.860511433017,9899
2024-06-01T07:45:20.364,109436837.85363261,3788.9395340633087,9899
2024-06-01T07:45:46.122,109319045.29779276,3790.0366951345427,9899
2024-06-01T07:46:45.133,109539117.55032285,3823.734963394952,9899
2024-06-01T07:47:10.891,109229526.59321709,3848.0982729434695,9899
2024-06-01T07:48:09.901,109467100.29971029,3853.4876675679384,9899
2024-06-01T07:48:35.659,109164168.90622026,3858.3825327764066,9899
2024-06-01T07:49:34.668,109549598.66098149,3835.5709971428705,9899
2024-06-01T07:50:00.426,109348138.12418756,3825.0791277081353,9899
2024-06-01T07:50:59.437,110101208.00733024,3809.7626217620627,9899
2024-06-01T07:51:25.199,110263979.8820425,3821.5134908203295,9899
2024-06-01T07:52:24.205,110801580.53960522,3845.3496086416358,9899
2024-06-01T07:52:49.963,110626786.47394273,3863.299623930373,9899
2024-06-01T07:53:48.973,110788809.23927817,3857.1678444517684,9899
2024-06-01T07:54:14.731,110464005.73562267,3841.9758711803893,9899
2024-06-01T07:55:13.742,110751990.92653337,3820.2070860712724,9899
2024-06-01T07:55:39.500,110510870.96281715,3819.1967508468783,9899
2024-06-01T07:56:38.510,111044665.63514636,3818.857441382812,9899
2024-06-01T07:57:04.268,110877362.5702773,3827.8946426972334,9899
2024-06-01T07:58:03.278,111531060.41061956,3819.5328915630516,9899
2024-06-01T07:58:29.353,111585167.89072827,3830.4395627863687,9899
2024-06-01T07:59:28.454,111745960.8169878,3835.626745714192,9899
2024-06-01T07:59:53.804,111515167.29517108,3842.696626082559,9899
2024-06-01T08:00:52.813,111904461.48353513,3830.1743461876335,9899
2024-06-01T08:01:18.542,111839222.58753872,3834.0798038276034,9899
2024-06-01T08:02:17.392,111975191.70112792,3848.6875199488327,9899
2024-06-01T08:02:43.118,111704548.08482793,3869.4168482862738,9899
2024-06-01T08:03:41.997,111261175.75090675,3860.5078177210266,9899
2024-06-01T08:04:07.725,111182915.79229662,3844.6527404257945,9899
2024-06-01T08:05:06.573,111274240.89251456,3826.0622909680624,9899
2024-06-01T08:05:32.301,111493431.08500747,3844.074377420298,9899
2024-06-01T08:06:31.150,111788764.51882032,3850.990372157194,9899
2024-06-01T08:06:56.878,111908612.2637901,3873.472624835697,9899
2024-06-01T08:07:55.727,111998227.31185211,3862.1333215923855,9899
2024-06-01T08:08:21.454,111694698.58953847,3849.1635372412193,9899
2024-06-01T08:09:20.302,111569950.32123114,3828.180215061527,9899
2024-06-01T08:09:46.299,111174067.94736217,3813.370059307379,9899
2024-06-01T08:10:44.879,111358989.00511034,3828.964526652849,9899
2024-06-01T08:11:10.607,110809743.02410422,3859.736394334097,9899
2024-06-01T08:12:09.455,110849676.77686848,3882.1980725306767,9899
2024-06-01T08:12:35.187,110356353.36558804,3860.4239454247763,9899
2024-06-01T08:13:34.624,110311074.72000968,3794.6863859014516,9899
2024-06-01T08:13:59.790,110122510.64174235,3795.9198723011446,9899
2024-06-01T08:14:58.703,110981396.8395083,3839.536942898844,9899
2024-06-01T08:15:24.431,111048650.74212354,3863.9318234972043,9899
2024-06-01T08:16:23.344,111720819.13303411,3870.229366392588,9899
2024-06-01T08:16:49.719,111410734.1422375,3860.3107099688436,9899
2024-06-01T08:17:47.951,110394613.59688471,3824.4334290546994,9899
2024-06-01T08:18:13.679,110107560.66555859,3820.5648084214004,9899
