# Date,Intensity
2024-06-01 07:00:04.843000 2842242439.0
2024-06-01 07:00:16.844000 2842381822.0
2024-06-01 07:00:28.835000 2842391427.0
2024-06-01 07:00:40.843000 2842774690.0
2024-06-01 07:00:52.835000 2843556300.0
2024-06-01 07:01:40.843000 2844502973.0
2024-06-01 07:01:52.835000 2843830480.0
2024-06-01 07:02:04.844000 2842421126.0
2024-06-01 07:02:16.844000 2842029757.0
2024-06-01 07:02:28.843000 2841687117.0
2024-06-01 07:02:40.843000 2841285921.0
2024-06-01 07:02:52.843000 2841106284.0
2024-06-01 07:03:04.843000 2840749096.0
2024-06-01 07:03:16.835000 2840120610.0
2024-06-01 07:03:28.843000 2840358367.0
2024-06-01 07:03:40.843000 2840288234.0
2024-06-01 07:03:52.843000 2839925295.0
2024-06-01 07:04:04.835000 2839851709.0
2024-06-01 07:04:16.844000 2839615892.0
2024-06-01 07:04:28.835000 2839422633.0
2024-06-01 07:04:40.843000 2839249746.0
2024-06-01 07:04:52.835000 2839560784.0
2024-06-01 07:05:04.843000 2839098076.0
2024-06-01 07:05:16.844000 2838534192.0
2024-06-01 07:05:28.843000 2838277524.0
2024-06-01 07:05:40.843000 2837800295.0
2024-06-01 07:05:52.843000 2837641806.0
2024-06-01 07:06:04.835000 2837423059.0
2024-06-01 07:06:16.843000 2837101187.0
2024-06-01 07:06:28.835000 2836866527.0
2024-06-01 07:06:40.843000 2836845366.0
2024-06-01 07:06:52.835000 2836645425.0
2024-06-01 07:07:04.843000 2836522883.0
2024-06-01 07:07:16.843000 2836310171.0
2024-06-01 07:07:28.843000 2836255024.0
2024-06-01 07:07:40.843000 2836246800.0
2024-06-01 07:07:52.843000 2836093247.0
2024-06-01 07:08:04.835000 2836106919.0
2024-06-01 07:08:16.843000 2835997242.0
2024-06-01 07:08:28.835000 2836081978.0
2024-06-01 07:08:40.843000 2836450405.0
2024-06-01 07:08:52.843000 2836517000.0
2024-06-01 07:09:04.843000 2836895173.0
2024-06-01 07:09:16.843000 2837493078.0
2024-06-01 07:09:28.843000 2837501783.0
2024-06-01 07:09:40.843000 2837750059.0
2024-06-01 07:09:52.843000 2838223637.0
2024-06-01 07:10:04.835000 2839104491.0
2024-06-01 07:10:16.843000 2839509215.0
2024-06-01 07:10:28.835000 2840213357.0
2024-06-01 07:10:40.843000 2840891000.0
2024-06-01 07:11:04.843000 2841000796.0
2024-06-01 07:11:18.936000 679018703.0
2024-06-01 07:11:28.843000 2841859939.0
2024-06-01 07:11:42.808000 813163793.0
2024-06-01 07:11:52.843000 2842783906.0
2024-06-01 07:12:06.639000 976466959.0
2024-06-01 07:12:16.843000 2842809647.0
2024-06-01 07:12:30.446000 1174730952.0
2024-06-01 07:12:40.843000 2842152760.0
2024-06-01 07:12:54.228000 1407506133.0
2024-06-01 07:13:04.843000 2841188454.0
2024-06-01 07:13:17.958000 1692739278.0
2024-06-01 07:13:28.843000 2840446410.0
2024-06-01 07:13:41.629000 2030140822.0
2024-06-01 07:13:52.843000 2839517805.0
2024-06-01 07:14:05.224000 2431467890.0
2024-06-01 07:14:16.843000 2839131687.0
2024-06-01 07:14:31.115000 481365156.0
2024-06-01 07:14:40.843000 2838671653.0
2024-06-01 07:14:55.033000 579731537.0
2024-06-01 07:15:04.843000 2838376955.0
2024-06-01 07:15:18.916000 695785271.0
2024-06-01 07:15:28.843000 2838387492.0
2024-06-01 07:15:42.789000 835158171.0
2024-06-01 07:15:52.843000 2837731445.0
2024-06-01 07:16:06.607000 1003774165.0
2024-06-01 07:16:16.843000 2837218718.0
2024-06-01 07:16:30.421000 1207276739.0
