Date,img_mode,QS_mode,QS_median,QS_mean,QS_std,AR_mode,AR mean,Ar_sigma,ARmode_200G,ARmean200G,AR_sigma200G
2024-07-10 04:00:11.888050,5306,5158,5202.0,5304.933361245385,603.009004174082,5441,6868.008712307954,1898.341443644859,6213,7712.154946705773,2043.1188325944863
2024-07-10 04:01:42.509555,5326,5221,5199.0,5291.071918699934,588.4979702335522,5583,6867.387810016395,1890.30840482644,5917,7701.346083982573,2026.940570093951
2024-07-10 04:03:13.967305,5283,5123,5195.0,5301.83797878767,593.1340796721223,5283,6867.893137895169,1900.3056237645847,5639,7701.307997332804,2037.7321101265231
2024-07-10 04:04:45.454930,5169,5169,5198.0,5305.2223781802,612.4498569346948,5566,6871.926630281661,1938.7083894122827,5868,7704.460189409699,2092.9513612192345
2024-07-10 04:06:16.911680,5253,5130,5203.0,5305.704689385366,599.9072169482541,5331,6893.242736408016,1955.462310700363,5750,7723.49834282315,2107.579193143413
2024-07-10 04:07:48.401430,5276,5082,5191.0,5291.148880115405,583.4153446046579,5354,6886.287434090992,1915.7757823422478,5492,7716.401956359226,2059.3875542784886
2024-07-10 04:09:19.857055,5186,5133,5190.0,5294.259390985864,601.4236916317128,5488,6889.161543357264,1916.5875656660205,5784,7718.366898517432,2061.4717108579475
2024-07-10 04:10:51.313805,5209,5134,5217.0,5330.749939677274,614.6146462630605,5445,6877.676354833862,1909.1319240073508,5854,7677.224900197474,2062.8317363060087
2024-07-10 04:12:22.803385,5284,5284,5226.0,5333.996258791079,623.7961843714801,5355,6855.967086715942,1885.0654501159709,5958,7656.239807713996,2026.316759401519
2024-07-10 04:13:54.291420,5192,5192,5197.0,5305.150544463204,601.8603842512385,5349,6836.998274018573,1866.5085947363634,5610,7653.714578693654,2005.8859480076314
2024-07-10 04:15:25.778705,5192,5280,5200.0,5289.094467752802,570.0126676160321,5641,6844.79723223818,1851.3691867010812,6185,7662.4770237133425,1983.32615660072
2024-07-10 04:16:57.490865,5298,5217,5184.0,5262.467260688933,548.8830212725984,5506,6864.529502918577,1867.8972684909513,6134,7689.906977235887,2002.0168540615903
2024-07-10 04:18:29.203160,5309,5214,5201.0,5281.436488673139,568.3465102297317,5392,6879.416354942195,1906.9329559363077,6119,7690.213314531065,2055.5262058421363
2024-07-10 04:20:00.915445,5209,5034,5203.0,5306.346704957908,588.4520671291976,5370,6895.752074050069,1960.0411968593098,5879,7713.7430592782775,2126.217858105653
2024-07-10 04:21:32.627605,5169,5119,5200.0,5297.408370789528,596.0149593322406,5494,6885.606609086588,1934.4826519501346,5911,7707.47364618913,2088.3330421243422
2024-07-10 04:23:04.339900,5212,5186,5200.0,5287.605293212931,571.3257188287911,5548,6896.121660006545,1922.358884355605,5603,7715.758113758311,2075.2676664903483
2024-07-10 04:24:36.509350,5234,5138,5189.0,5294.303120230626,592.1279715700191,5554,6866.413361060149,1903.03302006074,5903,7676.520151107069,2052.7868505126016
2024-07-10 04:26:07.764220,5193,5189,5211.0,5314.8048555107525,621.2280093387166,5545,6872.740454319912,1899.7818357335227,5621,7673.443245100927,2047.3602698647064
2024-07-10 04:27:39.474515,5257,5210,5202.0,5299.743574521847,594.4087156178506,5509,6875.983236340123,1894.9785262431512,5599,7663.790171514523,2035.3588328564713
2024-07-10 04:29:11.217675,5226,5170,5184.0,5291.616763414764,601.0919722380658,5540,6879.368195965883,1896.013533452168,5846,7653.529103146512,2042.5012864334576
2024-07-10 04:30:42.930960,5189,5189,5205.0,5305.978239956022,594.2633242594535,5513,6894.725971023615,1917.9448624857646,6129,7685.995448029927,2074.1736379725658
2024-07-10 04:32:14.643130,5364,5285,5217.0,5311.585866318997,602.8808799945135,5523,6895.135112695166,1923.0864989298468,6000,7694.101600976582,2074.624658159469
2024-07-10 04:33:46.354415,5324,5175,5206.0,5310.813882198379,603.5024045027143,5566,6907.28759111645,1934.9151278947281,6035,7720.998070289527,2085.1893245089236
2024-07-10 04:35:18.675750,5328,5225,5208.0,5302.519241349798,594.2399557388947,5353,6893.439824654087,1921.6913909778873,5865,7707.521549483739,2070.642683165906
2024-07-10 04:36:49.779860,5272,5253,5205.0,5300.995048513784,595.5375295070922,5364,6881.906382671074,1897.728599631808,5642,7686.54508523961,2049.814976043634
2024-07-10 04:38:21.491030,5309,5208,5209.0,5299.7244943649675,589.9707430589237,5518,6893.129414812236,1924.7471239759568,5803,7706.934862197642,2081.409435848549
2024-07-10 04:39:53.204315,5417,5180,5193.0,5286.92209022169,577.6038671452831,5506,6892.686758897284,1924.1118970438513,5672,7701.1122267456985,2079.6846586056495
2024-07-10 04:41:24.916350,5256,5279,5221.0,5320.81453912303,611.3138116552108,5352,6875.377489790142,1928.5224464201156,6027,7679.391317200895,2087.8636381091505
2024-07-10 04:42:56.627645,5240,5251,5204.0,5285.460508784433,566.8236453489487,5551,6871.115776871054,1895.2418007859653,6076,7686.788199792758,2044.3954607511755
2024-07-10 04:44:28.340805,5210,5226,5208.0,5306.859947572284,600.0527748047626,5492,6836.978429388613,1886.259191950423,6241,7639.685719481573,2040.2935511419657
2024-07-10 04:46:00.180090,5281,5281,5201.0,5282.655874629654,567.9842111682594,5536,6858.6193626364775,1868.6097346266333,6136,7656.360352837153,2011.1552575337978
2024-07-10 04:47:32.148260,5321,5194,5191.0,5266.444042820479,547.4093712231412,5516,6878.908876666132,1911.20743715714,6101,7695.922912866564,2072.5780379882076
2024-07-10 04:49:04.120545,5326,5204,5187.0,5266.31123082979,556.7733993846819,5394,6891.735990981594,1952.6202633593864,5392,7723.377283101015,2125.223499644607
2024-07-10 04:50:36.847050,5287,5168,5206.0,5288.721659762582,573.449714260079,5453,6880.022490468612,1935.9071837999404,5646,7690.282134551321,2104.282998773766
2024-07-10 04:52:08.530000,5363,5155,5204.0,5295.150074813347,581.91187626227,5477,6884.118529756847,1914.2958070653517,6228,7678.839603519013,2058.821980405958
2024-07-10 04:53:40.211600,5266,5158,5184.0,5268.129204211766,566.3072230274391,5493,6889.475048445733,1902.626595342733,6256,7714.261000265657,2040.2938350098443
2024-07-10 04:55:12.214550,5252,5059,5189.0,5265.982905456867,554.2750230542737,5446,6898.862313540796,1895.9627728142793,5912,7715.189358122201,2027.7553053282302
2024-07-10 04:56:43.988615,5339,5282,5193.0,5274.486053133126,558.74820106384,5514,6890.937259260448,1885.737136222293,6250,7700.563315185188,2021.7589602211383
2024-07-10 04:58:15.989900,5247,5247,5208.0,5292.816590877773,584.1295195209693,5446,6889.558876734957,1894.3270638731744,6002,7689.802339271448,2030.4408835534332
2024-07-10 04:59:47.990070,5189,5189,5205.0,5293.690811858226,576.9983804941365,5308,6888.012843644172,1880.9793136509195,5602,7675.18323218576,2010.927717243568
2024-07-10 05:01:19.989355,5227,5278,5206.0,5289.607708132482,571.1636229994227,5487,6905.683577498989,1897.7169230905777,6394,7692.105046866743,2036.3039670413834
2024-07-10 05:02:51.990515,5326,5167,5211.0,5293.424158516645,572.44544454283,5500,6884.2080953852455,1896.1927303260547,5762,7693.531566586528,2027.1266392356597
2024-07-10 05:04:23.990685,5170,5133,5191.0,5275.80191295446,546.9462642224528,5411,6883.149043697113,1871.5600973653613,6074,7677.846020114146,1994.042406358687
2024-07-10 05:05:55.989970,5203,5149,5210.0,5292.780627333484,572.7494859365489,5633,6853.502448,1881.5643907158765,5846,7659.882358680577,2019.2839267525526
2024-07-10 05:07:27.991255,5238,5090,5201.0,5288.287626527589,584.3966165045929,5394,6841.928483437995,1856.4648902308477,6160,7649.255628812185,1989.0412816949279
2024-07-10 05:08:59.991550,5318,5266,5204.0,5295.655860963885,594.9794184043378,5590,6840.309967352413,1851.2711952357045,5749,7637.502861538244,1989.4768017850931
2024-07-10 05:10:31.990710,5387,5168,5214.0,5305.773392129,598.3628373333954,5515,6824.744095482929,1851.805137028943,5715,7612.303305171621,2000.9214038923303
2024-07-10 05:12:03.991880,5273,5140,5210.0,5302.710085962114,607.7027479413655,5495,6810.086001614153,1836.6868406958117,6083,7595.601123993149,1988.2225250432127
2024-07-10 05:13:35.992165,5300,5210,5213.0,5286.728794431467,576.6215951602494,5439,6828.291473470861,1844.64796538801,5930,7641.562132611023,1989.5293169698296
2024-07-10 05:15:07.991325,5263,5263,5204.0,5288.926769712385,578.6557053819106,5492,6816.010188961825,1846.614827954155,6092,7624.76840771505,1985.3947024354568
2024-07-10 05:16:40.247620,5354,5312,5219.0,5299.5845260335645,572.3401751169777,5720,6815.712383419689,1842.911902220303,5948,7616.397339295852,1980.9414547892895
2024-07-10 05:18:12.533780,5224,5156,5210.0,5292.540283065976,590.449421275414,5488,6822.589508623131,1852.5446626803246,5995,7631.081271168019,1985.765002866056
2024-07-10 05:19:44.792950,5275,5154,5209.0,5318.060651799403,609.5931339438414,5403,6818.9693882809,1846.0070639272292,6100,7631.0193660602545,1992.3332409660393
2024-07-10 05:21:17.462350,5304,5157,5224.0,5322.072155317244,609.4542447716603,5462,6808.211777151198,1862.9393527785671,5824,7619.667790763166,2003.9152625949432
2024-07-10 05:22:49.302395,5221,5221,5205.0,5312.429470983488,608.5696838109013,5615,6831.271261803259,1880.0239016558508,6102,7641.94379450304,2028.8613366615807
2024-07-10 05:24:21.559690,5217,5217,5229.0,5320.890541165588,607.032625946807,5261,6857.326649565856,1881.2585727130077,6032,7652.403700203137,2032.736719227552
2024-07-10 05:25:53.814975,5337,5183,5207.0,5305.355090745676,600.4077039920523,5461,6828.360121114475,1874.757713394721,5901,7661.8711580166855,2018.513364429264
2024-07-10 05:27:26.711450,5285,5207,5200.0,5291.642685454445,589.9280581573335,5489,6838.58371040724,1860.943792801505,5734,7647.6409402093095,2007.2650686793731
2024-07-10 05:28:58.327305,5235,5224,5209.0,5311.746993157519,603.7467399286048,5412,6839.357544386931,1878.439613188393,5907,7639.844144037037,2024.3370603306064
