Date,Mean,Std,diff_count,Diff_error,Img_count
2024-11-12 22:23:02.892885,-1.012596624737464,114.25723424651763,560695.9103419484,3160.8302142690823,20542391.19721461
2024-11-12 22:24:40.142055,7.339146767521329,97.28701207619032,730422.0163735652,3953.411710063607,31989350.314909678
2024-11-12 22:26:17.389360,-3.524196697213992,93.63881018712698,509718.2554156037,3404.2720075781735,23687854.058576256
2024-11-12 22:27:54.637655,-0.7878326200520096,127.69098089376656,890238.5361389092,3699.171133454146,28257972.68529977
2024-11-12 22:34:55.851655,-9.39198317727912,123.3445169047597,776757.0446718433,3634.705183826161,27198920.591337383
2024-11-12 22:36:33.999500,-10.252542420460838,142.90622962058706,53983.46016474978,826.532376707552,1420294.9996564188
2024-11-12 22:38:10.349130,-11.559110478217486,149.83940717044626,81856.05611902557,966.5618926655434,1950339.8408254199
2024-11-12 22:39:47.596425,-13.784931006938862,149.31403992855414,57779.68299074624,865.5428819559404,1556108.6439999363
2024-11-12 22:41:24.844595,-12.615591130302079,158.82072705831214,42409.55665352321,697.8565359393442,1016417.0461600458
2024-11-12 22:43:02.937650,-13.415415553360845,169.18600667536168,221287.11359317804,822.4343026356335,1574083.4778966992
2024-11-12 22:44:39.341070,-6.9153657895475575,160.82361283154881,111947.19460370537,1050.2112552542196,2317834.555928993
2024-11-12 22:46:16.590240,-3.9946637880214673,163.29830491362304,107299.4896450213,1020.5498959810578,2190343.670018917
2024-11-12 22:47:53.838535,-3.267440940561591,173.68562881832608,121793.58625853475,1041.7296757450108,2292195.020914145
2024-11-12 22:49:31.858400,2.811872369854868,177.71760699867218,390847.08855445345,1750.2971111006784,6517927.042809214
2024-11-12 22:51:08.335010,0.4470066428310761,168.2242721313106,100915.42125094212,936.4445669785373,1854772.2752981826
2024-11-12 22:52:45.582305,-5.080558681743826,182.59466882846212,900907.156570897,3008.691813323987,19005360.01169646
2024-11-12 22:54:22.830485,9.622068082000556,204.42493073042044,2776545.844586769,4285.576092813724,39508870.73917985
2024-11-12 22:56:00.797800,6.257983264046794,191.13545174763055,1456211.2270107071,3529.091367085387,26365182.981483918
2024-11-12 22:57:37.327075,-6.521797826214556,177.93644376609492,548600.1712281868,2431.1044397819405,12369137.765483111
2024-11-12 22:59:14.575245,1.221257569841598,171.88231334262667,202572.3815515817,1455.1014268577462,4437212.706438479
2024-11-12 23:00:51.823550,0.6082209819548757,181.1912493912451,440344.99976937263,2050.129839392308,8846409.716502834
2024-11-12 23:02:29.708450,-10.248778234584064,184.89895130419566,489127.86560307373,2180.0828508356276,9994650.33861827
2024-11-12 23:04:06.319015,-12.28243133231764,182.7177280579888,710174.4006803147,2658.798047552561,14848588.516018935
2024-11-12 23:05:43.568320,-7.063526697647831,188.5679999643046,910732.4596917122,2806.8953432870426,16668055.396024685
2024-11-12 23:07:20.815490,-16.457941921801908,185.01199503252997,313082.33246663096,1662.8677554157127,5843340.6764692115
2024-11-12 23:08:58.647850,-23.764083797157593,199.48211188276653,284784.4117526853,1562.728012347736,5169022.092905296
2024-11-12 23:10:35.313090,-18.91244376051101,193.829273574025,196829.35455712877,1295.100634444862,3551400.661236096
2024-11-12 23:12:12.560260,-22.189411281328873,194.40712384358983,272570.9052886576,1634.0659851795824,5612914.193130497
2024-11-12 23:13:49.809555,-19.384378245812822,205.63077836845818,264592.8334774117,1596.4959516826568,5362191.480955637
2024-11-12 23:15:27.577250,-11.784341497150702,189.45463863629772,310501.7463709868,1612.6288768980257,5511645.535581762
2024-11-12 23:17:04.303030,-12.676257046683562,192.49301075048118,293635.30271196575,1614.2005761194716,5504922.302600833
2024-11-12 23:18:41.554325,-12.436916072690895,194.04860863957006,368231.6541021776,1800.8878562615675,6854625.795762947
