Time (UTC),10.00-30.00 keV
2024-11-01 12:31:00.957,78
2024-11-01 12:32:00.957,36
2024-11-01 12:33:00.957,46
2024-11-01 12:34:00.957,29
2024-11-01 12:35:00.957,38
2024-11-01 12:36:00.957,33
2024-11-01 12:37:00.957,24
2024-11-01 12:38:00.957,13
2024-11-01 12:39:00.957,19
2024-11-01 12:40:00.957,31
2024-11-01 12:41:00.957,52
2024-11-01 12:42:00.957,41
2024-11-01 12:43:00.957,88
2024-11-01 12:44:00.957,250
2024-11-01 12:45:00.957,349
2024-11-01 12:46:00.957,428
2024-11-01 12:47:00.957,687
2024-11-01 12:48:00.957,1031
2024-11-01 12:49:00.957,1422
2024-11-01 12:50:00.957,1555
2024-11-01 12:51:00.957,1186
2024-11-01 12:52:00.957,548
2024-11-01 12:53:00.957,321
2024-11-01 12:54:00.957,228
2024-11-01 12:55:00.957,104
2024-11-01 12:56:00.957,70
2024-11-01 12:57:00.957,51
2024-11-01 12:58:00.957,25
2024-11-01 12:59:00.957,13
2024-11-01 13:00:00.957,12
2024-11-01 13:01:00.957,17
2024-11-01 13:02:00.957,15
2024-11-01 13:03:00.957,22
2024-11-01 13:04:00.957,25
2024-11-01 13:05:00.957,23
2024-11-01 13:06:00.957,32
2024-11-01 13:07:00.957,21
2024-11-01 13:08:00.957,10
2024-11-01 13:09:00.957,11
2024-11-01 13:10:00.957,9
2024-11-01 13:11:00.957,8
2024-11-01 13:12:00.957,6
2024-11-01 13:13:00.957,21
2024-11-01 13:14:00.957,10
2024-11-01 13:15:00.957,12
2024-11-01 13:16:00.957,13
2024-11-01 13:17:00.957,8
2024-11-01 13:18:00.957,7
2024-11-01 13:19:00.957,12
2024-11-01 13:20:00.957,31
2024-11-01 13:21:00.957,29
2024-11-01 13:22:00.957,26
2024-11-01 13:23:00.957,16
2024-11-01 13:24:00.957,24
2024-11-01 13:25:00.957,9
2024-11-01 13:26:00.957,7
2024-11-01 13:27:00.957,3
2024-11-01 13:28:00.957,7
2024-11-01 13:29:00.957,1
2024-11-01 13:30:00.957,6
2024-11-01 13:31:00.957,3
2024-11-01 13:32:00.957,4
2024-11-01 13:33:00.957,10
2024-11-01 13:34:00.957,4
2024-11-01 13:35:00.957,4
2024-11-01 13:36:00.957,2
2024-11-01 13:37:00.957,14
2024-11-01 13:38:00.957,3
2024-11-01 13:39:00.957,7
2024-11-01 13:40:00.957,8
2024-11-01 13:41:00.957,7
2024-11-01 13:42:00.957,9
2024-11-01 13:43:00.957,21
2024-11-01 13:44:00.957,32
2024-11-01 13:45:00.957,16
2024-11-01 13:46:00.957,20
2024-11-01 13:47:00.957,8
2024-11-01 13:48:00.957,13
2024-11-01 13:49:00.957,40
2024-11-01 13:50:00.957,76
2024-11-01 13:51:00.957,82
2024-11-01 13:52:00.957,40
2024-11-01 13:53:00.957,31
2024-11-01 13:54:00.957,18
2024-11-01 13:55:00.957,33
2024-11-01 13:56:00.957,83
2024-11-01 13:57:00.957,40
2024-11-01 13:58:00.957,35
2024-11-01 13:59:00.957,27
2024-11-01 14:00:00.957,12
2024-11-01 14:01:00.957,10
2024-11-01 14:02:00.957,27
2024-11-01 14:03:00.957,26
2024-11-01 14:04:00.957,15
2024-11-01 14:05:00.957,20
2024-11-01 14:06:00.957,25
2024-11-01 14:07:00.957,17
2024-11-01 14:08:00.957,31
2024-11-01 14:09:00.957,17
2024-11-01 14:10:00.957,14
2024-11-01 14:11:00.957,14
2024-11-01 14:12:00.957,18
2024-11-01 14:13:00.957,19
2024-11-01 14:14:00.957,24
2024-11-01 14:15:00.957,16
2024-11-01 14:16:00.957,7
2024-11-01 14:17:00.957,11
2024-11-01 14:18:00.957,35
2024-11-01 14:19:00.957,73
2024-11-01 14:20:00.957,74
2024-11-01 14:21:00.957,104
2024-11-01 14:22:00.957,274
2024-11-01 14:23:00.957,893
2024-11-01 14:24:00.957,3611
2024-11-01 14:25:00.957,5158
2024-11-01 14:26:00.957,9437
2024-11-01 14:27:00.957,12813
2024-11-01 14:28:00.957,11658
2024-11-01 14:29:00.957,8486
2024-11-01 14:30:00.957,5878
2024-11-01 14:31:00.957,4149
2024-11-01 14:32:00.957,2207
2024-11-01 14:33:00.957,1287
2024-11-01 14:34:00.957,918
2024-11-01 14:35:00.957,571
2024-11-01 14:36:00.957,389
2024-11-01 14:37:00.957,354
2024-11-01 14:38:00.957,257
2024-11-01 14:39:00.957,208
2024-11-01 14:40:00.957,161
2024-11-01 14:41:00.957,114
2024-11-01 14:42:00.957,93
2024-11-01 14:43:00.957,67
2024-11-01 14:44:00.957,58
