DateTime,Diff_count
2024-06-01 07:10:49.980380,43325212.25563457
2024-06-01 07:12:15.366550,34923671.74585915
2024-06-01 07:13:40.928050,30822802.37160694
2024-06-01 07:15:05.149080,41798491.56823403
2024-06-01 07:16:30.205230,51257649.35445085
2024-06-01 07:17:55.261515,18154438.509279825
2024-06-01 07:19:20.317665,14421415.930416781
2024-06-01 07:20:45.373940,9430256.037459232
2024-06-01 07:22:10.430090,8476588.679864334
2024-06-01 07:23:35.486240,9645534.02304572
2024-06-01 07:25:00.542515,11421613.605113402
2024-06-01 07:26:25.598665,12039917.739693964
2024-06-01 07:27:50.654940,8796662.602721171
2024-06-01 07:29:15.711100,6276668.285822311
2024-06-01 07:30:40.704375,7982043.483384063
2024-06-01 07:32:05.472525,8361604.112629934
2024-06-01 07:33:30.240800,8916917.430559035
2024-06-01 07:34:55.895000,11928687.742249286
2024-06-01 07:36:19.776975,10923420.497214418
2024-06-01 07:37:44.545375,6103321.292832517
2024-06-01 07:39:09.313525,8843997.438247116
2024-06-01 07:40:34.816750,8129138.736167727
2024-06-01 07:41:58.849950,8863218.973163407
2024-06-01 07:43:23.650100,9699108.592377901
2024-06-01 07:44:48.422375,7738249.189101012
2024-06-01 07:46:13.186535,6639484.010093057
2024-06-01 07:47:37.954810,7573496.882598886
2024-06-01 07:49:02.722960,7484325.802005151
2024-06-01 07:50:27.491235,8714876.17240614
2024-06-01 07:51:52.259385,12516201.211182449
2024-06-01 07:53:17.276600,13961185.777085654
2024-06-01 07:54:41.795810,12833118.218128327
2024-06-01 07:56:06.563960,9768701.48271795
2024-06-01 07:57:31.332235,11292849.169913823
2024-06-01 07:58:56.100385,11665485.760682292
2024-06-01 08:00:20.868660,9782562.123974454
2024-06-01 08:01:45.509810,10064683.149632843
2024-06-01 08:03:10.839600,7338897.967415485
2024-06-01 08:04:34.694235,10372447.744995859
2024-06-01 08:05:59.268395,7082925.167718343
2024-06-01 08:07:23.844670,5375933.597541564
2024-06-01 08:08:48.424820,6646331.460802452
2024-06-01 08:10:12.996970,9881202.310776476
2024-06-01 08:11:37.573245,8452944.629000038
2024-06-01 08:13:02.181395,7712823.645024896
2024-06-01 08:14:26.789670,7158526.940749089
2024-06-01 08:15:51.433820,8767461.940972004
2024-06-01 08:17:16.380950,8901542.952781089
2024-06-01 08:18:40.678245,7742872.3665610785
2024-06-01 08:20:05.286395,8905134.25727436
2024-06-01 08:21:29.958670,6481275.2225573
2024-06-01 08:22:54.598820,7349143.651219061
2024-06-01 08:24:19.239095,7302847.5704798885
2024-06-01 08:25:43.879245,10634162.839916296
2024-06-01 08:27:08.519395,12228617.502250198
2024-06-01 08:28:33.159670,11911177.488505784
2024-06-01 08:29:57.799820,12984262.832020648
2024-06-01 08:31:22.280105,12120014.243489217
2024-06-01 08:32:46.664370,8446060.031882865
2024-06-01 08:34:11.485300,9385379.589345194
2024-06-01 08:35:35.436795,12984220.793854814
2024-06-01 08:36:59.848945,12260243.876699623
2024-06-01 08:38:24.233230,13694191.222430076
2024-06-01 08:39:48.617380,16790995.68707992
2024-06-01 08:41:13.153000,11262137.729924776
2024-06-01 08:45:39.288125,30491162.567317594
2024-06-01 08:47:05.208525,27058827.74538824
2024-06-01 08:48:32.408560,23897722.629163656
2024-06-01 08:50:00.607835,12479692.111701697
2024-06-01 08:51:29.656995,20219358.056672998
2024-06-01 08:52:57.856280,12638711.763168033
2024-06-01 08:54:26.935565,23687935.008841265
2024-06-01 08:55:55.134725,16876225.29396711
2024-06-01 08:57:26.470100,18597378.28970878
2024-06-01 08:58:56.959170,14508634.278954899
2024-06-01 09:00:27.903330,15427146.462524524
2024-06-01 09:01:58.815615,11622123.118225923
2024-06-01 09:03:29.727900,16164878.280429516
2024-06-01 09:05:00.640070,16276466.456573218
2024-06-01 09:06:31.552230,16341119.008824112
2024-06-01 09:08:02.464515,16439464.704139164
2024-06-01 09:09:33.408800,15767785.866869183
2024-06-01 09:11:04.320960,17129855.099340834
2024-06-01 09:12:35.233120,10723891.008905668
2024-06-01 09:14:06.145415,11085957.168385563
