time,exposure,region_1,region_2,region_3,region_4,region_5,region_6,region_7,region_8,region_9
2024-11-01 12:31:06.623,2.900811,31761316,10709337,4881327,6329485,5916093,10351152,8476226,5396960,2797746
2024-11-01 12:31:18.638,2.900816,31797546,10703855,4882922,6306897,5915291,10369466,8442300,5400770,2802948
2024-11-01 12:31:30.623,2.900814,31814528,10694838,4881378,6296570,5937697,10389292,8402492,5403096,2798522
2024-11-01 12:31:42.623,2.900814,31865302,10684686,4886238,6279534,5961888,10410361,8379661,5412390,2801148
2024-11-01 12:31:54.622,2.900812,31902408,10678459,4880786,6271149,5963578,10445515,8366600,5421206,2801372
2024-11-01 12:32:06.624,2.900813,31931104,10666408,4887231,6260836,5970403,10463147,8338672,5424729,2801801
2024-11-01 12:32:18.622,2.900813,31936644,10668675,4883023,6249177,5980364,10487085,8343886,5430563,2799472
2024-11-01 12:32:30.622,2.900814,31994356,10658094,4882589,6236104,5978068,10503725,8328642,5433366,2798400
2024-11-01 12:32:42.622,2.900814,31993478,10658615,4886012,6211432,5975237,10513108,8329594,5436382,2804704
2024-11-01 12:32:54.622,2.900815,32034688,10659370,4878881,6200929,5961796,10528975,8313608,5424267,2803992
2024-11-01 12:33:06.624,2.900813,32079664,10643502,4875185,6190060,5941272,10546297,8282867,5422431,2800220
2024-11-01 12:33:18.622,2.900816,32158646,10656787,4876727,6184181,5931545,10555074,8231299,5417474,2799692
2024-11-01 12:33:30.623,2.900815,32189008,10648396,4878396,6171790,5920743,10571626,8187821,5412215,2796877
2024-11-01 12:33:42.622,2.900815,32233440,10646360,4879614,6153943,5918257,10572738,8155728,5405498,2802055
2024-11-01 12:33:54.622,2.900815,32380278,10632077,4888576,6147541,5912705,10587640,8111462,5405294,2800824
2024-11-01 12:34:06.624,2.900817,32426354,10623422,4890476,6139047,5912587,10584840,8076990,5408292,2797471
2024-11-01 12:34:18.622,2.900815,32441940,10619997,4888126,6126043,5911775,10595570,8075979,5405369,2802152
2024-11-01 12:34:30.622,2.900817,32478278,10609975,4896842,6124404,5907226,10600823,8049991,5400484,2806275
2024-11-01 12:34:42.623,2.900815,32472418,10607069,4899878,6122725,5900936,10596219,7999798,5401008,2804524
2024-11-01 12:34:54.623,2.900813,32417828,10595723,4902978,6114751,5892174,10598284,7964668,5393172,2804971
2024-11-01 12:35:06.624,2.900812,32434510,10598963,4901795,6113132,5903141,10591561,7907043,5396373,2804979
2024-11-01 12:35:18.622,2.900813,32435656,10598725,4901109,6116004,5898283,10596990,7857349,5393688,2807457
