5.149848171033157269e+04,8.666666666666666963e-01
1.045389499190685456e+06,2.591666666666666785e+01
7.909450536130063236e+06,3.499999999999999778e-01
1.199890203003522241e+06,5.166666666666667185e-01
7.502635875131339708e+04,4.000000000000000222e-01
4.826864288376393961e+04,1.666666666666666574e-01
1.549791667833471438e+05,2.333333333333333370e-01
1.118405577740627341e+05,1.366666666666666696e+00
4.483522997924198862e+05,1.383333333333333304e+00
8.874889809332204750e+05,5.166666666666667185e-01
1.674864485954954522e+06,4.000000000000000222e-01
