# Date  Box_count   Full_image_count     Error
2024-06-01T07:06:53.200 -990675.7115915772 -2288740.6751015014 147.71422892841844
2024-06-01T07:07:08.260 243205.95739581267 -3591184.376704576 157.9279851590807
2024-06-01T07:07:32.678 -119981.91776370618 -3202686.1461843043 162.1136695714935
2024-06-01T07:08:31.912 -233837.20363381592 247532.87389919237 178.0922492425106
2024-06-01T07:08:57.734 -304773.73246300744 1638378.08367281 160.29831254227818
2024-06-01T07:09:56.968 -1451014.703727629 -2747221.963853335 122.81300705791888
2024-06-01T07:10:22.791 -1906468.2405031715 -3712814.656510176 132.9566552755537
2024-06-01T07:11:22.224 -2459186.8033483634 -1727593.2402495001 135.53188890455604
2024-06-01T07:11:47.846 -2573538.104603381 -1549240.765977383 128.29959782765732
2024-06-01T07:12:47.807 -1128858.3945322847 -986702.0379997838 147.30670314569852
2024-06-01T07:13:12.903 -582549.2182062203 1548428.0022624482 153.79598707318706
2024-06-01T07:14:12.135 505066.94222665764 5157382.570597434 135.16117321316247
2024-06-01T07:14:37.959 1384585.8639607588 6542101.774108116 138.98974113367137
2024-06-01T07:15:37.191 820446.0898558404 3766750.538891048 170.27287434197345
2024-06-01T07:16:03.152 865408.106607527 2326642.98246717 178.26503630616898
2024-06-01T07:17:02.247 774188.0329944289 1777543.705022415 158.80767968901077
2024-06-01T07:17:28.713 292309.229453134 -537161.0376052152 160.0955639292108
2024-06-01T07:18:27.303 2196973.2587417574 2650451.0484859976 130.22675903400196
2024-06-01T07:18:53.128 855324.8213603222 506365.8762762001 119.27466518546484
2024-06-01T07:19:52.360 583345.2153680655 255083.10223383573 117.88540225490648
2024-06-01T07:20:18.188 957341.6127518264 192934.92469841248 119.8698844694294
2024-06-01T07:21:17.416 -1386098.489373796 -2030599.934379068 133.0350538263459
2024-06-01T07:21:43.240 -826899.9367894493 -1505973.85070485 122.29499169548937
2024-06-01T07:22:42.472 -2922057.659054316 -2855762.9996445007 130.9384154123767
2024-06-01T07:23:08.296 -2154011.990531139 -2068431.6488215057 131.34191664349183
2024-06-01T07:24:07.528 -2084433.0160502787 -1717711.3049923335 157.4098215243095
2024-06-01T07:24:33.352 -2679724.393327575 -1007675.618770757 150.81517347989504
2024-06-01T07:25:32.585 -674735.9888166923 -1044207.8590283118 130.50877729107413
2024-06-01T07:25:58.409 -38469.727713095184 -291552.4534279561 124.03358497337834
2024-06-01T07:26:57.641 -1445674.0617772501 -3638886.921520053 127.65839115603457
2024-06-01T07:27:23.465 -1221632.6124277445 -2829786.3328638664 116.17435522271016
2024-06-01T07:28:22.697 205252.36825915688 1457577.1786466348 118.37181817278818
2024-06-01T07:28:48.521 1133054.6015445068 2895395.82061484 122.5763270183859
2024-06-01T07:29:47.753 250719.51327642644 3159830.5235568215 128.6465293428371
2024-06-01T07:30:13.577 -723707.3828324215 -897164.4611960845 135.03822154927929
2024-06-01T07:31:12.650 849283.1471980688 -201106.94428066144 160.31571740673473
2024-06-01T07:31:38.410 -239227.01412233082 792994.8230666184 140.15969727830878
2024-06-01T07:32:37.419 809787.3393674765 1894584.1941095171 106.46112609830962
2024-06-01T07:33:03.183 -156922.34256103018 -493535.7057993422 112.08108649677769
2024-06-01T07:34:02.191 -456763.51914396277 -235774.06386574754 125.101069929477
2024-06-01T07:34:27.946 -1411420.797175127 439360.6237087217 137.77759740797
2024-06-01T07:35:26.954 -2752041.840377297 517123.18365752895 131.15431460531366
2024-06-01T07:35:52.715 -2062724.195509588 -593695.927459979 119.28390142338982
2024-06-01T07:36:51.723 -3912789.704361874 -5746915.648132239 119.40160562325921
2024-06-01T07:37:17.483 -3151531.4146013698 -5450148.046280501 131.4440728129994
2024-06-01T07:38:16.491 -3919226.1473584645 -6951148.156514111 129.1327354991972
2024-06-01T07:38:42.251 -2391678.510511844 -3889875.292109903 128.19677291758927
2024-06-01T07:39:41.259 -436347.118954006 -1150831.032361851 134.34985450171212
2024-06-01T07:40:07.186 1270134.4755811724 1793569.3427657634 142.47179861154953
2024-06-01T07:41:06.277 1565126.408510832 1922142.1560436366 128.62568448796446
2024-06-01T07:41:31.788 1622323.069357214 3845527.429668086 139.8526635847217
2024-06-01T07:42:30.828 1808140.38551096 2711566.961867384 148.8646387538861
2024-06-01T07:42:56.586 1040651.3136464342 2684098.409490615 119.67077845624388
2024-06-01T07:43:55.596 2096005.3780220884 3938807.5186069063 144.9530070630627
2024-06-01T07:44:21.355 1182330.6924298366 2766336.5199229447 156.0331092776358
2024-06-01T07:45:20.364 1233896.2724208694 5353681.966814773 131.66828274040537
2024-06-01T07:45:46.122 1298155.3011188477 5575438.67789763 122.66429214103249
2024-06-01T07:46:45.133 3289782.3875640025 5613855.676299221 142.61548671312235
2024-06-01T07:47:10.891 3839880.7849627626 4816646.670893291 133.54244938481307
2024-06-01T07:48:09.901 2646456.251211713 4872714.415541931 134.23211535996282
2024-06-01T07:48:35.659 2416920.375105862 4525706.72068108 131.25003853753356
2024-06-01T07:49:34.668 2979825.1510671168 4271956.628527682 118.8388424190162
2024-06-01T07:50:00.426 3580273.8400228056 3693415.9655431104 114.33046139598535
2024-06-01T07:50:59.437 4585689.505951053 6210271.1011051 133.97383390056308
2024-06-01T07:51:25.199 5072244.459393623 8500109.122314358 139.4432888189424
2024-06-01T07:52:24.205 5287474.0759264175 6306542.16291109 168.7020580072344
2024-06-01T07:52:49.963 5075866.087140773 5470595.049089082 146.151521601138
2024-06-01T07:53:48.973 5887005.572929709 7054578.473714024 126.91796418467082
2024-06-01T07:54:14.731 6214645.64289144 8037055.496172208 130.10403719320772
2024-06-01T07:55:13.742 2301251.7461911845 3077104.042204809 112.6972332708208
2024-06-01T07:55:39.500 900825.8384519251 1093379.2593250338 117.58154748835112
2024-06-01T07:56:38.510 -990113.2963537781 -885738.6079317653 129.4165827586723
2024-06-01T07:57:04.268 -1447772.8557412024 -2476759.6500727087 139.83350646282193
2024-06-01T07:58:03.278 -2257323.3142724046 -4685523.537941079 151.72256904925382
2024-06-01T07:58:29.353 -4599597.624782303 -7626205.917281857 144.2075224287431
2024-06-01T07:59:28.454 -4483302.24168865 -2779594.261114526 134.11348607102443
2024-06-01T07:59:53.804 -4364677.78494685 -4949637.444246085 132.927962499737
2024-06-01T08:00:52.813 -2946656.6746305064 -4428340.132756914 136.74623686657492
2024-06-01T08:01:18.542 -1958637.9794811187 -2230313.128186869 146.26771444610202
2024-06-01T08:02:17.392 -2451105.888327483 160586.95295260276 121.23260238292303
2024-06-01T08:02:43.118 -1628871.5461854339 468159.0831483904 135.0927427509453
2024-06-01T08:03:41.997 -1259654.5449947927 -4113411.5579727534 129.7115493322116
2024-06-01T08:04:07.725 -1179861.7410143795 -5114022.471763192 124.79132552314466
2024-06-01T08:05:06.573 -786746.887707811 -2889506.41095727 125.8442758968855
2024-06-01T08:05:32.301 -520585.9250477 -62103.44354080675 136.40951988083077
2024-06-01T08:06:31.150 -1650277.1095132562 -1661793.2384385902 141.77467412757917
2024-06-01T08:06:56.878 -2578470.104722178 -2813443.6616959455 158.20649317247006
2024-06-01T08:07:55.727 -372954.73257797817 590889.0515482358 137.43952015028384
2024-06-01T08:08:21.454 -336612.1347305275 1496728.4629843913 155.59032387610304
2024-06-01T08:09:20.302 -1245973.269942898 -2169597.4111232352 154.20404500895393
2024-06-01T08:09:46.299 -1839411.6577791155 -5468728.179881616 147.05984879409678
2024-06-01T08:10:44.879 -249675.89774291895 -4074506.4389612162 161.65354640691314
2024-06-01T08:11:10.607 458025.40636378457 -2351622.4732891647 156.6317122986752
2024-06-01T08:12:09.455 186669.2448290029 -137120.27063473366 119.12915272857225
2024-06-01T08:12:35.187 -887076.4835281878 -1398745.2967583905 132.86560661704803
2024-06-01T08:13:34.624 -2498420.3177969614 -1870355.4707344936 129.45713248062697
2024-06-01T08:13:59.790 -2980979.328231204 -2587151.699860506 127.80421965820868
2024-06-01T08:14:58.703 -2485635.5363898664 -2608629.245749968 131.4636265502311
2024-06-01T08:15:24.431 -1287860.337645511 -1710093.697903984 156.25328674898316
