time,exposure,region_1,region_2,region_3,region_4,region_5,region_6,region_7,region_8,region_9
2024-11-01 11:00:06.624,2.9007899999999998,4.064205e+07,1.1508754e+07,5.009612e+06,6.248901e+06,6.553988e+06,8.183326e+06,2.933848e+06,5.496431e+06,2.846954e+06
2024-11-01 11:00:18.622,2.9008179999999997,4.05401e+07,1.155832e+07,5.00687e+06,6.244185e+06,6.551048e+06,8.177238e+06,2.930635e+06,5.492224e+06,2.842901e+06
2024-11-01 11:00:30.622,2.900817,4.046638e+07,1.1586764e+07,5.012011e+06,6.241252e+06,6.556804e+06,8.178193e+06,2.929505e+06,5.489034e+06,2.837999e+06
2024-11-01 11:00:42.622,2.9008179999999997,4.0396664e+07,1.1627817e+07,5.007657e+06,6.237028e+06,6.552068e+06,8.183296e+06,2.93098e+06,5.491773e+06,2.837895e+06
2024-11-01 11:00:54.624,2.9008179999999997,4.0247804e+07,1.189935e+07,5.00335e+06,6.247249e+06,6.55882e+06,8.180111e+06,2.924406e+06,5.485112e+06,2.838905e+06
2024-11-01 11:01:06.626,2.90082,4.0146504e+07,1.2163274e+07,5.003833e+06,6.236981e+06,6.556349e+06,8.174593e+06,2.928361e+06,5.493886e+06,2.836804e+06
2024-11-01 11:01:18.616,2.9008179999999997,4.0027916e+07,1.2535319e+07,5.006733e+06,6.242203e+06,6.558213e+06,8.180126e+06,2.933542e+06,5.501047e+06,2.83827e+06
2024-11-01 11:01:30.622,2.900819,3.9949224e+07,1.2641754e+07,5.006515e+06,6.238697e+06,6.525212e+06,8.174205e+06,2.931196e+06,5.49064e+06,2.83855e+06
2024-11-01 11:01:42.622,2.900817,3.983007e+07,1.2854273e+07,4.991832e+06,6.235755e+06,6.518292e+06,8.177241e+06,2.934273e+06,5.491672e+06,2.836454e+06
2024-11-01 11:01:54.622,2.900817,3.974375e+07,1.311016e+07,4.996176e+06,6.235321e+06,6.516939e+06,8.192038e+06,2.929687e+06,5.496612e+06,2.83536e+06
2024-11-01 11:02:06.622,2.9008179999999997,3.966257e+07,1.3262376e+07,4.996647e+06,6.228719e+06,6.511374e+06,8.182544e+06,2.933267e+06,5.49812e+06,2.838052e+06
2024-11-01 11:02:18.624,2.900816,3.959206e+07,1.3297191e+07,4.996271e+06,6.227307e+06,6.497202e+06,8.187121e+06,2.92917e+06,5.501523e+06,2.833185e+06
2024-11-01 11:02:30.615,2.900819,3.954166e+07,1.3462956e+07,4.999738e+06,6.238209e+06,6.499977e+06,8.187241e+06,2.924771e+06,5.496715e+06,2.838809e+06
2024-11-01 11:02:42.622,2.900816,3.9508788e+07,1.3456032e+07,4.998783e+06,6.242073e+06,6.498345e+06,8.180344e+06,2.923569e+06,5.503734e+06,2.838783e+06
2024-11-01 11:02:54.622,2.9008179999999997,3.949163e+07,1.3475463e+07,4.993635e+06,6.235281e+06,6.4901e+06,8.181486e+06,2.920684e+06,5.50636e+06,2.839118e+06
2024-11-01 11:03:06.615,2.900817,3.939401e+07,1.3520364e+07,5.003662e+06,6.240169e+06,6.492548e+06,8.188157e+06,2.919937e+06,5.504668e+06,2.842086e+06
2024-11-01 11:03:18.623,2.9008169999999995,3.9314e+07,1.3379892e+07,5.006272e+06,6.238982e+06,6.494105e+06,8.190131e+06,2.924862e+06,5.50736e+06,2.841605e+06
2024-11-01 11:03:30.622,2.900819,3.9273056e+07,1.3313784e+07,5.007945e+06,6.235282e+06,6.491339e+06,8.197481e+06,2.92175e+06,5.509888e+06,2.845758e+06
2024-11-01 11:03:42.622,2.9008179999999997,3.923559e+07,1.3139929e+07,5.00948e+06,6.228562e+06,6.486692e+06,8.194168e+06,2.91983e+06,5.508555e+06,2.839922e+06
2024-11-01 11:03:54.622,2.900822,3.917586e+07,1.3094197e+07,5.009835e+06,6.229606e+06,6.482267e+06,8.201143e+06,2.92058e+06,5.512658e+06,2.839345e+06
2024-11-01 11:04:06.638,2.9008209999999996,3.9176324e+07,1.3051823e+07,5.002684e+06,6.238674e+06,6.478584e+06,8.197156e+06,2.922435e+06,5.511635e+06,2.842851e+06
2024-11-01 11:04:18.622,2.900819,3.9101336e+07,1.2969789e+07,5.00221e+06,6.239965e+06,6.466169e+06,8.200048e+06,2.920096e+06,5.510258e+06,2.841307e+06
2024-11-01 11:04:30.622,2.90082,3.9029544e+07,1.2901768e+07,5.007388e+06,6.245859e+06,6.46978e+06,8.19976e+06,2.9203e+06,5.502495e+06,2.843663e+06
2024-11-01 11:04:42.615,2.9008160000000003,3.8985264e+07,1.2824701e+07,5.001078e+06,6.250029e+06,6.471552e+06,8.184097e+06,2.917982e+06,5.507638e+06,2.844108e+06
2024-11-01 11:04:54.630,2.9008169999999995,3.8947916e+07,1.2739409e+07,5.007925e+06,6.247436e+06,6.461984e+06,8.194726e+06,2.925103e+06,5.502909e+06,2.839347e+06
2024-11-01 11:05:06.615,2.9008179999999997,3.8892204e+07,1.2687046e+07,5.007938e+06,6.260027e+06,6.48821e+06,8.18024e+06,2.919413e+06,5.508316e+06,2.84314e+06
2024-11-01 11:05:18.647,2.900819,3.8906576e+07,1.2646585e+07,5.009651e+06,6.26615e+06,6.483763e+06,8.186933e+06,2.910758e+06,5.513967e+06,2.84304e+06
2024-11-01 11:05:30.623,2.900819,3.8851396e+07,1.2601118e+07,5.016391e+06,6.260283e+06,6.478034e+06,8.181667e+06,2.914744e+06,5.514199e+06,2.846434e+06
2024-11-01 11:05:42.623,2.9008179999999997,3.879985e+07,1.2523139e+07,5.014689e+06,6.26474e+06,6.479769e+06,8.18103e+06,2.908222e+06,5.515609e+06,2.852195e+06
2024-11-01 11:05:54.622,2.9008160000000003,3.878219e+07,1.2461719e+07,5.013878e+06,6.261307e+06,6.479646e+06,8.17505e+06,2.908137e+06,5.521108e+06,2.845868e+06
2024-11-01 11:06:06.622,2.900821,3.872651e+07,1.243517e+07,5.011807e+06,6.256034e+06,6.484466e+06,8.179522e+06,2.913248e+06,5.518831e+06,2.845882e+06
2024-11-01 11:06:18.621,2.900821,3.864622e+07,1.2387813e+07,5.016182e+06,6.253092e+06,6.487166e+06,8.169976e+06,2.908606e+06,5.519687e+06,2.849936e+06
2024-11-01 11:06:30.623,2.900819,3.858302e+07,1.2327977e+07,5.020161e+06,6.264048e+06,6.485039e+06,8.163275e+06,2.909612e+06,5.516497e+06,2.845719e+06
