filter2_file,total_counts_under_contours,qs_mean_counts,contour_area,QS area
2024-07-10T13:31:27.640,127910176.95401432,18122.05340545462,7691,20449
2024-07-10T13:33:17.145,127369636.607847,18108.36977883012,7691,20449
2024-07-10T13:35:06.649,127457792.92264056,18129.531629385787,7691,20449
2024-07-10T13:36:56.153,127302940.73726837,18121.42184562348,7691,20449
2024-07-10T13:38:45.658,127096627.20583868,18120.705530143743,7691,20449
2024-07-10T13:40:35.162,126960925.59770116,18177.7952522921,7691,20449
2024-07-10T13:42:24.666,126960128.2152282,18115.63011494771,7691,20449
2024-07-10T13:44:14.171,126433412.77089186,18123.34592515883,7691,20449
2024-07-10T13:46:03.675,126581467.29373269,18156.2898459777,7691,20449
2024-07-10T13:47:53.180,126167196.29169208,18104.85400094183,7691,20449
2024-07-10T13:49:42.684,126807585.57409291,18154.330225114063,7691,20449
2024-07-10T13:51:32.186,127367695.54781649,18202.302748643033,7691,20449
2024-07-10T13:53:21.691,127024711.9796279,18198.35079691539,7691,20449
2024-07-10T13:55:11.194,126744571.48869875,18130.36629300057,7691,20449
2024-07-10T13:57:00.699,126642872.56449857,18134.404550070183,7691,20449
2024-07-10T13:58:50.202,127870297.16402823,18127.0362844457,7691,20449
2024-07-10T14:00:39.706,127842032.6361268,18112.71265819824,7691,20449
2024-07-10T14:02:29.212,127148994.47985531,18138.219357105245,7691,20449
2024-07-10T14:04:18.715,127092663.8643892,18146.608836250525,7691,20449
2024-07-10T14:06:08.219,127314394.04060891,18082.70499008985,7691,20449
2024-07-10T14:07:57.725,127523389.92536902,18147.482747582773,7691,20449
2024-07-10T14:09:47.228,127498576.5881428,18062.912328705115,7691,20449
2024-07-10T14:11:36.733,127914859.69352518,18083.000849734286,7691,20449
2024-07-10T14:13:26.238,127698213.62603655,18091.040372313346,7691,20449
2024-07-10T14:15:15.741,127179706.85208942,18059.573387870136,7691,20449
2024-07-10T14:17:05.244,127519872.82029672,18091.018114065646,7691,20449
2024-07-10T14:18:54.750,127598537.37395807,18127.173722594238,7691,20449
2024-07-10T14:20:44.252,126920776.77585138,18183.01293715658,7691,20449
2024-07-10T14:22:33.757,126932229.81358716,18133.550433185832,7691,20449
2024-07-10T14:24:23.261,127323655.97151299,18134.61993684596,7691,20449
2024-07-10T14:26:12.766,126911414.62209643,18100.81185795464,7691,20449
2024-07-10T14:28:02.269,126740787.74381705,18159.57093590525,7691,20449
2024-07-10T14:29:51.773,126941836.0690294,18084.840918895847,7691,20449
2024-07-10T14:31:41.278,127182452.70909911,18111.973431336774,7691,20449
2024-07-10T14:33:30.781,127033962.59734425,18124.716968751138,7691,20449
2024-07-10T14:35:20.287,126982802.16094021,18102.698995194427,7691,20449
2024-07-10T14:37:09.791,127124741.92491084,18109.71506663935,7691,20449
2024-07-10T14:38:59.294,127390434.7614267,18122.98277344875,7691,20449
2024-07-10T14:40:48.799,127905028.16886923,18158.64729857653,7691,20449
