TIME,COUNTS
2024-07-10 15:10:02.914,0
2024-07-10 15:10:32.914,0
2024-07-10 15:11:02.914,3
2024-07-10 15:11:32.914,1
2024-07-10 15:12:02.914,0
2024-07-10 15:12:32.914,1
2024-07-10 15:13:02.914,0
2024-07-10 15:13:32.914,2
2024-07-10 15:14:02.914,1
2024-07-10 15:14:32.914,0
2024-07-10 15:15:02.914,0
2024-07-10 15:15:32.914,0
2024-07-10 15:16:02.914,0
2024-07-10 15:16:32.914,1
2024-07-10 15:17:02.914,1
2024-07-10 15:17:32.914,1
2024-07-10 15:18:02.914,2
2024-07-10 15:18:32.914,0
2024-07-10 15:19:02.914,1
2024-07-10 15:19:32.914,0
2024-07-10 15:20:02.914,1
2024-07-10 15:20:32.914,1
2024-07-10 15:21:02.914,0
2024-07-10 15:21:32.914,0
2024-07-10 15:22:02.914,1
2024-07-10 15:22:32.914,0
2024-07-10 15:23:02.914,0
2024-07-10 15:23:32.914,0
2024-07-10 15:24:02.914,0
2024-07-10 15:24:32.914,0
2024-07-10 15:25:02.914,0
2024-07-10 15:25:32.914,2
2024-07-10 15:26:02.914,1
2024-07-10 15:26:32.914,2
2024-07-10 15:27:02.914,1
2024-07-10 15:27:32.914,2
2024-07-10 15:28:02.914,0
2024-07-10 15:28:32.914,0
2024-07-10 15:29:02.914,2
2024-07-10 15:29:32.914,0
2024-07-10 15:30:02.914,1
2024-07-10 15:30:32.914,2
2024-07-10 15:31:02.914,1
2024-07-10 15:31:32.914,3
2024-07-10 15:32:02.914,1
2024-07-10 15:32:32.914,4
2024-07-10 15:33:02.914,0
2024-07-10 15:33:32.914,2
2024-07-10 15:34:02.914,2
2024-07-10 15:34:32.914,2
2024-07-10 15:35:02.914,2
2024-07-10 15:35:32.914,0
2024-07-10 15:36:02.914,8
2024-07-10 15:36:32.914,4
2024-07-10 15:37:02.914,0
2024-07-10 15:37:32.914,0
2024-07-10 15:38:02.914,2
2024-07-10 15:38:32.914,1
2024-07-10 15:39:02.914,1
2024-07-10 15:39:32.914,0
2024-07-10 15:40:02.914,0
2024-07-10 15:40:32.914,1
2024-07-10 15:41:02.914,1
2024-07-10 15:41:32.914,0
2024-07-10 15:42:02.914,0
2024-07-10 15:42:32.914,2
2024-07-10 15:43:02.914,0
2024-07-10 15:43:32.914,0
2024-07-10 15:44:02.914,1
2024-07-10 15:44:32.914,0
2024-07-10 15:45:02.914,0
2024-07-10 15:45:32.914,0
2024-07-10 15:46:02.914,3
2024-07-10 15:46:32.914,1
2024-07-10 15:47:02.914,1
2024-07-10 15:47:32.914,1
2024-07-10 15:48:02.914,1
2024-07-10 15:48:32.914,2
2024-07-10 15:49:02.914,1
2024-07-10 15:49:32.914,0
2024-07-10 15:50:02.914,0
2024-07-10 15:50:32.914,0
2024-07-10 15:51:02.914,0
