Date,Mean,Std,diff_count,Diff_error,Img_count,area,median,thresh_val
2024-11-13 15:08:12.416425,3.9378825820812464,122.43156432882549,72679.25634765625,1100.349632711796,2494217.884765625,128,0.0,429.948109710897
2024-11-13 15:09:49.407720,-5.2113030264115405,103.57818654185431,0.0,0.0,0.0,0,0.0,340.99332839140106
2024-11-13 15:11:26.400015,3.942749133170669,118.03764030797156,1667849.8244628906,4513.708583161529,42414980.171875,2249,0.0,340.99332839140106
2024-11-13 15:13:03.392310,-6.076920401523908,106.77876625731442,396354.708984375,2442.5061002594625,12328026.80859375,696,0.0,340.99332839140106
2024-11-13 15:14:40.384490,-6.404488249646847,119.10335432905018,0.0,0.0,0.0,0,0.0,385.470719051149
2024-11-13 15:16:17.344785,2.9807719061684,147.25394963389758,170349.990234375,755.2268026477212,1311085.037109375,70,5.0,583.2060785767235
2024-11-13 15:17:54.369080,-1.4367080818458113,146.20798853156626,0.0,0.0,0.0,0,3.0,588.6189770200148
2024-11-13 15:19:31.361375,-2.2684736312657847,153.17774001958625,116679.37744140625,1205.3979940146778,3022648.025390625,168,0.0,600.4447739065974
2024-11-13 15:21:08.385680,5.337140426351612,163.81816995719223,74505.83447265625,907.9970537717637,1723423.1337890625,99,6.0,650.9221645663455
2024-11-13 15:22:45.409975,11.791832541415179,168.7567765739818,20580.91796875,494.79211622786596,510219.39453125,26,14.0,681.1608598962194
2024-11-13 15:24:22.402270,16.817882903129146,174.43812503228366,307636.20849609375,1761.1878327638397,6511201.373046875,346,17.0,698.9866567828021
2024-11-13 15:25:59.425565,14.7151556012157,177.37270503895675,355538.84765625,1910.3969866193715,7654772.140625,417,15.0,689.5737583395107
2024-11-13 15:27:36.384745,14.526724562304695,179.50554743306674,509220.32861328125,2214.7205712550362,10319194.74609375,542,15.0,682.1608598962194
2024-11-13 15:29:13.376915,20.07414333718591,180.56309820087708,97031.2890625,1018.1117057143091,2170134.1796875,111,22.0,711.3995552260934
2024-11-13 15:30:50.337210,13.300907495398313,182.88302884538723,69362.8212890625,886.9075033133917,1642572.66015625,87,13.0,702.3995552260934
2024-11-13 15:32:27.296505,16.4538894953127,193.58212748319164,228893.10888671875,1414.8149324957278,4232295.6953125,258,18.0,744.46404744255
2024-11-13 15:34:04.258810,13.13952206669235,194.51653615201076,674011.11328125,2539.3635159066866,13570745.245117188,773,15.0,719.225352112676
2024-11-13 15:41:05.155060,0.693393904370532,194.06334909670767,674118.0498046875,2374.8824181420014,11954251.049804688,732,3.0,722.0511489992588
2024-11-13 15:42:42.114355,2.1551570994392364,192.13938855912903,656294.875,2319.7258751288236,11418551.146484375,698,6.0,725.0511489992588
2024-11-13 15:44:19.756500,-9.142074397500107,187.57169039748976,309422.66357421875,1545.1014126082923,5084099.4140625,329,-3.0,723.46404744255
2024-11-13 15:45:56.358200,-1.1225520097598563,198.47553967873841,307506.32861328125,1576.161626205837,5276077.2724609375,326,5.0,768.5285396590066
2024-11-13 15:47:32.995125,8.599070031248662,195.37089493384656,342764.38330078125,1705.5637424157912,6160659.7421875,381,13.0,761.702742772424
2024-11-13 15:49:09.956420,5.647639227772784,198.01701785218603,501000.49462890625,2028.7356537467376,8732537.200195312,522,11.0,744.8769458858415
2024-11-13 15:50:46.916590,2.1063711955823807,197.94934072586045,523085.16455078125,2142.9048605701278,9707167.647460938,570,5.0,753.702742772424
