T_REC,CRPIX1,CRPIX2,USFLUX,MEANSHR,MEANPOT,TOTPOT,SHRGT45,MEANJZD,TOTUSJZ,MEANGBH
2024.11.01_00:00:00,1082.5,384.0,6.294527e+22,40.639,19875.71,1.975067e+24,38.297,-0.04532941,70596860000000.0,48.332
2024.11.01_00:12:00,1082.5,384.0,6.274654e+22,40.719,19867.51,1.968949e+24,38.41,-0.01214242,70052220000000.0,48.352
2024.11.01_00:24:00,1082.5,384.0,6.302512e+22,40.672,19677.16,1.96519e+24,38.26,0.01138663,69843460000000.0,48.123
2024.11.01_00:36:00,1082.5,384.0,6.296016e+22,40.764,19714.68,1.968937e+24,38.627,0.00052958,69876520000000.0,48.333
2024.11.01_00:48:00,1082.5,384.0,6.285736e+22,40.784,19886.52,1.972366e+24,38.809,-0.00943052,70281360000000.0,48.518
2024.11.01_01:00:00,1082.5,384.0,6.291898e+22,40.735,19890.54,1.973609e+24,38.568,-0.03602279,70240960000000.0,48.602
2024.11.01_01:12:00,1082.5,384.0,6.267538e+22,40.95,19890.79,1.969776e+24,38.987,-0.02579336,70664560000000.0,48.468
2024.11.01_01:24:00,1082.5,384.0,6.248621e+22,41.057,19962.67,1.968597e+24,39.002,0.01280646,69615560000000.0,48.742
2024.11.01_01:36:00,1082.5,384.0,6.254074e+22,41.233,19924.86,1.97622e+24,39.248,0.01707981,70069110000000.0,48.901
2024.11.01_01:48:00,1082.5,384.0,6.231215e+22,41.193,20046.77,1.974015e+24,39.174,0.02656066,69297170000000.0,48.91
2024.11.01_02:00:00,1082.5,384.0,6.233963e+22,41.022,20008.24,1.968096e+24,39.001,-0.04808323,69264170000000.0,49.121
2024.11.01_02:12:00,1082.5,384.0,6.22716e+22,40.934,20014.63,1.963568e+24,38.799,0.00140349,69408920000000.0,49.242
2024.11.01_02:24:00,1082.5,384.0,6.190712e+22,41.21,20153.35,1.968023e+24,39.394,-0.04676018,70277690000000.0,49.436
2024.11.01_02:36:00,1082.5,384.0,6.220969e+22,40.941,20010.09,1.961528e+24,38.92,-0.03320525,70394930000000.0,49.332
