Date ,AR total countQS box mean count,,AR box area,QS box area 
2024-07-10T03:31:16.824,2265851648,5491.40227688878,350760,25122
2024-07-10T03:32:47.280,2261296128,5477.59509593185,350760,25122
2024-07-10T03:34:18.478,2258601728,5446.12881140037,350760,25122
2024-07-10T03:35:49.679,2262070016,5478.330069262,350760,25122
2024-07-10T03:37:20.878,2259691520,5472.5184300613,350760,25122
2024-07-10T03:38:52.824,2259494400,5465.11901918637,350760,25122
2024-07-10T03:40:23.280,2256362752,5468.8193615158,350760,25122
2024-07-10T03:41:54.479,2259501312,5498.12403471061,350760,25122
2024-07-10T03:43:25.679,2254851328,5479.90255552902,350760,25122
2024-07-10T03:44:56.880,2251681536,5502.97906217658,350760,25122
2024-07-10T03:46:28.239,2254258944,5494.06766977152,350760,25122
2024-07-10T03:47:59.664,2256436480,5475.86338667304,350760,25122
2024-07-10T03:49:31.919,2255944704,5485.05373775973,350760,25122
2024-07-10T03:51:02.511,2258438656,5493.99124273545,350760,25122
2024-07-10T03:52:33.936,2263874816,5468.3436032163,350760,25122
2024-07-10T03:54:05.361,2262667264,5476.34551389221,350760,25122
2024-07-10T03:55:36.784,2263745792,5482.5883289547,350760,25122
2024-07-10T03:57:08.208,2266471936,5475.97293209139,350760,25122
2024-07-10T03:58:39.665,2265632000,5463.05931056445,350760,25122
2024-07-10T04:00:11.888,2266467328,5486.38611575511,350760,25122
2024-07-10T04:01:42.510,2267192576,5480.67001034949,350760,25122
2024-07-10T04:03:13.967,2268158720,5471.32998965051,350760,25122
2024-07-10T04:04:45.455,2269937920,5454.13900167184,350760,25122
2024-07-10T04:06:16.912,2269956864,5485.92309529496,350760,25122
2024-07-10T04:07:48.401,2269625600,5464.36748666507,350760,25122
2024-07-10T04:09:19.857,2270658816,5459.94490884484,350760,25122
2024-07-10T04:10:51.314,2270187264,5493.94602340578,350760,25122
2024-07-10T04:12:22.803,2268585728,5471.17840936231,350760,25122
2024-07-10T04:13:54.291,2263650560,5484.59326486745,350760,25122
2024-07-10T04:15:25.779,2260006912,5470.37847305151,350760,25122
2024-07-10T04:16:57.491,2263285248,5488.95661173474,350760,25122
2024-07-10T04:18:29.203,2268387840,5501.73457527267,350760,25122
2024-07-10T04:20:00.915,2272281088,5454.52304752806,350760,25122
2024-07-10T04:21:32.628,2272752128,5490.05461348619,350760,25122
2024-07-10T04:23:04.340,2272234240,5481.03749701457,350760,25122
2024-07-10T04:24:36.509,2268159488,5448.5146087095,350760,25122
2024-07-10T04:26:07.764,2269735168,5466.53674070536,350760,25122
2024-07-10T04:27:39.475,2268595456,5490.10429105963,350760,25122
2024-07-10T04:29:11.218,2267852800,5433.91322346947,350760,25122
2024-07-10T04:30:42.931,2273467136,5470.09187166627,350760,25122
2024-07-10T04:32:14.643,2272862976,5464.15794920787,350760,25122
2024-07-10T04:33:46.354,2274855936,5436.63338906138,350760,25122
2024-07-10T04:35:18.676,2273336576,5464.951516599,350760,25122
2024-07-10T04:36:49.780,2271141376,5464.21781705278,350760,25122
2024-07-10T04:38:21.491,2271212032,5461.5670726853,350760,25122
2024-07-10T04:39:53.204,2270238464,5478.75869755593,350760,25122
2024-07-10T04:41:24.916,2269909248,5456.34264787835,350760,25122
2024-07-10T04:42:56.628,2268783360,5491.36533715469,350760,25122
2024-07-10T04:44:28.341,2265135616,5466.80359843962,350760,25122
2024-07-10T04:46:00.180,2262490880,5490.34248865536,350760,25122
2024-07-10T04:47:32.148,2265853952,5469.18812196481,350760,25122
2024-07-10T04:49:04.121,2270668800,5472.71013454343,350760,25122
2024-07-10T04:50:36.847,2270734592,5487.4853912905,350760,25122
2024-07-10T04:52:08.530,2268822016,5488.52670965687,350760,25122
2024-07-10T04:53:40.212,2271563520,5454.98606798822,350760,25122
2024-07-10T04:55:12.215,2272448768,5492.49390972056,350760,25122
2024-07-10T04:56:43.989,2272406272,5481.51134463817,350760,25122
2024-07-10T04:58:15.990,2272453888,5461.44351564366,350760,25122
2024-07-10T04:59:47.990,2270319360,5458.12148714274,350760,25122
2024-07-10T05:01:19.989,2273445376,5477.51421065202,350760,25122
2024-07-10T05:02:51.991,2271968256,5446.94849136215,350760,25122
2024-07-10T05:04:23.991,2266422528,5433.20117825014,350760,25122
2024-07-10T05:05:55.990,2264831232,5493.4116710453,350760,25122
2024-07-10T05:07:27.991,2259722240,5440.82604888146,350760,25122
2024-07-10T05:08:59.992,2259646208,5458.58196003503,350760,25122
2024-07-10T05:10:31.991,2257343744,5488.78528779556,350760,25122
2024-07-10T05:12:03.992,2255036672,5472.28851206114,350760,25122
2024-07-10T05:13:35.992,2260202752,5481.54892126423,350760,25122
2024-07-10T05:15:07.991,2255216640,5445.66196958841,350760,25122
2024-07-10T05:16:40.248,2257601024,5472.5923095295,350760,25122
2024-07-10T05:18:12.534,2257464064,5471.17649868641,350760,25122
2024-07-10T05:19:44.793,2260673024,5451.66085502747,350760,25122
2024-07-10T05:21:17.462,2260243712,5465.73935196242,350760,25122
2024-07-10T05:22:49.302,2263980800,5479.43443993313,350760,25122
2024-07-10T05:24:21.560,2265790976,5470.06193774381,350760,25122
2024-07-10T05:25:53.815,2264636416,5457.05469309768,350760,25122
2024-07-10T05:27:26.711,2264210688,5477.24798980973,350760,25122
2024-07-10T05:28:58.327,2266251008,5453.24735291776,350760,25122
2024-07-10T05:30:30.584,2267837440,5462.64978902954,350760,25122
2024-07-10T05:32:02.840,2267077888,5471.3573760051,350760,25122
2024-07-10T05:33:35.960,2268734208,5476.68370352679,350760,25122
2024-07-10T05:35:07.352,2267147776,5472.80885279834,350760,25122
2024-07-10T05:36:39.609,2269072896,5487.26693734575,350760,25122
2024-07-10T05:38:11.865,2271495424,5504.01337473131,350760,25122
2024-07-10T05:39:44.125,2273335296,5463.06249502428,350760,25122
2024-07-10T05:41:16.377,2272388352,5480.37958761245,350760,25122
2024-07-10T05:48:12.569,2274347776,5490.35267892684,350760,25122
2024-07-10T05:49:45.135,2275784448,5458.41573123159,350760,25122
2024-07-10T05:51:17.658,2277588480,5474.22211607356,350760,25122
2024-07-10T05:52:50.202,2287450112,5464.74771116949,350760,25122
2024-07-10T05:54:21.338,2288264192,5477.45880105087,350760,25122
2024-07-10T05:54:40.218,2290179840,5484.08884642943,350760,25122
2024-07-10T05:54:59.982,2290382336,5477.85813231431,350760,25122
2024-07-10T05:55:19.386,2291210240,5470.46636414298,350760,25122
2024-07-10T05:55:39.674,2291995904,5462.66188997691,350760,25122
2024-07-10T05:55:59.962,2295074048,5458.73354032322,350760,25122
2024-07-10T05:56:20.250,2297291520,5460.42321471221,350760,25122
2024-07-10T05:56:40.539,2295753728,5467.04115914338,350760,25122
2024-07-10T05:57:00.827,2295917056,5473.05150863785,350760,25122
2024-07-10T05:57:21.120,2294651904,5475.55831542075,350760,25122
2024-07-10T05:57:41.403,2291894016,5477.03590478465,350760,25122
2024-07-10T05:58:01.691,2290745856,5476.49454661253,350760,25122
2024-07-10T05:58:21.979,2291087616,5471.56054454263,350760,25122
2024-07-10T05:58:42.267,2291875840,5472.48340100311,350760,25122
2024-07-10T05:59:02.555,2291932160,5474.96791656715,350760,25122
2024-07-10T05:59:22.843,2293274112,5482.232943237,350760,25122
2024-07-10T05:59:43.135,2294025984,5485.62694053021,350760,25122
2024-07-10T06:00:03.416,2293857536,5486.52113685216,350760,25122
2024-07-10T06:00:23.704,2291052032,5480.98654565719,350760,25122
2024-07-10T06:00:43.992,2288397824,5467.05198630682,350760,25122
2024-07-10T06:01:04.280,2287672064,5454.10269882971,350760,25122
2024-07-10T06:01:24.569,2286609920,5445.92882732267,350760,25122
2024-07-10T06:01:44.857,2286305024,5455.35037019346,350760,25122
2024-07-10T06:02:05.146,2286296064,5462.4058594061,350760,25122
2024-07-10T06:02:25.433,2286323200,5468.97157869596,350760,25122
2024-07-10T06:02:45.721,2288078848,5476.38818565401,350760,25122
2024-07-10T06:03:06.911,2288646144,5478.62940848659,350760,25122
2024-07-10T06:03:26.297,2288331264,5479.08287556723,350760,25122
2024-07-10T06:03:46.585,2289538304,5482.32847703208,350760,25122
2024-07-10T06:04:06.873,2289317120,5480.33118382294,350760,25122
2024-07-10T06:04:27.162,2288785664,5475.66467637927,350760,25122
2024-07-10T06:04:47.450,2287447296,5473.74253642226,350760,25122
2024-07-10T06:05:07.738,2284992768,5473.35466921424,350760,25122
2024-07-10T06:05:28.261,2282094080,5472.17896664278,350760,25122
2024-07-10T06:05:48.314,2280925184,5471.27712761723,350760,25122
2024-07-10T06:06:08.603,2280529152,5470.20714911233,350760,25122
2024-07-10T06:06:28.891,2280066816,5463.79555767853,350760,25122
2024-07-10T06:06:49.180,2280080384,5466.48069421224,350760,25122
2024-07-10T06:07:09.465,2279320832,5469.93073799857,350760,25122
2024-07-10T06:07:29.755,2280310784,5473.79539845554,350760,25122
2024-07-10T06:07:46.649,2282324224,5476.76522569859,350760,25122
2024-07-10T06:09:19.196,2283628032,5475.980574795,350760,25122
2024-07-10T06:10:51.738,2285574144,5472.85279834408,350760,25122
2024-07-10T06:12:24.283,2283976192,5472.60823182868,350760,25122
2024-07-10T06:13:56.827,2283691008,5486.43006130085,350760,25122
2024-07-10T06:15:29.371,2285191680,5456.58976196163,350760,25122
2024-07-10T06:17:01.915,2287649536,5471.70830347902,350760,25122
2024-07-10T06:18:34.460,2287375872,5477.19130642465,350760,25122
2024-07-10T06:20:07.389,2289151232,5462.57590956134,350760,25122
2024-07-10T06:21:39.548,2292434432,5478.11862112889,350760,25122
2024-07-10T06:23:12.923,2287211776,5464.78146644376,350760,25122
2024-07-10T06:24:44.637,2286787072,5457.47631557997,350760,25122
2024-07-10T06:26:17.181,2286231040,5465.0387707985,350760,25122
2024-07-10T06:27:49.725,2286203136,5465.0795318844,350760,25122
2024-07-10T06:29:22.269,2281274624,5449.65018708702,350760,25122
