time_start,time_end,T,T_er1,T_er2,EM,EM_er1,EM_er2
2024-11-01T02:00:00.000,2024-11-01T02:00:20.000,12.1678145960084,2.60224325373237,1.86760242489159,10.113939478385,7.1586233418051,46.3965273562983
2024-11-01T02:00:20.000,2024-11-01T02:00:40.000,10.8529535962145,1.4599694459789,5.75040557507685,17.9438931729522,16.8908795837345,42.9508949206358
2024-11-01T02:00:40.000,2024-11-01T02:01:00.000,11.4377698452405,0.487274930804965,0.701538267072522,11.5486979254489,4.2222801815019,4.69586728580533
2024-11-01T02:01:00.000,2024-11-01T02:01:20.000,10.0368578938763,0.397883939661179,0.455343945741557,32.1628777821341,9.88041194790091,13.519768572364
2024-11-01T02:01:20.000,2024-11-01T02:01:40.000,10.7072714832611,0.760759117614606,1.72641918094115,19.5035185069212,13.4687677978811,15.3161224757669
2024-11-01T02:01:40.000,2024-11-01T02:02:00.000,10.3382161981397,0.402184265154016,0.310663833503567,24.649661930645,5.63910042992174,9.62418912543514
2024-11-01T02:02:00.000,2024-11-01T02:02:20.000,10.0784689376886,0.4672063763576,0.696796472690808,30.1906702242714,13.1528613626337,14.4578068305417
2024-11-01T02:02:20.000,2024-11-01T02:02:40.000,10.8124970875214,0.631643152176162,16.6459546134592,17.5140790239738,17.3784233522943,11.2971822511453
2024-11-01T02:02:40.000,2024-11-01T02:03:00.000,10.5981193870037,0.614855937601931,0.814347973257343,20.1930136929978,8.85486217364864,13.2689115845597
2024-11-01T02:03:00.000,2024-11-01T02:03:20.000,10.2565276856197,1.47344376979524,0.541421355263838,23.1657365621129,8.32892082245027,76.0339369818539
2024-11-01T02:03:20.000,2024-11-01T02:03:40.000,9.6032277057674,0.402443204518862,0.426505528753586,41.0696924763275,12.5812998540799,18.0026165767534
2024-11-01T02:03:40.000,2024-11-01T02:04:00.000,9.99910912183744,0.588095716916476,0.460706720576756,27.5051461707408,9.00352949302847,18.493112619371
2024-11-01T02:04:00.000,2024-11-01T02:04:20.000,9.63895282852394,0.649221358429472,0.59674101529391,35.9334713259137,14.6045689181195,29.4891545665265
2024-11-01T02:04:20.000,2024-11-01T02:04:40.000,10.0069306874145,0.43004731550579,19.984812677985,25.6512629446364,25.4865718983519,10.8129631825089
2024-11-01T02:04:40.000,2024-11-01T02:05:00.000,9.71783995318642,0.494082029432898,3.37267628247441,31.9129991186216,28.8032555025837,16.5598463024461
2024-11-01T02:05:00.000,2024-11-01T02:05:20.000,10.9830265921582,1.64111048562367,6.21339408083459,9.74466494583916,9.23167777639793,27.3234231937518
2024-11-01T02:05:20.000,2024-11-01T02:05:40.000,9.83089193963076,0.599650609076955,0.612653335379511,21.1144833662394,8.61593379170091,15.0926101078327
2024-11-01T02:05:40.000,2024-11-01T02:06:00.000,8.90961216838056,0.390198863551436,0.917529792916277,46.9808792277111,26.9799793654631,23.17886585356
2024-11-01T02:06:00.000,2024-11-01T02:06:20.000,11.9276571871227,1.43216021865712,11.6946896963681,4.31405701472475,4.20326799887607,7.69303757320798
2024-11-01T02:06:20.000,2024-11-01T02:06:40.000,9.18136539761264,0.571932010002797,0.56364510662525,30.464644666212,12.5275721557873,21.9861081123708
2024-11-01T02:06:40.000,2024-11-01T02:07:00.000,9.06848699455743,0.538974706341104,1.96739576393956,35.645020779584,28.4659523428865,24.5377360609424
2024-11-01T02:07:00.000,2024-11-01T02:07:20.000,11.9002451244834,1.07564917582119,1.50645425047918,3.58870400993676,2.04487089125134,4.23498537431769
2024-11-01T02:07:20.000,2024-11-01T02:07:40.000,11.3418256438492,0.929543772822214,0.785685566771909,5.69388086044358,2.34628467999571,5.71915938565623
2024-11-01T02:07:40.000,2024-11-01T02:08:00.000,17.8375842463883,6.94780195029369,0.822010970582426,0.491682829643488,0.0858290890570516,10.9221119822098
