55.219,142338795.72655082,11930.58237164267
139.859,141526144.78620592,11896.47614994482
224.498,141319522.50370732,11887.7887979097
309.139,142053516.62058806,11918.620583800293
393.779,141470341.0597225,11894.13052979168
478.419,142390049.2355263,11932.730166878253
563.588,142917620.1177039,11954.8157709646
647.7,142570814.72471344,11940.302120328171
732.842,143781901.64252433,11990.909124938122
816.468,144088100.6619806,12003.670299620055
900.851,144869891.28788513,12036.190896121792
985.27,145892326.29822305,12078.589582323884
1069.651,146938744.73985237,12121.829265414208
1154.352,149026396.68588758,12207.636818233395
1238.419,151261269.76720503,12298.832048906312
1511.123,242763751.0645224,15580.877737294597
1597.931,285691956.38235885,16902.42457111875
1684.244,241748996.71562985,15548.279541982445
1771.798,224558696.3999128,14985.282659993865
1861.492,224783435.4347692,14992.77944327766
1948.328,212648174.7032594,14582.461201843103
2038.772,212101335.9981277,14563.699255276033
2125.609,205246962.33874127,14326.442766393242
2216.52,203895283.2731253,14279.190567855214
2307.433,198720590.29072785,14096.829086384208
2398.377,194280976.6445084,13938.471101398043
2489.289,189259062.9417796,13757.145886475857
2580.206,185565493.27664888,13622.242593517738
2671.114,183158649.75855225,13533.611851924536
2762.253,183904517.9635417,13561.139994983523
2852.938,180832008.75543195,13447.379252309052
2943.883,178511959.02154124,13360.836763524254
3034.795,177063657.9875996,13306.526894257555
3125.707,176244810.76302075,13275.72260794194
3216.619,175384192.40013576,13243.26970200848
3307.533,172942617.70169634,13150.764909376805
3398.284,171313416.27141657,13088.675115206144
3489.37,170024038.20013452,13039.326600715794
3579.789,167523523.86662978,12943.087879892873
3670.54,166699503.62451342,12911.21619463145
3761.326,164486141.97741577,12825.215085035252
3852.759,164245157.68061638,12815.816699711977
3942.795,161684524.6512106,12715.522979854608
4033.515,162205890.66592506,12736.007642347151
4124.236,160356258.24723193,12663.185154108422
