filter2_file,total_counts_under_contours,qs_mean_counts,contour_area,Exposure,Meas_exposure,Shutter_pos
2024-10-08T23:00:28.722,52703358.54757748,2600.930863193979,17566,1918.9,2000,180.791015625
2024-10-08T23:02:05.684,52909844.86171526,2600.752747895759,17566,1924.3000000000002,2000,180.966796875
2024-10-08T23:03:42.644,53060074.470603295,2608.714370214163,17566,1924.3000000000002,2000,180.791015625
2024-10-08T23:05:19.673,52944757.89574234,2603.1328939610103,17566,1924.3000000000002,2000,180.966796875
2024-10-08T23:06:56.664,52746406.255476475,2602.2010576640823,17566,1924.3000000000002,2000,180.791015625
2024-10-08T23:08:33.657,52930228.665191434,2614.1144430214777,17566,1924.3000000000002,2000,180.791015625
2024-10-08T23:10:10.708,52877157.96936617,2613.913142539101,17566,1924.3000000000002,2000,180.791015625
2024-10-08T23:11:47.675,52807120.97758761,2625.46225306529,17566,1924.3000000000002,2000,180.791015625
2024-10-08T23:13:24.666,52921926.761658445,2625.017841789609,17566,1924.3000000000002,2000,180.966796875
2024-10-08T23:15:01.685,52928443.12455888,2617.111532333685,17566,1924.3000000000002,2000,180.791015625
2024-10-08T23:16:38.646,52866692.73147182,2618.3056681886364,17566,1924.3000000000002,2000,180.966796875
2024-10-08T23:18:15.606,52962809.03412251,2625.175374924892,17566,1924.3000000000002,2000,180.791015625
2024-10-08T23:19:52.598,52848773.010634154,2605.1247040759727,17566,1918.9,2000,180.791015625
2024-10-08T23:21:29.559,52936621.66926273,2611.4140572624433,17566,1924.3000000000002,2000,180.791015625
2024-10-08T23:23:06.519,52958292.01494007,2628.332395040668,17566,1924.3000000000002,2000,180.791015625
2024-10-08T23:24:43.509,52838065.385962784,2605.944838114718,17566,1924.3000000000002,2000,180.966796875
2024-10-08T23:26:20.470,52722603.46993709,2621.9434376751487,17566,1924.3000000000002,2000,180.791015625
2024-10-08T23:27:57.430,52687103.73514665,2608.5483071351246,17566,1921.6000000000004,2000,180.791015625
2024-10-08T23:29:34.390,52696200.58748129,2610.1016632258734,17566,1924.3000000000002,2000,180.791015625
2024-10-08T23:31:11.349,52546391.07766869,2601.5731888444047,17566,1921.6000000000004,2000,180.791015625
2024-10-08T23:32:48.310,52756939.14446609,2613.264681883323,17566,1924.3000000000002,2000,180.966796875
2024-10-08T23:34:25.270,52575800.720086955,2601.9812235883883,17566,1924.3000000000002,2000,180.791015625
2024-10-08T23:36:02.230,52782249.14164044,2612.827171337755,17566,1924.3000000000002,2000,180.966796875
