time,exposure,region_1,region_2,region_3,region_4,region_5,region_6,region_7,region_8
2024-06-01 07:00:06.622,2.900782,2.8797112e+07,3.460894e+06,1.3146094e+07,7.305764e+06,2.072174e+06,3.948252e+06,1.57346e+06,4.939888e+06
2024-06-01 07:00:18.622,2.900807,2.9370304e+07,3.458767e+06,1.3158066e+07,7.30948e+06,2.068622e+06,3.947375e+06,1.579869e+06,4.943735e+06
2024-06-01 07:00:30.615,2.900809,2.9887084e+07,3.452057e+06,1.3185916e+07,7.305976e+06,2.069081e+06,3.955498e+06,1.57771e+06,4.93783e+06
2024-06-01 07:00:42.622,2.900808,3.0391436e+07,3.458963e+06,1.3247159e+07,7.307964e+06,2.07124e+06,3.959278e+06,1.578445e+06,4.935767e+06
2024-06-01 07:00:54.616,2.9008089999999997,3.0929472e+07,3.456302e+06,1.3357437e+07,7.314161e+06,2.074653e+06,3.960816e+06,1.576241e+06,4.94048e+06
2024-06-01 07:01:06.622,2.90081,3.1343176e+07,3.439886e+06,1.3507327e+07,7.313005e+06,2.074408e+06,3.960041e+06,1.577832e+06,4.939443e+06
2024-06-01 07:01:18.615,2.9008089999999997,3.1631902e+07,3.435584e+06,1.3649961e+07,7.309167e+06,2.071097e+06,3.955574e+06,1.580217e+06,4.942322e+06
2024-06-01 07:01:30.622,2.9008089999999997,3.185496e+07,3.437063e+06,1.3690363e+07,7.324351e+06,2.072294e+06,3.952249e+06,1.586477e+06,4.941754e+06
2024-06-01 07:01:42.646,2.9008099999999994,3.2033014e+07,3.433173e+06,1.3687784e+07,7.319785e+06,2.06957e+06,3.956914e+06,1.580714e+06,4.944611e+06
2024-06-01 07:01:54.616,2.9008089999999997,3.2156768e+07,3.432049e+06,1.3729995e+07,7.323825e+06,2.074288e+06,3.960039e+06,1.579475e+06,4.950635e+06
2024-06-01 07:02:06.622,2.90081,3.2175382e+07,3.42985e+06,1.3681507e+07,7.315868e+06,2.074717e+06,3.95638e+06,1.587807e+06,4.941563e+06
2024-06-01 07:02:18.622,2.900807,3.2087992e+07,3.429754e+06,1.3688211e+07,7.329818e+06,2.074765e+06,3.958266e+06,1.584235e+06,4.942731e+06
2024-06-01 07:02:30.622,2.9008089999999997,3.1990826e+07,3.428913e+06,1.3702546e+07,7.335392e+06,2.073856e+06,3.95512e+06,1.583919e+06,4.942272e+06
2024-06-01 07:02:42.622,2.900808,3.181613e+07,3.432543e+06,1.3704178e+07,7.334774e+06,2.080585e+06,3.954834e+06,1.581589e+06,4.939513e+06
2024-06-01 07:02:54.622,2.9008059999999998,3.1611472e+07,3.446107e+06,1.3712281e+07,7.323964e+06,2.083634e+06,3.95171e+06,1.595869e+06,4.942469e+06
2024-06-01 07:03:06.622,2.900807,3.1319112e+07,3.450187e+06,1.3728118e+07,7.327424e+06,2.080787e+06,3.957042e+06,1.593433e+06,4.940681e+06
2024-06-01 07:03:18.615,2.900806,3.1035452e+07,3.454238e+06,1.3706802e+07,7.326073e+06,2.085061e+06,3.961704e+06,1.594892e+06,4.944345e+06
2024-06-01 07:03:30.622,2.9008059999999998,3.0690744e+07,3.467579e+06,1.3711957e+07,7.337119e+06,2.082569e+06,3.9626e+06,1.59188e+06,4.939272e+06
2024-06-01 07:03:42.630,2.9008059999999998,3.0312116e+07,3.466346e+06,1.3716522e+07,7.321635e+06,2.086003e+06,3.964567e+06,1.58766e+06,4.935722e+06
2024-06-01 07:03:54.622,2.9008079999999996,2.9890622e+07,3.47305e+06,1.369448e+07,7.337592e+06,2.086735e+06,3.961771e+06,1.585454e+06,4.937433e+06
