peak_time,peak_value
2024-11-01T00:28:08.461260,0.8500000000000001
2024-11-01T00:37:08.461260,0.9166666666666666
2024-11-01T00:39:08.461260,0.8666666666666667
2024-11-01T00:46:08.461260,0.7666666666666666
2024-11-01T00:50:08.461260,0.8
2024-11-01T00:52:08.461260,0.5833333333333333
2024-11-01T01:05:08.461260,0.5333333333333333
2024-11-01T01:10:08.461260,0.43333333333333335
2024-11-01T01:25:08.461260,0.8833333333333333
2024-11-01T01:33:08.461260,10.366666666666667
2024-11-01T01:40:08.461260,0.43333333333333335
2024-11-01T01:45:08.461260,1.35
2024-11-01T01:55:08.461260,1.9333333333333333
