time,crpix1,crpix2
2024-11-11 00:30:05.318680,1280.8,1280.8
2024-11-11 00:30:23.654585,1280.3,1280.3
2024-11-11 00:30:41.988615,1281.5,1281.5
2024-11-11 00:32:08.390900,1281.2,1281.2
2024-11-11 00:33:36.135175,1281.8,1281.8
2024-11-11 00:35:03.879210,1281.8,1281.8
2024-11-11 00:36:31.655485,1283.9,1283.9
2024-11-11 00:37:59.431770,1283.9,1283.9
2024-11-11 00:39:27.207805,1283.3,1283.3
2024-11-11 00:40:54.984080,1283.2,1283.2
2024-11-11 00:42:22.760365,1283.1,1283.1
2024-11-11 00:43:50.504400,1283.4,1283.4
2024-11-11 00:45:18.280675,1282.1,1282.1
2024-11-11 00:46:46.569600,1282.6,1282.6
2024-11-11 00:48:13.803110,1284.0,1284.0
2024-11-11 00:49:41.543395,1284.2,1284.2
2024-11-11 00:51:09.287555,1284.2,1284.2
2024-11-11 00:52:37.317050,1256.9,1256.9
2024-11-11 00:54:04.775990,1282.4,1282.4
2024-11-11 00:55:32.520140,1281.8,1281.8
2024-11-11 00:57:00.264425,1281.8,1281.8
2024-11-11 00:58:28.846000,1281.0,1281.0
2024-11-11 00:59:55.816735,1281.0,1281.0
2024-11-11 01:01:23.816895,1282.6,1282.6
2024-11-11 01:02:51.849180,1282.8,1282.8
2024-11-11 01:04:19.881330,1282.2,1282.2
2024-11-11 01:05:47.945615,1282.8,1282.8
2024-11-11 01:07:16.977500,1283.4,1283.4
2024-11-11 01:08:44.420500,1281.9,1281.9
2024-11-11 01:10:12.106210,1284.0,1284.0
2024-11-11 01:11:40.138495,1219.4,1219.4
2024-11-11 01:13:08.170520,1283.0,1283.0
2024-11-11 01:14:36.202805,1283.6,1283.6
2024-11-11 01:16:04.234955,1190.0,1190.0
2024-11-11 01:17:32.267240,1279.8,1279.8
2024-11-11 01:19:00.299400,1280.6,1280.6
2024-11-11 01:20:28.331675,1278.4,1278.4
2024-11-11 01:21:56.363835,1278.6,1278.6
2024-11-11 01:23:24.395995,1275.6,1275.6
2024-11-11 01:24:52.428270,1276.2,1276.2
2024-11-11 01:26:20.460430,1277.2,1277.2
2024-11-11 01:27:48.492715,1278.6,1278.6
2024-11-11 01:29:16.524865,1279.2,1279.2
2024-11-11 01:30:44.621150,1279.3,1279.3
2024-11-11 01:32:12.941310,1277.1,1277.1
2024-11-11 01:33:41.261470,1279.4,1279.4
2024-11-11 01:35:09.581745,1278.0,1278.0
2024-11-11 01:36:37.901905,1277.4,1277.4
2024-11-11 01:38:06.222190,1278.2,1278.2
2024-11-11 01:39:34.542340,1278.1,1278.1
2024-11-11 01:41:02.862500,1279.0,1279.0
2024-11-11 01:42:31.182785,1277.6,1277.6
2024-11-11 01:43:59.502935,1277.1,1277.1
2024-11-11 01:45:27.823095,1278.5,1278.5
2024-11-11 01:46:56.143380,1278.6,1278.6
2024-11-11 01:48:24.461665,1276.6,1276.6
2024-11-11 01:49:52.781940,1277.6,1277.6
2024-11-11 01:51:21.102100,1278.8,1278.8
2024-11-11 01:52:49.422260,1278.1,1278.1
2024-11-11 01:54:17.742545,1276.4,1276.4
2024-11-11 01:55:46.626950,1277.6,1277.6
2024-11-11 01:57:14.382855,1277.0,1277.0
2024-11-11 01:58:42.703140,1275.2,1275.2
2024-11-11 02:00:11.197700,1276.8,1276.8
2024-11-11 02:01:39.628395,1276.8,1276.8
2024-11-11 02:03:08.237145,1274.4,1274.4
2024-11-11 02:04:36.845770,1274.4,1274.4
2024-11-11 02:06:05.454395,1272.2,1272.2
2024-11-11 02:07:34.631450,1272.6,1272.6
2024-11-11 02:09:02.671770,1272.6,1272.6
2024-11-11 02:10:31.280395,1273.4,1273.4
2024-11-11 02:11:59.889050,1274.6,1274.6
2024-11-11 02:13:28.497210,1276.0,1276.0
2024-11-11 02:14:57.105370,1276.4,1276.4
2024-11-11 02:16:25.713655,1242.3,1242.3
2024-11-11 02:17:54.321940,1278.6,1278.6
2024-11-11 02:19:22.930090,1276.2,1276.2
2024-11-11 02:20:51.538250,1276.9,1276.9
2024-11-11 02:22:20.146535,1278.0,1278.0
2024-11-11 02:23:48.754820,1278.4,1278.4
2024-11-11 02:25:17.362970,1279.1,1279.1
2024-11-11 02:26:45.971130,1279.6,1279.6
2024-11-11 02:28:14.579415,1281.0,1281.0
2024-11-11 02:29:43.187575,1279.2,1279.2
