time,reg1,reg2,reg3,reg4,reg5,reg6,reg7,reg8
2024-11-12 22:22:55.200000,269060.69283981784,744249.1067014196,906242.4599342667,1974999.3231420417,1789621.4225917996,360772.9016738711,1006398.0916925694,8712278.674307397
2024-11-12 22:24:25.200000,267690.6193354186,745390.9731268319,906004.9788830609,1976320.9746162067,1784734.6478476867,359961.6033099979,1004418.2614849217,8709600.53524997
2024-11-12 22:25:55.200000,270795.6159723474,743033.8123017201,902663.0657981985,1978276.984872356,1786038.0175733822,355710.8685249839,1005197.3796647631,8701791.78213318
2024-11-12 22:28:10.200000,272885.097602409,744411.4919205045,903105.3191879918,1989296.7643290085,1792813.1007154079,351671.87619705877,1002198.2186268512,8711750.056361817
2024-11-12 22:34:55.200000,276505.265544038,737686.4087057123,892256.6471076391,1985520.1438533738,1783491.8794729076,356847.129985915,1002619.780663974,8661725.371531356
2024-11-12 22:36:25.200000,278414.666888088,740158.1825224698,891999.095847856,1985424.8291518053,1791292.6470023363,357798.8254792932,1005465.9888739532,8658221.186337795
2024-11-12 22:37:55.200000,281036.41185127164,740933.7900547701,899450.3627668433,1972933.711418582,1793863.6413232405,355364.82076169644,1003030.1362870585,8655164.996134052
2024-11-12 22:39:25.200000,279665.18942341144,741113.0580257255,896438.8050209709,1971277.580590225,1787230.1935894561,358116.97820044763,1008413.3135311505,8653397.504593195
2024-11-12 22:41:40.200000,278399.2973266864,745370.0055742688,893289.3027223632,1989410.9950144906,1791621.5825749934,359295.758230776,1006689.6552280539,8681230.063364428
2024-11-12 22:43:10.200000,279599.67237616604,739205.3614069914,885962.5959248524,1981688.0565529205,1791615.2395836287,357467.998092606,1001774.9452048707,8653178.937328987
2024-11-12 22:44:40.200000,280352.7399126254,736204.1397551323,884611.190354597,1977969.5965547825,1790695.9396179635,360057.7075293065,1005180.572894587,8639314.536025293
2024-11-12 22:46:10.200000,283790.9276516693,738370.2751693943,890226.4055990966,1975650.140147903,1790376.5436088871,361738.0294193735,1007398.8212770934,8630756.306716945
2024-11-12 22:47:40.200000,284404.7138277955,740532.8974584909,890944.1638440962,1979442.216092797,1779303.987252708,358314.76218312496,1009259.6753164533,8639348.53984246
2024-11-12 22:49:10.200000,285180.17463515024,741764.493898575,887676.3631307746,1979298.2770433808,1782945.16879817,361508.8313133508,1007148.5567498442,8656722.60808513
2024-11-12 22:51:25.200000,280738.9394629908,746279.6613302502,894475.7416593975,1984179.0466791168,1789565.0121572388,362216.3697147167,1007557.8942071798,8674275.896267476
2024-11-12 22:52:55.200000,281600.52029049036,749445.4292021787,890227.9242121131,1975572.2162929722,1782887.6967532095,360610.8948925471,1005480.6981717629,8665208.261236243
2024-11-12 22:54:25.200000,279247.8300983694,746977.633280793,891976.8575671511,1978761.7555903404,1787686.1314118295,366507.9836165202,1011475.5970229695,8662445.591342296
2024-11-12 22:55:55.200000,277704.10928062163,742824.1363577099,889499.3830207314,1985213.8366479871,1788848.3478283386,366842.94194616756,1007760.3336172008,8655915.07128469
2024-11-12 22:57:25.200000,276616.3675673384,743419.9680152461,888038.6149882047,1989357.8702175294,1784139.4484541528,362401.84318068664,1009942.6515797595,8656971.330319667
2024-11-12 22:58:55.200000,280630.0805048469,746072.7998428683,888420.5669486548,1985004.5354326507,1781750.1120552542,362999.16819153784,1017322.5900060385,8655982.869494848
2024-11-12 23:01:10.200000,282758.73914582445,741552.231123845,886779.0071682819,1990955.54019606,1791492.2733358871,360687.641345465,1007755.0202792156,8627268.460569745
2024-11-12 23:02:40.200000,284935.5713872884,743921.9942454399,887374.956786828,1983346.2616232443,1791266.7525927164,358273.1672381257,1007979.2688795124,8637434.314725995
2024-11-12 23:04:10.200000,285551.8961261702,743889.2540103458,892283.9840861431,1970606.9211924863,1785309.0517275655,361360.4746175846,1013232.260723135,8646047.470991232
2024-11-12 23:05:40.200000,286790.5333932319,740608.3513234761,892251.4681683787,1968627.982689736,1790969.1612240553,363171.82363053155,1009806.3620453086,8632187.203750763
2024-11-12 23:07:10.200000,287434.0502030239,740426.5932103129,890166.5862713153,1985657.7270738427,1789234.1869887295,359419.35527719493,1006180.7989408376,8627668.258818042
2024-11-12 23:08:40.200000,290286.227468243,742105.8865504075,892493.6811004393,1991239.6989308354,1785659.100267115,357366.8320542722,1007214.0678201097,8621628.6068818
2024-11-12 23:10:55.200000,292625.24198574066,744472.7698016135,884027.953752972,1986315.5268507975,1781012.1541760848,351150.01708963246,1012645.2391768333,8620116.752930628
2024-11-12 23:12:25.200000,291083.7029309871,745031.5903680208,881723.606480964,1977760.463446739,1781938.0673197012,352706.49190334685,1006675.8407091969,8604429.733055374
2024-11-12 23:13:55.200000,291008.2899107403,744767.3922376155,883379.1569716277,1976357.032129564,1784919.8453853987,351786.9068436128,1002985.9386577257,8623148.717364829
2024-11-12 23:15:25.200000,291421.1477587105,745160.3698311867,882707.5436342005,1984266.1302727582,1792230.6485213623,351221.53779345227,1006833.4743602485,8626130.606523791
2024-11-12 23:16:55.200000,290943.3264598185,746390.3020549822,881872.0716099818,1985131.9695429215,1786600.4051529067,354058.5125710971,1005267.4860573158,8621711.246976309
2024-11-12 23:18:25.200000,293075.70726844855,744635.5379964205,873961.4379191874,1981994.4834355616,1786374.9238699614,354087.69564151147,1007556.9339252852,8605523.584768329
2024-11-12 23:20:40.200000,292516.830118702,744310.8267016092,868132.1833229886,1984850.339251503,1795922.669821072,356229.3357762741,1017470.8370907241,8600807.641554628
2024-11-12 23:22:10.200000,297725.16721985047,745391.6644729648,871435.7510312087,1979738.6983125494,1791304.6612882854,355604.19428279705,1011737.612254659,8618280.66890537
2024-11-12 23:23:40.200000,300821.57292575727,748135.322795127,862506.9813773966,1977172.265084526,1789711.7536235782,352043.38988424477,1013324.114889594,8611237.19059024
2024-11-12 23:25:10.200000,296848.3194494359,748422.0943762931,860470.0098367333,1983922.306035686,1794277.6277426942,353206.25340386486,1011268.3147332917,8607238.404570779
2024-11-12 23:26:40.200000,295890.2885690823,744607.5105690283,857579.4094999626,1983830.410279696,1793428.3630976237,358169.3807045028,1012058.8499775602,8594209.377873952
2024-11-12 23:28:10.200000,293755.503515049,744138.7673687409,858348.806662272,1978467.891316239,1794627.0978059024,360532.84624499804,1008031.235376631,8595940.681934696
2024-11-12 23:29:40.200000,293090.5398974169,743448.9306590187,857963.5324116686,1972430.4726568866,1792613.4175687772,363697.9098409974,1010418.1985690661,8569149.745712196
2024-11-12 23:31:55.300000,288945.64758989005,745704.5021976833,854539.7112755247,1979962.940228573,1794323.7311350154,364836.9110799458,1015892.1344176001,8588402.525023408
2024-11-12 23:33:25.300000,289463.1578573327,744423.3802347048,853967.4327028226,1973891.4562882925,1799548.4148278735,361467.24929161253,1013081.7899768838,8579810.079185681
2024-11-12 23:34:55.300000,283148.7992646025,745032.4013882566,854028.253924829,1967664.9397948596,1798522.2190731238,362929.6735147401,1014567.1847162659,8557666.098881507
2024-11-12 23:36:25.300000,288335.4407508144,744869.8965102892,857019.739903821,1965719.1756045255,1793119.3050032298,364619.5018875743,1019265.2051130773,8566187.674246652
2024-11-12 23:37:55.300000,290789.42923748563,747753.7459028375,851252.800651498,1970784.7216184388,1791033.4518148266,363151.29308031034,1019596.5346956452,8569280.939307546
2024-11-12 23:39:25.300000,291617.373797274,741323.9648146408,852003.6795479737,1976337.9934277323,1794215.494430185,362417.7390138799,1018058.7192133905,8567004.747000676
