time,reg1,reg2,reg3,reg4,reg5,reg6,reg7
2024-11-12 22:23:02.892885,15063531.74169248,9948752.550645486,25514946.328581773,49447015.98246808,44166980.4857373,10237044.348140212,27375161.541948896,272011615.9977105
2024-11-12 22:24:40.142055,15123021.369791092,10029540.396212425,25779821.04501505,49613938.67260599,44359011.8668758,10380468.105839247,27252135.97162278,272157627.38857126
2024-11-12 22:26:17.389360,15057102.324508617,9892135.694380868,25658528.84739229,49805634.41671126,44254427.3875525,10370275.318602707,27253839.506371982,272264228.791819
2024-11-12 22:27:54.637655,15218056.26452896,9749282.680073492,25435552.8173574,49708343.19750566,44589708.77397077,10481924.990519341,27438135.592010908,272416791.91668844
2024-11-12 22:34:55.851655,15385186.272252405,9873059.617177267,24959798.644545775,49367512.88116604,44683393.52496321,10412877.285636425,27555012.766062357,271321023.5591301
2024-11-12 22:36:33.999500,15396497.226282116,9723430.250881378,25049884.24699223,49314941.693932995,44440742.66838935,10180706.160609296,27436777.08980923,272010003.93303657
2024-11-12 22:38:10.349130,15334785.176675191,9735842.555115296,24912315.818840362,49364112.96509254,44127827.473830014,10227947.318847869,27455926.104396388,271929663.3734468
2024-11-12 22:39:47.596425,15341402.742094997,9825159.440261666,24872948.543552566,49525679.56736027,44244247.34329469,10302867.208941255,27323112.14714946,271792192.644881
2024-11-12 22:41:24.844595,15468396.823677678,9858889.768002743,24754129.752088524,49161297.3500044,43987432.55398395,10368894.799972959,27172011.26580358,270832877.6791394
2024-11-12 22:43:02.937650,15399790.672028808,9767831.783182127,24947889.229366664,49144078.22485192,44010676.29685796,10470640.801405866,27409698.216411598,271084170.16051185
2024-11-12 22:44:39.341070,15610937.592807556,9703973.14808261,25057756.02779235,49439604.85052244,44015189.50659871,10583824.498358972,27810255.418829918,271255486.26488423
2024-11-12 22:46:16.590240,15586604.679345977,9786572.083944812,24878245.249901533,49692075.51254123,44089870.714929104,10393979.196229227,27578848.906561013,271359303.7281741
2024-11-12 22:47:53.838535,15487973.95661597,9859421.045605306,24926422.96775327,49433971.6241463,44377433.2795986,10614662.824464431,27688244.54647083,271790943.95675826
2024-11-12 22:49:31.858400,15519125.037748583,9712122.98596513,24838712.726849575,49193197.748876035,44697201.5109649,10710620.19759969,27928285.770008706,270442123.58273375
2024-11-12 22:51:08.335010,15519686.435802184,9818776.464192858,24710937.67249003,49532088.58303212,44736354.54333912,10763672.803003207,27971754.648979317,270323938.7537711
2024-11-12 22:52:45.582305,15421055.412794173,9769033.916588135,24861976.093292594,49583916.67909157,44769419.425149724,10890907.76667923,28917293.45439177,270891326.4503429
2024-11-12 22:54:22.830485,15621935.166111458,9919759.300467405,24955069.280965693,49794362.93102746,44533742.69780408,10811095.716090467,30635021.503053077,271118911.94199955
2024-11-12 22:56:00.797800,15691993.310710024,9856878.447242934,24806476.878489204,50015259.93840338,44372121.23965092,10754792.709289042,29649381.189996958,271361490.89916474
2024-11-12 22:57:37.327075,15617532.19024719,9912140.314803286,25154431.527162522,49647399.02035521,44362708.382341415,10608517.932278778,28739331.002982426,271653392.72125995
2024-11-12 22:59:14.575245,15593814.248510227,9969931.273824088,25079439.372444354,50074904.87606835,44536312.4711725,10470817.765691642,27851083.076258168,272121009.74896646
2024-11-12 23:00:51.823550,15592069.739280233,9929667.925227977,25040761.358437046,50568596.70803619,44366870.65932241,10480474.443153957,27964947.989783116,272842548.0925902
2024-11-12 23:02:29.708450,15827640.97243468,9888251.308740605,25184764.492576294,50106323.88667675,44291577.13062872,10347198.829536077,27842748.813453376,272826070.07437456
2024-11-12 23:04:06.319015,15767271.207103629,9871198.730269743,24929428.059975147,50261465.429236546,44329173.97806157,10417029.184944818,27925114.336781934,272296717.6105287
2024-11-12 23:05:43.568320,16209175.310909316,9893816.220985804,24870475.003447667,50353078.51460863,44128377.49569349,10392953.34507507,27682288.48375456,272927856.89970607
2024-11-12 23:07:20.815490,15959563.679013707,9781047.046328895,24884102.232304566,50186803.57844738,44239809.74223435,10562271.223866023,27710613.888672523,272347014.5789994
2024-11-12 23:08:58.647850,15924371.64481007,9803733.423886474,24922879.888124637,50311064.837806135,44048808.570423275,10779885.184153397,27611311.969193578,272251311.3007953
2024-11-12 23:10:35.313090,15846246.213522082,9802505.961595235,24992198.66412852,50074606.68772728,43895844.94689928,10717993.482568864,27678184.308554266,272551954.6269686
2024-11-12 23:12:12.560260,15742010.210494772,9702310.950491171,24873464.232290227,50076069.62226689,43824250.43193261,10670520.905542275,27913132.447261326,272306584.3756301
2024-11-12 23:13:49.809555,15742651.705912013,9767541.660541434,24969429.128488544,50462678.79727199,44027000.95105771,10783806.32462698,27718772.345091514,272224880.45028114
2024-11-12 23:15:27.577250,15743776.640937954,9903303.866694741,24984439.977472953,50096476.36148755,44008189.83576301,10669213.109062914,27451776.86031711,272034869.4372428
2024-11-12 23:17:04.303030,15653439.836870415,9798552.901479967,25006505.28968238,50476141.069416225,44176750.40103995,10648564.957434995,27525113.053153157,272406886.18507594
2024-11-12 23:18:41.554325,15826926.284938963,9879566.464208685,25177546.875985652,50594757.945947565,44063301.31189988,10733017.865245424,27460177.881683037,272258488.82150847
2024-11-12 23:20:18.800495,15901376.353668977,9857152.650235306,25138219.32092834,50986329.04884711,43769142.46360867,10751953.665623572,27428630.08817286,273612708.8512722
2024-11-12 23:21:56.478000,15884272.974034995,9922950.995574392,25821417.250788413,52259385.75369437,43827828.22733931,10764396.134448271,27693968.91071501,275559482.24412847
2024-11-12 23:23:33.297095,15710084.207213787,9853152.399892883,27066743.44503389,52179170.470944464,44206508.40272366,10800997.723758552,27520762.24805665,276284990.7842272
2024-11-12 23:25:10.545265,15896540.454350201,9892368.390531419,28657611.143220745,52679557.91810614,44607685.04525442,10891490.518898495,27532836.85839142,279961712.8640517
