Peak time,Peak total count
2024-07-10 13:39:00,26.0
2024-07-10 13:43:00,19.0
2024-07-10 13:48:00,13.0
2024-07-10 13:50:00,11.0
2024-07-10 13:54:00,10.0
2024-07-10 13:58:00,9.0
2024-07-10 14:01:00,8.0
2024-07-10 14:05:00,28.0
2024-07-10 14:09:00,16.0
2024-07-10 14:12:00,26.0
2024-07-10 14:14:00,21.0
2024-07-10 14:16:00,22.0
2024-07-10 14:20:00,23.0
2024-07-10 14:24:00,14.0
2024-07-10 14:26:00,13.0
2024-07-10 14:30:00,14.0
2024-07-10 14:33:00,10.0
2024-07-10 14:35:00,5.0
2024-07-10 14:38:00,11.0
2024-07-10 14:41:00,11.0
2024-07-10 14:45:00,17.0
2024-07-10 14:48:00,12.0
2024-07-10 14:51:00,13.0
2024-07-10 14:53:00,16.0
2024-07-10 14:56:00,17.0
2024-07-10 15:00:00,21.0
2024-07-10 15:03:00,10.0
2024-07-10 15:09:00,15.0
2024-07-10 15:11:00,12.0
2024-07-10 15:13:00,12.0
2024-07-10 15:17:00,7.0
2024-07-10 15:19:00,8.0
2024-07-10 15:31:00,599.0
2024-07-10 15:33:00,630.0
2024-07-10 15:36:00,907.0
2024-07-10 15:45:00,15.0
2024-07-10 15:48:00,11.0
2024-07-10 15:51:00,9.0
