# Da e,FullDiskIn ensi y,ROI_In ensi y,Ou sideROI_In ensi y
2024-11-12 22:22:06.622000,45913076.3330489,5280307.5040291,40637404.8314675
2024-11-12 22:22:18.647000,45906114.7128318,5282214.33314005,40628626.7044589
2024-11-12 22:22:30.622000,45900939.4740435,5281858.76035759,40623734.6471905
2024-11-12 22:22:42.622000,45896540.0625695,5281190.02680318,40620030.1643526
2024-11-12 22:22:54.622000,45900179.0212471,5283832.2750522,40621045.4937356
2024-11-12 22:23:06.622000,45925320.6213238,5292145.47565581,40637771.849858
2024-11-12 22:23:18.624000,45903376.856185,5294202.06668908,40613926.9677931
2024-11-12 22:23:30.622000,45888099.6367525,5295889.68748718,40596965.5716382
2024-11-12 22:23:42.622000,45908362.5151597,5304041.88117808,40608956.6316347
2024-11-12 22:23:54.622000,45900736.2510114,5304110.24356578,40601328.5405945
2024-11-12 22:24:06.622000,45905445.2689368,5305727.26254191,40604439.8479717
2024-11-12 22:24:18.631000,45906658.7377511,5309525.21308961,40601863.9846248
2024-11-12 22:24:30.622000,45912397.2947947,5312114.54306397,40605010.1041858
2024-11-12 22:24:42.622000,45899752.273014,5312252.17821175,40592241.9326704
2024-11-12 22:24:54.622000,45904655.069528,5315156.33936196,40594258.1511894
2024-11-12 22:25:06.630000,45892447.9414446,5311857.3262566,40585242.8250135
2024-11-12 22:25:18.630000,45919535.7919006,5307980.1624949,40616311.2665335
2024-11-12 22:25:30.622000,45889281.1600778,5303475.86900173,40590513.3497267
2024-11-12 22:25:42.622000,45858743.8102684,5305357.33246184,40558107.979531
2024-11-12 22:25:54.622000,45887521.0547254,5312101.52876439,40580137.5770743
2024-11-12 22:26:06.622000,45860987.4467987,5308432.1632778,40557294.0187688
2024-11-12 22:26:18.622000,45877134.12942,5304249.59140202,40577531.5752043
2024-11-12 22:26:30.622000,45840324.6307105,5299153.01886773,40545873.8067405
2024-11-12 22:26:42.622000,45878999.1912503,5299714.48999474,40583976.552465
2024-11-12 22:26:54.622000,45861701.0017675,5298078.82243802,40568391.9424236
2024-11-12 22:27:06.622000,45847221.3603827,5293696.64351421,40558201.7476727
2024-11-12 22:27:18.622000,45822281.7925711,5287448.99633615,40539528.0980374
2024-11-12 22:27:30.622000,45817200.5126908,5289366.9069014,40532508.909691
