# Da e,FullDiskIn ensi y,ROI_In ensi y,Ou sideROI_In ensi y
2024-11-12 22:27:42.622000,45832050.973999,5289847.56821716,40546817.0036056
2024-11-12 22:27:54.622000,45833811.2517556,5286895.15281094,40551706.5445292
2024-11-12 22:28:06.622000,45828863.6067477,5284785.7158124,40548750.0922168
2024-11-12 22:28:18.624000,45816811.1509434,5290990.99999759,40530564.0523212
2024-11-12 22:28:30.647000,45823608.5792216,5290505.36821871,40537800.9194781
2024-11-12 22:28:42.630000,45816596.0361655,5291472.25036602,40529835.9715345
2024-11-12 22:28:54.622000,45803420.120485,5288726.97813515,40519331.5579457
2024-11-12 22:29:06.622000,45824074.661401,5290517.77869094,40538217.3597686
2024-11-12 22:29:18.630000,45816757.9985494,5297100.50000414,40524419.672529
2024-11-12 22:29:30.622000,45843539.0542183,5295732.69212538,40552561.2982737
2024-11-12 22:29:42.622000,45828916.2424701,5301297.78976537,40532295.8185701
2024-11-12 22:29:54.622000,45830791.6014256,5297957.30662602,40537469.6029824
2024-11-12 22:30:06.622000,45830250.8227115,5298144.21943936,40536833.2727748
2024-11-12 22:30:18.622000,45825902.1480841,5302284.46161383,40528248.5242717
2024-11-12 22:30:30.622000,45827940.9757127,5308546.82822366,40524089.4492914
2024-11-12 22:30:42.622000,45822807.0477839,5305433.38492883,40522117.9204142
2024-11-12 22:30:54.622000,45849879.2217655,5312162.86980255,40542324.7819287
2024-11-12 22:31:06.622000,45818951.0175391,5306868.5484869,40516717.4404891
2024-11-12 22:31:18.630000,45826728.0159158,5310576.60916812,40520912.902751
2024-11-12 22:31:30.622000,45818590.9883959,5303428.9849147,40519900.398894
2024-11-12 22:31:42.622000,45820917.3899509,5304346.11739698,40521336.8988197
2024-11-12 22:31:54.622000,45842264.6944554,5308947.17301021,40538008.688035
2024-11-12 22:32:06.622000,45800052.4688092,5302122.09098891,40502608.4444446
2024-11-12 22:32:18.622000,45799308.5978491,5306272.26131526,40497729.5699214
2024-11-12 22:32:30.622000,45774248.4503269,5298952.72742817,40480051.3518293
2024-11-12 22:32:42.622000,45772561.3922353,5294795.45803982,40482480.8826886
2024-11-12 22:32:54.622000,45782155.3082575,5296606.80101476,40490296.8967237
2024-11-12 22:33:06.622000,45750334.0490049,5291075.61711158,40463973.0389014
2024-11-12 22:33:18.622000,45780063.3004122,5292658.05539286,40492095.3774014
2024-11-12 22:33:30.622000,45790416.409982,5295471.44535022,40499679.5679494
2024-11-12 22:33:42.622000,45775956.8059664,5295222.54600587,40485479.2053561
2024-11-12 22:33:54.622000,45783882.9745609,5295675.87375908,40492986.1750548
2024-11-12 22:34:06.622000,45814523.8577868,5301110.87669076,40518234.4562068
2024-11-12 22:34:18.622000,45817428.6647042,5299934.87942697,40522299.4008838
2024-11-12 22:34:30.654000,45799501.6499056,5299726.07292128,40504547.0654019
2024-11-12 22:34:42.630000,45808978.5033162,5304134.10494375,40509580.0326327
2024-11-12 22:34:54.622000,45807547.1607051,5303712.83792286,40508617.5305686
2024-11-12 22:35:06.638000,45784808.3941763,5303703.53005906,40485801.5432438
2024-11-12 22:35:18.622000,45827275.5760451,5305778.01556897,40526246.297967
2024-11-12 22:35:30.622000,45811304.1553737,5303153.91685116,40512933.4446599
2024-11-12 22:35:42.622000,45805746.7500009,5301013.1792593,40509492.307215
2024-11-12 22:35:54.647000,45819310.2944249,5304659.72185355,40519439.294478
2024-11-12 22:36:06.622000,45817725.764038,5301243.25524378,40521259.8577206
2024-11-12 22:36:18.622000,45799241.6498924,5296434.63754981,40507528.5156946
2024-11-12 22:36:30.617000,45782138.7609441,5294279.49032896,40492602.4890607
2024-11-12 22:36:42.648000,45799069.4204614,5295082.37976567,40508727.8459914
2024-11-12 22:36:54.622000,45807404.5065214,5295879.65143096,40516358.7373577
2024-11-12 22:37:06.616000,45791979.3709946,5294152.93180776,40502614.1334887
2024-11-12 22:37:18.622000,45787005.6660779,5290093.46477421,40501758.8421289
2024-11-12 22:37:30.622000,45803060.8382452,5293906.38498553,40513956.6198539
2024-11-12 22:37:42.622000,45751862.6931511,5293714.4685227,40462905.5772375
2024-11-12 22:37:54.615000,45760897.5262801,5293145.99935948,40472525.0821074
2024-11-12 22:38:06.647000,45782874.352069,5293691.8172128,40493931.9601816
2024-11-12 22:38:18.622000,45757236.2658066,5292358.47986622,40469748.2152159
2024-11-12 22:38:30.615000,45760241.9216389,5295287.74044445,40469808.4028608
2024-11-12 22:38:42.622000,45759229.7779834,5300238.14333692,40463865.1615052
2024-11-12 22:38:54.622000,45800102.8691672,5301694.51442582,40503289.4691482
2024-11-12 22:39:06.616000,45779347.7807467,5295866.30873909,40488327.7664264
2024-11-12 22:39:18.622000,45749970.0079841,5290837.74939913,40463934.4284901
2024-11-12 22:39:30.622000,45757857.5634348,5288147.43109765,40474623.9966464
2024-11-12 22:39:42.622000,45752769.2628031,5282129.37797249,40475465.1520354
2024-11-12 22:39:54.616000,45746192.4804182,5282976.98578965,40467935.9605181
2024-11-12 22:40:06.622000,45761713.4173752,5280833.47352571,40485734.8516397
2024-11-12 22:40:18.622000,45761482.198021,5284413.15470049,40481979.1138431
2024-11-12 22:40:30.616000,45716983.714341,5278421.99303427,40443410.0841396
2024-11-12 22:40:42.622000,45743470.4473601,5278175.8517471,40470139.5110889
2024-11-12 22:40:54.622000,45725493.7651081,5275108.14362522,40455293.970019
2024-11-12 22:41:06.622000,45719256.2120511,5267946.16469472,40456118.4208485
2024-11-12 22:41:18.615000,45717225.6213174,5269706.13340173,40452370.6103065
2024-11-12 22:41:30.622000,45733654.3513244,5271350.17850421,40467221.8292234
2024-11-12 22:41:42.622000,45703243.1366547,5264985.66588481,40443186.8481908
2024-11-12 22:41:54.615000,45693690.985497,5265889.74651558,40432682.3567536
2024-11-12 22:42:06.622000,45694364.3317266,5271907.77358043,40427345.2533703
2024-11-12 22:42:18.615000,45666647.591298,5270751.87518917,40400847.4979437
2024-11-12 22:42:30.622000,45679883.479415,5275675.63840698,40409049.305789
2024-11-12 22:42:42.622000,45701203.8855836,5279651.56885714,40426402.0568304
2024-11-12 22:42:54.641000,45680539.8557282,5279487.03363756,40405932.897243
2024-11-12 22:43:06.622000,45685498.0968853,5283196.43294834,40407144.1696018
2024-11-12 22:43:18.622000,45673778.3269029,5291955.32505785,40386707.5568744
2024-11-12 22:43:30.630000,45677254.7712315,5291458.71907848,40390665.7919567
2024-11-12 22:43:42.622000,45677508.1409307,5297200.33342825,40385248.9025343
2024-11-12 22:43:54.615000,45681340.8012278,5298676.24939973,40387551.8697947
2024-11-12 22:44:06.622000,45684895.3521403,5306197.72088572,40383560.8126929
2024-11-12 22:44:18.616000,45700209.0820557,5304824.0556403,40400295.7830235
2024-11-12 22:44:30.622000,45688255.9843573,5304078.81215029,40389002.7858111
2024-11-12 22:44:42.615000,45711431.3017362,5310183.97860983,40406178.7689622
2024-11-12 22:44:54.622000,45661984.008406,5302145.22055148,40364705.4200017
2024-11-12 22:45:06.622000,45672316.1972054,5306459.79759871,40370819.9058733
2024-11-12 22:45:18.622000,45667338.2120346,5307818.05671042,40364374.7250732
2024-11-12 22:45:30.622000,45669370.7744008,5307436.43416304,40366760.2969141
2024-11-12 22:45:42.622000,45658659.1431522,5303073.11295062,40360406.1263691
2024-11-12 22:45:54.616000,45661589.1642564,5296171.01666109,40370265.8259704
2024-11-12 22:46:06.630000,45662348.8550474,5297298.13584301,40369909.4207583
2024-11-12 22:46:18.622000,45667276.3889914,5291744.20344363,40380389.5098343
2024-11-12 22:46:30.622000,45678633.3578555,5294767.53445804,40388734.8686937
2024-11-12 22:46:42.616000,45645558.8592704,5290868.47480415,40359528.7466281
2024-11-12 22:46:54.647000,45642760.7399821,5292841.59773964,40354851.6205853
2024-11-12 22:47:06.622000,45629611.6523263,5289736.50852858,40344749.0103514
2024-11-12 22:47:18.622000,45633527.0286296,5285823.17283375,40352595.305532
2024-11-12 22:47:30.622000,45631952.2775975,5285833.85962929,40350992.9756727
2024-11-12 22:47:42.615000,45638462.0104841,5283372.98941593,40359821.2063401
2024-11-12 22:47:54.622000,45635550.4994355,5288337.08233145,40352096.2501401
2024-11-12 22:48:06.622000,45630589.0667149,5291755.4791392,40343748.1362739
2024-11-12 22:48:18.616000,45642163.0916438,5287681.83939873,40359368.9132625
2024-11-12 22:48:30.622000,45639813.0569844,5288543.72466412,40356196.9775684
2024-11-12 22:48:42.622000,45641834.0904304,5288085.968809,40358585.7976477
2024-11-12 22:48:54.623000,45651768.8037744,5293792.96698054,40362852.1215372
2024-11-12 22:49:06.630000,45630790.3922228,5299494.10071447,40336188.7771372
2024-11-12 22:49:18.615000,45647758.8395373,5301641.5618728,40350998.7334415
2024-11-12 22:49:30.622000,45635483.8075808,5303483.79792821,40336886.986253
2024-11-12 22:49:42.630000,45628089.6064292,5301008.28261698,40331892.1087958
2024-11-12 22:49:54.615000,45645446.9205277,5306372.12908421,40343880.7517858
2024-11-12 22:50:06.622000,45637467.2285855,5304644.44846636,40337713.8868061
2024-11-12 22:50:18.622000,45640753.8126031,5303723.76476072,40341831.5249654
2024-11-12 22:50:30.622000,45653049.601968,5296929.57598874,40360902.5459429
2024-11-12 22:50:42.622000,45643572.3706845,5294483.12760663,40353960.7015231
2024-11-12 22:50:54.622000,45609668.8710216,5289876.52601565,40324583.826449
2024-11-12 22:51:06.622000,45623650.2314037,5295014.2634296,40333439.1671191
2024-11-12 22:51:18.616000,45625739.0702409,5292058.35823762,40338552.5168636
2024-11-12 22:51:30.622000,45613238.3977518,5290554.17623021,40327493.2828273
2024-11-12 22:51:42.622000,45623207.850862,5289916.11557869,40338119.0625822
2024-11-12 22:51:54.622000,45610122.8120071,5294582.30989994,40320369.5564117
2024-11-12 22:52:06.622000,45623151.0544596,5297977.60943196,40329989.0546492
2024-11-12 22:52:18.622000,45595329.5240065,5292612.8362248,40307495.7554447
2024-11-12 22:52:30.622000,45614472.816929,5305326.22994675,40314048.3787786
2024-11-12 22:52:42.622000,45631804.9847317,5322072.21648813,40314572.1596068
2024-11-12 22:52:54.622000,45639856.6864763,5330099.59759002,40314605.7964549
2024-11-12 22:53:06.622000,45632549.9220036,5320432.98773604,40316993.9068008
2024-11-12 22:53:18.616000,45617674.19156,5326246.59918118,40296299.0541828
2024-11-12 22:53:30.623000,45620955.779059,5321626.4618938,40304213.8738785
2024-11-12 22:53:42.624000,45626322.620679,5320511.5874206,40310650.774362
2024-11-12 22:53:54.622000,45673018.3047697,5364223.47966439,40313681.7966515
2024-11-12 22:54:06.622000,45740701.5302473,5415781.93123006,40329829.3248041
2024-11-12 22:54:18.616000,45842462.7358078,5518740.860198,40328524.7316751
2024-11-12 22:54:30.623000,45828052.2770278,5517814.0201746,40315107.2971138
2024-11-12 22:54:42.622000,45857545.0646499,5552161.7139132,40310214.8148582
2024-11-12 22:54:54.622000,45862471.9256061,5552772.27637442,40314630.4004964
2024-11-12 22:55:06.630000,45807166.0824552,5514074.16498206,40298058.1747781
2024-11-12 22:55:18.622000,45798513.0865073,5507042.60311213,40296257.4816239
2024-11-12 22:55:30.615000,45788343.5329029,5516111.89557553,40277067.9294092
2024-11-12 22:55:42.622000,45780645.5171463,5522160.45711922,40263372.374624
2024-11-12 22:55:54.642000,45757919.3436793,5495044.25883134,40267743.4356381
2024-11-12 22:56:06.622000,45726236.42043,5464206.2650197,40266897.1339708
2024-11-12 22:56:18.622000,45702377.9523596,5441867.73663434,40265316.865539
2024-11-12 22:56:30.616000,45699501.0990163,5432858.65575281,40271463.9117257
2024-11-12 22:56:42.622000,45689283.1435451,5423245.02133222,40270843.3881141
2024-11-12 22:56:54.622000,45694503.0207445,5411043.25568167,40288361.558549
2024-11-12 22:57:06.622000,45657777.0913714,5402449.89616572,40260181.4135252
2024-11-12 22:57:18.615000,45665600.0562608,5379183.10191266,40291284.6139898
2024-11-12 22:57:30.622000,45641821.113951,5373878.4889826,40272892.6831253
2024-11-12 22:57:42.615000,45635203.8213223,5363431.71620284,40276604.6051126
2024-11-12 22:57:54.622000,45658671.7889777,5362132.65838704,40301447.8204783
2024-11-12 22:58:06.622000,45642913.2362604,5357465.28340367,40290316.9981529
2024-11-12 22:58:18.622000,45617866.9493497,5345840.6805078,40276921.8570899
2024-11-12 22:58:30.615000,45633123.5618068,5347041.39411019,40290931.9061285
2024-11-12 22:58:42.647000,45616586.4696802,5339370.80241342,40282104.0177553
2024-11-12 22:58:54.641000,45604580.2916185,5340807.08058809,40268656.3871185
2024-11-12 22:59:06.615000,45622048.7207561,5336920.8791027,40290018.9466543
2024-11-12 22:59:18.623000,45596165.9914451,5336608.20414951,40264434.0686768
2024-11-12 22:59:30.622000,45595370.6212609,5335644.43745781,40264673.8219885
2024-11-12 22:59:42.622000,45587990.5321952,5333250.59690883,40259704.1207566
2024-11-12 22:59:54.615000,45578710.517017,5332754.5224983,40250920.5298584
2024-11-12 23:00:06.622000,45597095.6506811,5327813.15748014,40274218.4529327
2024-11-12 23:00:18.630000,45561627.1088746,5329582.384306,40236946.16994
2024-11-12 23:00:30.616000,45571536.1780654,5327974.1945003,40248493.4209007
2024-11-12 23:00:42.622000,45581376.300212,5328874.29816218,40257379.3159557
2024-11-12 23:00:54.622000,45589683.0400958,5331810.75277417,40262757.1854024
2024-11-12 23:01:06.615000,45581251.3617046,5328923.36395503,40257230.4790167
2024-11-12 23:01:18.622000,45577861.0888469,5325931.17356569,40256844.4639795
2024-11-12 23:01:30.622000,45564061.4787216,5327695.76141005,40241270.611726
2024-11-12 23:01:42.615000,45550588.1525577,5323904.13882069,40231584.7679485
2024-11-12 23:01:54.622000,45554894.276566,5323534.46112351,40236295.3913022
2024-11-12 23:02:06.622000,45581785.3003574,5322624.48212169,40264138.79311
2024-11-12 23:02:18.622000,45553632.0096305,5326358.42051974,40232144.6977827
2024-11-12 23:02:30.630000,45539562.9932511,5323687.53359012,40220765.5253985
2024-11-12 23:02:42.622000,45547758.5668397,5323532.51438063,40229212.990446
2024-11-12 23:02:54.622000,45558025.3152862,5328142.42528812,40234817.0852155
2024-11-12 23:03:06.615000,45529887.4991468,5331011.88715579,40203868.0657396
2024-11-12 23:03:18.622000,45565632.3924134,5339730.58262301,40230837.3822471
2024-11-12 23:03:30.615000,45561724.4752959,5333941.44605344,40232721.014845
2024-11-12 23:03:42.622000,45567886.4194756,5341658.91300234,40231124.1221755
2024-11-12 23:03:54.630000,45563555.7081583,5343964.9638821,40224535.6245807
2024-11-12 23:04:06.622000,45553524.2245189,5348388.36450886,40210084.1842539
2024-11-12 23:04:18.622000,45574323.311083,5353433.33635551,40225911.7292286
2024-11-12 23:04:30.622000,45593595.375587,5355565.86696194,40242878.2061646
2024-11-12 23:04:42.622000,45592652.1806729,5358353.39403657,40239215.7417025
2024-11-12 23:04:54.622000,45600523.9969939,5363180.24807121,40242279.6627114
2024-11-12 23:05:06.638000,45579727.086915,5358762.49708268,40225928.4322787
2024-11-12 23:05:18.622000,45579429.2356841,5349143.69494794,40235178.367727
2024-11-12 23:05:30.622000,45543432.9282818,5351016.60482704,40197334.3059443
2024-11-12 23:05:42.622000,45548019.4982039,5353488.71682789,40199411.1928516
2024-11-12 23:05:54.622000,45535838.1564664,5355352.37627712,40185371.0230052
2024-11-12 23:06:06.622000,45563679.8127951,5354187.04912958,40214433.5071488
2024-11-12 23:06:18.615000,45533244.0468496,5351206.14318587,40187036.9125492
2024-11-12 23:06:30.622000,45524956.4082463,5344926.08534676,40185059.318569
2024-11-12 23:06:42.622000,45508224.3453308,5342425.03218102,40170754.1907723
2024-11-12 23:06:54.622000,45511383.8346927,5340291.57674832,40175930.6117665
2024-11-12 23:07:06.622000,45524454.4739377,5337498.76757201,40191909.894518
2024-11-12 23:07:18.622000,45543397.2931418,5335233.62681762,40213161.9771234
2024-11-12 23:07:30.615000,45519991.3678301,5331439.81767644,40193473.6796383
2024-11-12 23:07:42.622000,45529438.8162628,5328855.45572414,40205555.8179372
2024-11-12 23:07:54.653000,45535877.6162809,5331085.31573254,40209819.5725423
2024-11-12 23:08:06.622000,45494752.0975407,5328733.18813091,40170883.8111707
2024-11-12 23:08:18.616000,45534025.3780368,5334497.73439935,40204422.540727
2024-11-12 23:08:30.622000,45557725.5481116,5332280.85706662,40230310.6270111
2024-11-12 23:08:42.639000,45521951.1724264,5333455.59934073,40193434.9359258
2024-11-12 23:08:54.622000,45536790.4748312,5331607.24467712,40210092.6027431
2024-11-12 23:09:06.622000,45528076.6250135,5333503.86241475,40199510.7516058
2024-11-12 23:09:18.630000,45524495.8421499,5336041.57229543,40193490.160226
2024-11-12 23:09:30.622000,45527969.9197836,5337182.07225168,40195759.9636235
2024-11-12 23:09:42.622000,45557418.5812974,5339855.83862531,40222577.6059311
2024-11-12 23:09:54.615000,45539582.5117141,5334290.54846014,40210205.8207873
2024-11-12 23:10:06.639000,45542744.7395147,5336730.00829433,40211016.4928168
2024-11-12 23:10:18.622000,45546874.1327761,5333862.73135596,40217938.6985358
2024-11-12 23:10:30.622000,45539054.6949818,5336291.16050935,40207707.0358366
2024-11-12 23:10:42.639000,45518822.0259606,5333734.72004225,40190103.5481183
2024-11-12 23:10:54.622000,45536824.4185441,5337272.84981034,40204507.8235881
2024-11-12 23:11:06.622000,45536853.0569568,5332937.69221143,40208829.5653199
2024-11-12 23:11:18.615000,45512876.8902688,5328109.90706631,40189769.7790041
2024-11-12 23:11:30.622000,45531400.7247024,5329803.0148474,40206664.6281324
2024-11-12 23:11:42.622000,45505451.8151516,5320250.74661031,40190120.0954089
2024-11-12 23:11:54.615000,45502602.0623447,5324882.03156673,40182657.3303144
2024-11-12 23:12:06.622000,45484393.4971928,5322329.3888743,40167111.0302133
2024-11-12 23:12:18.622000,45482026.3674181,5323702.23564238,40163241.7797025
2024-11-12 23:12:30.615000,45513372.451588,5323560.54946658,40194836.0732314
2024-11-12 23:12:42.622000,45492656.10812,5314373.59218803,40183288.7590846
2024-11-12 23:12:54.622000,45495490.1785037,5321948.92408249,40178569.9018885
2024-11-12 23:13:06.622000,45485534.3930264,5314959.40570406,40175558.4796763
2024-11-12 23:13:18.622000,45502190.9631861,5317325.79420907,40189802.8081422
2024-11-12 23:13:30.622000,45491258.727397,5313622.30628393,40182615.7732113
2024-11-12 23:13:42.622000,45488401.5638558,5320154.68948169,40173288.6235042
2024-11-12 23:13:54.615000,45520969.5612484,5323537.56374157,40202398.2548118
2024-11-12 23:14:06.638000,45504776.9943098,5324054.0985901,40185768.0939389
2024-11-12 23:14:18.622000,45517437.5693133,5328161.7304605,40194295.528405
2024-11-12 23:14:30.617000,45480268.7280921,5326596.05567614,40158647.203369
2024-11-12 23:14:42.647000,45463869.4831554,5326918.84065465,40141964.8197464
2024-11-12 23:14:54.622000,45480304.428569,5331991.16513185,40153453.9515075
2024-11-12 23:15:06.622000,45451556.4111121,5322395.8002962,40134121.3523554
2024-11-12 23:15:18.622000,45443515.4203671,5323547.78414313,40125034.2150061
2024-11-12 23:15:30.622000,45445477.1569667,5318656.56591773,40131857.1760995
2024-11-12 23:15:42.622000,45440146.0573681,5322118.41099181,40123034.5789992
2024-11-12 23:15:54.622000,45453529.2994215,5322224.34426122,40136371.8786779
2024-11-12 23:16:06.622000,45447221.8995118,5323211.67742298,40129060.5930756
2024-11-12 23:16:18.622000,45442225.6121209,5323538.70948281,40123635.9248821
2024-11-12 23:16:30.622000,45439035.6235711,5330583.95408677,40113420.684672
2024-11-12 23:16:42.646000,45441660.1339365,5335019.43271771,40111608.6787752
2024-11-12 23:16:54.615000,45486663.2331051,5338108.94870273,40153638.7824232
2024-11-12 23:17:06.622000,45449077.9539413,5330168.77891682,40123977.816978
2024-11-12 23:17:18.622000,45447134.5273578,5333317.13078354,40118914.3050589
2024-11-12 23:17:30.622000,45697568.2402664,5331447.40380174,40371166.3759403
2024-11-12 23:17:42.622000,45451518.5570778,5323960.79675122,40132684.3124953
2024-11-12 23:17:54.622000,45454536.6794701,5324651.86925715,40134998.2659824
2024-11-12 23:18:06.622000,45448919.7556932,5320883.80397128,40133117.3453752
2024-11-12 23:18:18.622000,45470722.6819839,5319984.15597471,40155823.0240301
2024-11-12 23:18:30.622000,45437866.2812985,5319794.77215752,40123144.9791366
2024-11-12 23:18:42.622000,45439292.1066639,5315271.84449954,40129010.9956784
2024-11-12 23:18:54.622000,45424020.7282322,5316413.73452226,40112689.7680553
2024-11-12 23:19:06.615000,45411193.8245533,5312112.12991825,40104187.2214971
2024-11-12 23:19:18.622000,45441410.9308531,5324167.292935,40122284.3511056
2024-11-12 23:19:30.622000,45436467.9280979,5322877.06164448,40118580.5606011
2024-11-12 23:19:42.615000,45429327.7771247,5318176.60014775,40116288.7624324
2024-11-12 23:19:54.622000,45434037.2472103,5321572.70748809,40117504.9064373
2024-11-12 23:20:06.622000,45452173.1756101,5326210.76138884,40131018.6439638
2024-11-12 23:20:18.622000,45447943.5847511,5325597.70213212,40127425.2131154
2024-11-12 23:20:30.622000,45451910.2985166,5328327.89283699,40128646.9108105
2024-11-12 23:20:42.616000,45443607.1977932,5326873.68699018,40121741.1328961
2024-11-12 23:20:54.622000,45455762.0556409,5327578.21261116,40133346.249404
2024-11-12 23:21:06.622000,45436207.8035617,5329533.66303799,40111776.909505
2024-11-12 23:21:18.622000,45438259.7754049,5345366.66925218,40097904.8702502
2024-11-12 23:21:30.622000,45437254.0313351,5343687.344352,40098699.1067218
2024-11-12 23:21:42.622000,45470272.2753249,5370454.19210095,40104995.316772
2024-11-12 23:21:54.622000,45498249.0904164,5383514.69847055,40119863.0160598
2024-11-12 23:22:06.622000,45498930.2869782,5383034.82720843,40121029.5996453
2024-11-12 23:22:18.622000,45489495.5767039,5372252.89215514,40122284.435417
2024-11-12 23:22:30.622000,45475894.5786632,5366280.57497658,40114675.4027108
2024-11-12 23:22:42.639000,45484250.0873904,5364685.61192894,40124617.602588
2024-11-12 23:22:54.615000,45483456.6852559,5358867.04916162,40129761.0055782
2024-11-12 23:23:06.622000,45471276.0016272,5364188.25281476,40112193.2721544
2024-11-12 23:23:18.622000,45489776.8805472,5378405.72425742,40116481.8541784
2024-11-12 23:23:30.616000,45509222.516281,5397064.1010128,40117256.6974205
2024-11-12 23:23:42.622000,45556796.9845342,5431288.97444445,40130585.6116581
2024-11-12 23:23:54.622000,45563373.4501157,5433077.85041339,40135378.7135258
2024-11-12 23:24:06.622000,45544787.2641152,5430290.12886189,40119647.8188625
2024-11-12 23:24:18.622000,45559353.7729215,5444696.17785034,40119788.6358685
2024-11-12 23:24:30.622000,45567779.7006323,5446437.50991113,40126468.0534201
2024-11-12 23:24:42.622000,45555735.2007857,5450435.90014958,40110433.7834768
2024-11-12 23:24:54.630000,45571272.5047617,5457061.30258293,40119317.0790565
2024-11-12 23:25:06.622000,45580042.3196811,5456451.33822719,40128682.718912
2024-11-12 23:25:18.622000,45584133.9226001,5442086.9559222,40147168.6925586
2024-11-12 23:25:30.622000,45568190.6245906,5446177.92455822,40127209.9228483
2024-11-12 23:25:42.622000,45570449.572649,5440248.25072731,40135365.1107962
2024-11-12 23:25:54.622000,45552170.1059715,5446227.22164383,40111051.5102834
2024-11-12 23:26:06.622000,45585739.2691682,5456308.77520058,40134559.8093201
2024-11-12 23:26:18.622000,45580195.9268155,5464048.08091074,40121239.2403828
2024-11-12 23:26:30.622000,45595824.8427921,5478990.97379771,40122019.7209231
2024-11-12 23:26:42.639000,45609330.1898078,5492292.927033,40122160.3728932
2024-11-12 23:26:54.615000,45627424.6520846,5506520.49433652,40126062.7755943
2024-11-12 23:27:06.622000,45628263.8657629,5514872.21703971,40118497.8650555
2024-11-12 23:27:18.622000,45616313.1464432,5519227.43458046,40102231.919241
2024-11-12 23:27:30.622000,45632797.0057678,5532169.82898031,40105748.2184946
2024-11-12 23:27:42.615000,45611471.4171213,5527771.7161793,40088787.3068404
2024-11-12 23:27:54.622000,45687139.4713482,5572462.18682938,40119915.5398126
2024-11-12 23:28:06.622000,45726969.6108903,5623684.48994338,40108511.6534334
2024-11-12 23:28:18.622000,45743004.7190804,5633271.01669656,40115011.9433517
2024-11-12 23:28:30.622000,45765220.997532,5655176.07511637,40115312.4729598
2024-11-12 23:28:42.639000,45776449.5512754,5664439.21749242,40117209.9751205
2024-11-12 23:28:54.630000,45777040.9631909,5678365.60919065,40103930.846067
2024-11-12 23:29:06.622000,45798664.2889129,5691302.02011392,40112513.3024703
2024-11-12 23:29:18.616000,45804280.5801898,5704961.6050883,40104446.5703131
2024-11-12 23:29:30.622000,45813363.0449232,5704464.94317383,40113933.6508576
2024-11-12 23:29:42.622000,45805972.6755969,5701902.97289313,40109159.718241
2024-11-12 23:29:54.622000,45814580.7779844,5700465.53028188,40119236.9771144
2024-11-12 23:30:06.622000,45833870.1431581,5691963.4346498,40147116.3435753
2024-11-12 23:30:18.622000,45793674.5201974,5681951.65707383,40116854.2486562
2024-11-12 23:30:30.622000,45787729.580413,5677314.83348795,40115618.5179095
2024-11-12 23:30:42.622000,45769853.4668975,5662813.56243049,40112209.8967932
2024-11-12 23:30:54.630000,45763164.8348012,5647154.53824958,40121139.9566392
2024-11-12 23:31:06.622000,45736773.8839538,5632029.49831356,40109854.7423172
2024-11-12 23:31:18.622000,45749698.0981303,5629946.39022579,40124893.4337248
2024-11-12 23:31:30.654000,45729436.7235273,5624233.56768426,40110287.6538639
2024-11-12 23:31:42.630000,45720344.7763515,5620480.91219635,40105075.222897
2024-11-12 23:31:54.622000,45731956.2324616,5621578.33410324,40115453.0850323
