date_time,Mean,Std,diff_count,Diff_error,Img_count,area
2024-07-10 13:31:10.902750,23.477830520393812,234.09347523683334,4215922.576171875,9782.674714592795,199544569.95507812,8260
2024-07-10 13:32:59.594590,18.685014064697608,205.9191717436629,3284377.6640625,8299.857463478666,142841795.45996094,6132
2024-07-10 13:34:49.987900,1.0327777777777778,122.2922837870779,139350.4716796875,2785.421539609456,15923246.92578125,762
2024-07-10 13:36:38.603105,-17.378663853727144,147.56157720753603,168719.2001953125,1993.0003173950372,8150520.220703125,339
2024-07-10 13:38:28.108555,-20.492626582278483,174.54474380454963,712567.7485351562,4026.996402849704,33619313.216796875,1603
2024-07-10 13:40:17.611870,-11.010316455696202,237.23109637283451,3020665.0390625,5653.325280945519,67667848.96191406,2939
2024-07-10 13:42:07.116195,-3.398505625879044,284.3029393258183,4633603.1708984375,6558.869198876339,92143011.37402344,3976
2024-07-10 13:43:56.621510,-26.441054852320676,253.36226015898185,1275904.734375,5091.384888348044,54747412.759765625,2510
2024-07-10 13:45:46.124835,-33.802760196905766,267.1832420138966,878405.1337890625,4221.388262097553,37717641.25878906,1749
2024-07-10 13:47:35.629150,-59.67800984528833,283.8103283084469,1378488.482421875,3804.066429641187,30729260.338867188,1505
2024-07-10 13:49:25.131465,-52.02008087201125,294.9854912539684,608488.28515625,3346.0337403050444,23864844.7265625,1211
2024-07-10 13:51:14.635665,-52.657267932489454,305.110401313562,1006156.8037109375,4199.083109350006,37735986.29394531,1889
2024-07-10 13:53:04.140980,-52.27869549929677,333.5836202399499,1755725.2041015625,4614.905344994816,46144643.84765625,2166
2024-07-10 13:54:53.644305,-40.5414099859353,349.45889366643524,2849703.5698242188,5192.555514425026,58337244.6328125,2743
2024-07-10 13:56:43.147620,-47.145151195499295,365.37371237424884,1829300.0537109375,5057.203047203517,55255958.216796875,2639
2024-07-10 13:58:32.653070,-64.03768635724332,346.5806482054937,1360562.1743164062,4662.053600027702,46345864.654296875,2373
2024-07-10 14:00:22.156385,-54.981308016877634,352.67005743543064,815023.6865234375,4110.833236010324,36247723.45996094,2000
2024-07-10 14:02:11.661710,-59.54508790436006,353.2469270285672,851205.1484375,4244.940164564446,38587022.28125,2035
2024-07-10 14:04:01.165025,-63.01441279887482,356.31294266139656,686660.525390625,4337.478040909383,40143818.05957031,2275
2024-07-10 14:05:50.669225,-53.65997538677919,354.7060482918151,0.0,3297.324663277578,23220909.387695312,1322
2024-07-10 14:07:40.174540,-59.751318565400844,372.6043063309422,0.0,3456.8892242365214,25472568.756835938,1354
