Date,Mean,Std,diff_count,Diff_error,Img_count,area,median,thresh_val
2024-07-10 13:38:28.108555,168.64441567877978,191.37134205090578,2619295.3823242188,5061.1270378385325,51838988.05566406,2121,126.0,882.1156412157153
2024-07-10 13:40:17.611870,176.77361998589532,228.2649722582532,5753442.258300781,6636.187760299382,89964584.86132812,3765,128.0,898.941438102298
2024-07-10 13:42:07.116195,182.0917353328184,264.1401769639802,8201280.958984375,7462.418287051549,115032804.81347656,4753,127.0,905.3543365455894
2024-07-10 13:43:56.621510,167.35368232733222,197.11884702299574,3250933.7944335938,5326.549606297582,57161855.70605469,2236,126.0,889.5285396590066
2024-07-10 13:45:46.124835,157.27146306987308,192.3820783259359,2197005.990234375,4272.667779916146,37074589.849609375,1572,111.0,933.8317272053373
2024-07-10 13:47:35.629150,134.26988468971246,230.0793997691175,2472359.6254882812,4489.857108253971,41244614.404296875,1870,119.0,941.8317272053373
2024-07-10 13:49:25.131465,141.39030257883505,230.84910990917277,1395997.8452148438,3275.432093864396,21679575.180664062,1022,130.0,975.0704225352114
2024-07-10 13:51:14.635665,142.0445701585402,244.6388120652829,2286708.73046875,3946.774491078564,31901198.288085938,1454,131.0,983.4833209785027
2024-07-10 13:53:04.140980,141.63734807709335,275.71007765389703,3832861.4331054688,4792.455619833962,47631378.28125,1995,126.0,1008.1349147516679
2024-07-10 13:54:53.644305,151.08916474075792,302.8600927585854,5750805.475830078,5831.598080801155,71274991.21191406,3131,131.0,1042.7865085248332
2024-07-10 13:56:43.147620,144.02484803893134,299.36774490789475,4485114.4560546875,4977.826066867745,52218032.185546875,2256,131.0,1057.612305411416
2024-07-10 13:58:32.653070,128.34446849498246,275.0124532805704,3056486.3295898438,4555.096470994431,43028772.71484375,1926,120.0,1024.3736100815418
2024-07-10 14:00:22.156385,136.72633269322944,275.2555574897445,2531686.4731445312,4189.010059571616,36193795.85449219,1782,132.0,1051.1994069681245
2024-07-10 14:02:11.661710,132.60520346449866,283.1487841382331,2689920.7817382812,4293.68493445944,37990947.15332031,1772,125.0,1081.263899184581
2024-07-10 14:04:01.165025,129.2304160268172,289.785983440768,2582174.5537109375,4294.7903023940535,37890429.130859375,1713,126.0,1097.0896960711639
2024-07-10 14:05:50.669225,139.60803661109261,292.02834713534685,2554948.8901367188,4424.887314003218,40267607.01660156,1769,134.0,1134.7412898443292
2024-07-10 14:07:40.174540,133.76782852136003,301.48052699717704,2210152.6552734375,3994.0480347726493,33065938.625,1490,130.0,1152.9799851742032
2024-07-10 14:09:29.677865,134.46662962408908,307.0099168473348,2722370.8481445312,4288.4298775836505,38236214.90136719,1808,131.0,1146.5670867309118
2024-07-10 14:11:19.182180,138.58475168752346,325.0917621891098,4052091.3759765625,4846.192536415184,49276337.68261719,2139,132.0,1132.7412898443292
2024-07-10 14:13:08.687630,144.33247341635348,350.14944086754394,5194053.04296875,5419.231098572691,62080956.17089844,2705,134.0,1171.8057820607858
2024-07-10 14:14:58.190945,133.1820998867352,338.40836724678934,4505273.963378906,5213.126796978544,57290335.859375,2514,131.0,1161.3928836174944
2024-07-10 14:16:47.696270,124.68055356265131,333.97508599524133,3859247.4692382812,4969.591955844946,51507075.865234375,2251,129.0,1166.8057820607858
2024-07-10 14:18:37.197585,127.78380160646739,342.43072148929343,4998991.754394531,5582.033318605936,65126404.78808594,2753,123.0,1168.218680504077
2024-07-10 14:20:26.701910,140.09498368193044,384.3738842970247,8069632.1240234375,6514.0249185886205,90197642.04882812,3695,128.0,1195.4573758339511
2024-07-10 14:22:16.207100,140.5827764226029,390.12376075623433,8316101.582519531,6596.07150558823,92630682.14941406,3789,124.0,1161.8057820607858
2024-07-10 14:24:05.710425,128.8291472167693,360.76286465979683,5727620.159667969,5685.686161157694,68260297.62011719,2828,122.0,1211.696071163825
2024-07-10 14:25:55.214740,114.4378249493972,338.69918508472983,3862862.953125,4977.365263562534,51701453.150390625,2192,115.0,1189.8702742772425
2024-07-10 14:27:44.719065,126.13016293645875,351.3116655290484,4597733.625,5224.3478273149385,57157810.00488281,2376,126.0,1208.2831727205337
2024-07-10 14:29:34.222505,121.9718364468434,348.68197013026696,4605669.852050781,5073.999201086191,54143109.30175781,2278,122.0,1159.8057820607858
2024-07-10 14:31:23.727830,128.47538856544477,354.88636682292366,4663516.049316406,5074.239992826667,54214955.619140625,2186,126.0,1215.696071163825
2024-07-10 14:33:13.236145,132.25888182298328,341.49654216748445,3790415.7958984375,4851.276703578147,49288774.1875,2119,129.0,1240.934766493699
2024-07-10 14:35:02.735460,129.34562861966535,352.50364332822096,4102514.841796875,4880.05151480906,50435295.3984375,2197,128.0,1217.696071163825
2024-07-10 14:36:52.244785,124.90646952688283,350.67386701723484,3095578.00390625,4386.47701491196,40777092.06152344,1839,127.0,1253.7605633802818
2024-07-10 14:38:41.744100,116.57827941297691,365.6036287755864,3780325.4091796875,4655.17725601411,46280654.03808594,2073,124.0,1235.934766493699
2024-07-10 14:40:31.255425,116.06649956800621,377.7958764158973,3466647.8686523438,4412.214125263823,41578192.31640625,1804,129.0,1277.9992587101556
2024-07-10 14:42:20.753740,115.8204218579702,367.20984976258904,2024682.7387695312,3539.112167576179,26543924.744140625,1288,125.0,1311.0637509266123
2024-07-10 14:44:10.260940,118.6097157389231,365.4649631612198,1400089.5615234375,2932.818674382705,18273691.52734375,909,133.0,1311.650852483321
2024-07-10 14:45:59.762255,111.39087042933772,358.3940279654071,1487809.6396484375,3004.394397422695,19276580.537109375,984,123.0,1279.412157153447
2024-07-10 14:47:49.265580,105.21130755210639,372.0659041008991,1503712.5297851562,3043.775108685444,19708592.3203125,962,121.0,1321.889547813195
2024-07-10 14:49:38.767895,98.44777149207299,377.5019915212301,1947995.650390625,3548.6494430904177,26681321.83203125,1207,116.0,1309.4766493699037
2024-07-10 14:51:28.273220,99.64124365366004,374.42354814590084,1505952.55078125,2951.4219709997483,18682181.553710938,920,122.0,1315.4766493699037
2024-07-10 14:53:17.776660,114.15650997859875,402.8852659289063,2263549.5556640625,3644.4297002766693,28078625.727539062,1336,126.0,1393.605633802817
2024-07-10 14:55:07.281985,118.7478377412983,396.2853468060699,1958888.39453125,3404.6369264746395,24616741.921875,1263,131.0,1361.5411415863603
2024-07-10 14:56:56.785300,123.25705004716822,406.64765951117965,2979947.7875976562,4032.1960073760633,34456413.27832031,1558,132.0,1392.1927353595256
2024-07-10 14:58:46.289625,119.41227778269644,394.32292693372614,2859492.16796875,4124.326114167055,35721370.15136719,1502,127.0,1394.605633802817
