Time,Total,Area,extra,Exposure,Meas_exposure
2024-07-10 05:35:07.352340,2397500928.0,2397500928.0,378831,2000,1929.7000000000003
2024-07-10 05:36:39.608500,2399425024.0,2399424768.0,378831,2000,1929.7000000000003
2024-07-10 05:38:11.864670,2401304064.0,2401304064.0,378831,2000,1932.4
2024-07-10 05:39:44.124955,2404126976.0,2404127232.0,378831,2000,1929.7000000000003
2024-07-10 05:41:16.377240,2402977792.0,2402977792.0,378831,2000,1929.7000000000003
2024-07-10 05:48:12.569105,2405101056.0,2405101056.0,378831,2000,1932.4
2024-07-10 05:49:45.135400,2406676992.0,2406676992.0,378831,2000,1929.7000000000003
2024-07-10 05:51:17.657685,2409238272.0,2409238016.0,378831,2000,1929.7000000000003
2024-07-10 05:52:50.201855,2417647104.0,2417647104.0,378831,2000,1929.7000000000003
2024-07-10 05:54:21.338015,2418871552.0,2418871552.0,378831,2000,1929.7000000000003
2024-07-10 05:54:40.218045,2420305664.0,2420305664.0,378831,2000,1929.7000000000003
2024-07-10 05:54:59.982100,2420338176.0,2420338176.0,378831,2000,1929.7000000000003
2024-07-10 05:55:19.386240,2421111808.0,2421111808.0,378831,2000,1932.4
2024-07-10 05:55:39.674280,2422023680.0,2422023680.0,378831,2000,1932.4
2024-07-10 05:55:59.962320,2425271552.0,2425271296.0,378831,2000,1932.4
2024-07-10 05:56:20.250350,2427691520.0,2427691520.0,378831,2000,1932.4
2024-07-10 05:56:40.539390,2426130688.0,2426130688.0,378831,2000,1929.7000000000003
2024-07-10 05:57:00.827420,2426287104.0,2426287104.0,378831,2000,1929.7000000000003
2024-07-10 05:57:21.119585,2425104384.0,2425104128.0,378831,2000,1932.4
2024-07-10 05:57:41.402625,2422513664.0,2422513664.0,378831,2000,1929.7000000000003
2024-07-10 05:58:01.690655,2421745152.0,2421745152.0,378831,2000,1929.7000000000003
2024-07-10 05:58:21.978695,2422241792.0,2422242048.0,378831,2000,1929.7000000000003
2024-07-10 05:58:42.266725,2422832896.0,2422833152.0,378831,2000,1929.7000000000003
2024-07-10 05:59:02.554765,2422551552.0,2422551552.0,378831,2000,1927.0
2024-07-10 05:59:22.842805,2423373056.0,2423373056.0,378831,2000,1929.7000000000003
2024-07-10 05:59:43.134960,2423692288.0,2423692288.0,378831,2000,1929.7000000000003
2024-07-10 06:00:03.415855,2423149568.0,2423149568.0,378831,2000,1929.7000000000003
2024-07-10 06:00:23.703980,2420115968.0,2420115968.0,378831,2000,1929.7000000000003
2024-07-10 06:00:43.992105,2408496640.0,2408496640.0,378831,2000,1929.7000000000003
