Date,Mean,Std,diff_count,Diff_error,Img_count
2024-07-10 04:00:11.888050,-1.47656078831986,152.178840900528,1924794.72875977,5097.38028759446,53891366.4667969
2024-07-10 04:01:42.509555,-3.41071348437694,100.057753775272,353225.883300781,2874.35403321838,16877048.0527344
2024-07-10 04:03:13.967305,-0.182324044230805,98.7900309476082,382580.629150391,3059.45397402352,19103097.8710938
2024-07-10 04:04:45.454930,5.26837824782027,148.236467036713,2476041.37402344,5283.53516330821,58307528.96875
2024-07-10 04:06:16.911680,6.62970559431514,174.945953124829,4199075.95483398,7115.10633188489,105448552.200195
2024-07-10 04:07:48.401430,4.22073431160597,202.482274569098,1660034.17016602,4090.73447479509,35128251.2832031
2024-07-10 04:09:19.857055,5.32763686181965,197.353606426174,2132149.19555664,4673.93750728379,45823532.9052734
2024-07-10 04:10:51.313805,8.64932120127445,239.059657969253,3005812.51025391,4541.47344447188,44255774.6425781
2024-07-10 04:12:22.803385,1.22162389033632,235.27774187227,1855354.51147461,3497.27191423525,26317176.1767578
2024-07-10 04:13:54.291420,-12.5653840366813,217.664587607707,625983.027832031,2380.8807731775,11963169.46875
2024-07-10 04:15:25.778705,-19.042847602229,215.893611144263,334930.998779297,1746.17502246518,6433185.40234375
2024-07-10 04:16:57.490865,-11.5812776673504,251.169719048535,1569465.85498047,3544.23799713236,26692711.8837891
2024-07-10 04:18:29.203160,-0.697347893915757,259.156282094564,3683003.21630859,4933.28780245793,52357660.3662109
2024-07-10 04:20:00.915445,14.5797519210413,299.21796635819,6320257.17749023,5971.6798752567,77642178.2753906
2024-07-10 04:21:32.627605,10.6190121716544,269.403064634817,4618026.4375,5492.7897944631,64959505.9736328
2024-07-10 04:23:04.339900,10.968825148945,256.719081388662,3564575.92211914,4925.40829600877,52083869.6357422
2024-07-10 04:24:36.509350,0.55913586797279,233.179932414459,2354841.52661133,4436.11723556936,41713113.7832031
2024-07-10 04:26:07.764220,6.74646742214866,236.255937010538,1941228.38818359,3991.14441345789,33799695.8720703
2024-07-10 04:27:39.474515,1.81150961774512,227.3551670933,1674608.42333984,3900.20371015762,32097786.4755859
2024-07-10 04:29:11.217675,1.00175803986474,235.803428259551,2206066.43286133,4222.44749281525,37864192.03125
2024-07-10 04:30:42.930960,17.9424888670674,245.567244958833,2830309.36938477,4466.02028827493,42720983.7197266
