HARP no.,NOAA_AR,T_REC
11237,13685,2024-05-19 10:00:00
11237,13685,2024-05-19 10:12:00
11237,13685,2024-05-19 10:24:00
11237,13685,2024-05-19 10:36:00
11237,13685,2024-05-19 10:48:00
11237,13685,2024-05-19 11:00:00
11237,13685,2024-05-19 11:12:00
11237,13685,2024-05-19 11:24:00
11237,13685,2024-05-19 11:36:00
11237,13685,2024-05-19 11:48:00
11237,13685,2024-05-19 12:00:00
11237,13685,2024-05-19 12:12:00
11237,13685,2024-05-19 12:24:00
11237,13685,2024-05-19 12:36:00
11237,13685,2024-05-19 12:48:00
11237,13685,2024-05-19 13:00:00
11237,13685,2024-05-19 13:12:00
11237,13685,2024-05-19 13:24:00
11237,13685,2024-05-19 13:36:00
11237,13685,2024-05-19 13:48:00
11237,13685,2024-05-19 14:00:00
11237,13685,2024-05-19 14:12:00
11237,13685,2024-05-19 14:24:00
11237,13685,2024-05-19 14:36:00
11237,13685,2024-05-19 14:48:00
11237,13685,2024-05-19 15:00:00
11237,13685,2024-05-19 15:12:00
11237,13685,2024-05-19 15:24:00
11237,13685,2024-05-19 15:36:00
11237,13685,2024-05-19 15:48:00
11237,13685,2024-05-19 16:00:00
11237,13685,2024-05-19 16:12:00
11237,13685,2024-05-19 16:24:00
11237,13685,2024-05-19 16:36:00
11237,13685,2024-05-19 16:48:00
11237,13685,2024-05-19 17:00:00
11237,13685,2024-05-19 17:12:00
11237,13685,2024-05-19 17:24:00
11237,13685,2024-05-19 17:36:00
11237,13685,2024-05-19 17:48:00
11237,13685,2024-05-19 18:00:00
11237,13685,2024-05-19 18:12:00
11237,13685,2024-05-19 18:24:00
11237,13685,2024-05-19 18:36:00
11237,13685,2024-05-19 18:48:00
11237,13685,2024-05-19 19:00:00
11237,13685,2024-05-19 19:12:00
11237,13685,2024-05-19 19:24:00
11237,13685,2024-05-19 19:36:00
11237,13685,2024-05-19 19:48:00
11237,13685,2024-05-19 20:00:00
11237,13685,2024-05-19 20:12:00
11237,13685,2024-05-19 20:24:00
11237,13685,2024-05-19 20:36:00
11237,13685,2024-05-19 20:48:00
11237,13685,2024-05-19 21:00:00
11237,13685,2024-05-19 21:12:00
11237,13685,2024-05-19 21:24:00
11237,13685,2024-05-19 21:36:00
11237,13685,2024-05-19 21:48:00
11237,13685,2024-05-19 22:00:00
