file,region_id,x0_pix,y0_pix,width_pix,height_pix,top_left_hpc_Tx,top_left_hpc_Ty,bottom_right_hpc_Tx,bottom_right_hpc_Ty,Centre_hpc_Tx,Centre_hpc_Ty,max_intensity,area_pix
aia.lev1_euv_12s.2024-07-10T133008Z.131.image_lev1.fits,1,1463,1382,746,601,-347,-37,99,-399,-123,-218,2675.1634413098864,130507
aia.lev1_euv_12s.2024-07-10T133008Z.131.image_lev1.fits,2,322,2020,594,698,-1031,405,-676,-14,-854,195,658.1170675170587,93731
aia.lev1_euv_12s.2024-07-10T133008Z.131.image_lev1.fits,3,396,1091,680,808,-988,-86,-581,-572,-785,-329,271.9237988711926,169492
aia.lev1_euv_12s.2024-07-10T133008Z.131.image_lev1.fits,4,3437,2005,305,479,838,260,1021,-27,930,116,240.7142110696838,25251
aia.lev1_euv_12s.2024-07-10T133008Z.131.image_lev1.fits,5,2351,1201,342,304,185,-325,390,-508,287,-417,222.08294024165383,13703
aia.lev1_euv_12s.2024-07-10T133008Z.131.image_lev1.fits,6,746,2173,281,277,-777,244,-609,77,-693,160,203.47088278636136,11617
