TIME,COUNTS
2024-07-10 05:40:00.003,1
2024-07-10 05:40:30.003,0
2024-07-10 05:41:00.003,1
2024-07-10 05:41:30.003,0
2024-07-10 05:42:00.003,1
2024-07-10 05:42:30.003,2
2024-07-10 05:43:00.003,0
2024-07-10 05:43:30.003,0
2024-07-10 05:44:00.003,1
2024-07-10 05:44:30.003,1
2024-07-10 05:45:00.003,0
2024-07-10 05:45:30.003,0
2024-07-10 05:46:00.003,3
2024-07-10 05:46:30.003,0
2024-07-10 05:47:00.003,0
2024-07-10 05:47:30.003,1
2024-07-10 05:48:00.003,0
2024-07-10 05:48:30.003,0
2024-07-10 05:49:00.003,4
2024-07-10 05:49:30.003,2
2024-07-10 05:50:00.003,4
2024-07-10 05:50:30.003,1
2024-07-10 05:51:00.003,1
2024-07-10 05:51:30.003,1
2024-07-10 05:52:00.003,0
2024-07-10 05:52:30.003,5
2024-07-10 05:53:00.003,1
2024-07-10 05:53:30.003,1
2024-07-10 05:54:00.003,10
2024-07-10 05:54:30.003,23
2024-07-10 05:55:00.003,14
2024-07-10 05:55:30.003,12
2024-07-10 05:56:00.003,32
2024-07-10 05:56:30.003,19
2024-07-10 05:57:00.003,13
2024-07-10 05:57:30.003,5
2024-07-10 05:58:00.003,6
2024-07-10 05:58:30.003,2
2024-07-10 05:59:00.003,0
2024-07-10 05:59:30.003,3
2024-07-10 06:00:00.003,1
2024-07-10 06:00:30.003,0
2024-07-10 06:01:00.003,0
2024-07-10 06:01:30.003,2
2024-07-10 06:02:00.003,1
2024-07-10 06:02:30.003,2
2024-07-10 06:03:00.003,1
2024-07-10 06:03:30.003,0
2024-07-10 06:04:00.003,0
2024-07-10 06:04:30.003,1
2024-07-10 06:05:00.003,2
2024-07-10 06:05:30.003,0
2024-07-10 06:06:00.003,0
2024-07-10 06:06:30.003,0
2024-07-10 06:07:00.003,0
2024-07-10 06:07:30.003,0
2024-07-10 06:08:00.003,1
2024-07-10 06:08:30.003,2
2024-07-10 06:09:00.003,1
2024-07-10 06:09:30.003,0
2024-07-10 06:10:00.003,2
