# Date,Intensity
2024-11-12 22:16:19.722790,5585246208.0
2024-11-12 22:17:56.971095,5594387456.0
2024-11-12 22:19:34.219390,5599129600.0
2024-11-12 22:21:11.467560,5596004352.0
2024-11-12 22:22:48.715865,5605275136.0
2024-11-12 22:24:25.964035,5591924736.0
2024-11-12 22:26:03.212330,5589943808.0
2024-11-12 22:27:40.460625,5587041280.0
2024-11-12 22:29:17.708680,5593267200.0
2024-11-12 22:30:34.278935,5587847168.0
2024-11-12 22:31:52.455200,5594745856.0
2024-11-12 22:33:22.567360,5574800384.0
2024-11-12 22:34:41.669500,5586176512.0
2024-11-12 22:36:18.925805,5571157504.0
2024-11-12 22:37:56.173975,5568590848.0
2024-11-12 22:39:33.422270,5567479296.0
2024-11-12 22:41:10.670575,5565390336.0
2024-11-12 22:42:47.918745,5563317760.0
2024-11-12 22:44:25.167040,5562128384.0
2024-11-12 22:46:02.415220,5570756096.0
2024-11-12 22:47:39.663515,5564558336.0
2024-11-12 22:49:16.911810,5575349248.0
2024-11-12 22:50:54.157980,5560022528.0
2024-11-12 22:52:31.406285,5574683136.0
2024-11-12 22:54:08.654580,5572436480.0
2024-11-12 22:55:45.902750,5579187712.0
2024-11-12 22:57:23.151055,5570202112.0
2024-11-12 22:59:00.399225,5569651712.0
2024-11-12 23:00:37.647520,5584426496.0
2024-11-12 23:02:14.895825,5581155840.0
2024-11-12 23:03:52.143995,5559355904.0
2024-11-12 23:05:29.392290,5558298112.0
2024-11-12 23:07:06.642460,5572361216.0
2024-11-12 23:08:43.888765,5558101504.0
2024-11-12 23:10:21.137060,5565196288.0
2024-11-12 23:11:58.385230,5561744384.0
2024-11-12 23:13:35.637535,5563486208.0
2024-11-12 23:15:12.881705,5558854144.0
2024-11-12 23:16:50.130000,5565107200.0
2024-11-12 23:18:27.378305,5570844160.0
2024-11-12 23:20:04.630475,5564835840.0
2024-11-12 23:21:41.874770,5563999744.0
2024-11-12 23:23:19.123065,5567305728.0
2024-11-12 23:24:56.371245,5569892864.0
2024-11-12 23:26:33.623540,5580827136.0
2024-11-12 23:28:10.867710,5566035968.0
2024-11-12 23:29:48.116015,5564102144.0
2024-11-12 23:31:25.364310,5567131648.0
2024-11-12 23:33:02.612480,5565293056.0
2024-11-12 23:34:39.860650,5567387648.0
2024-11-12 23:36:17.106830,5560649216.0
2024-11-12 23:37:54.355125,5555127808.0
2024-11-12 23:39:31.603420,5550056960.0
2024-11-12 23:41:08.851600,5549230592.0
2024-11-12 23:42:46.998950,5560268288.0
2024-11-12 23:44:23.348190,5558693376.0
2024-11-12 23:46:00.596370,5560120320.0
2024-11-12 23:47:37.844665,5570146816.0
2024-11-12 23:49:15.928350,5568900096.0
2024-11-12 23:50:52.341140,5571509760.0
2024-11-12 23:52:29.589435,5565242880.0
2024-11-12 23:54:06.837605,5567903232.0
2024-11-12 23:55:44.859000,5574225408.0
2024-11-12 23:57:21.334080,5579429376.0
2024-11-12 23:58:58.582375,5569208320.0
2024-11-13 00:00:35.830670,5582551040.0
2024-11-13 00:02:13.788500,5587448320.0
2024-11-13 00:03:50.327145,5574578176.0
2024-11-13 00:05:27.575440,5580364800.0
2024-11-13 00:07:04.823620,5584101376.0
2024-11-13 00:08:42.719150,5570579456.0
2024-11-13 00:10:19.319960,5572737024.0
2024-11-13 00:11:56.568255,5560938496.0
2024-11-13 00:13:33.816560,5555538432.0
2024-11-13 00:15:11.647300,5555649024.0
2024-11-13 00:16:48.313025,5574394368.0
2024-11-13 00:18:25.561205,5578642432.0
2024-11-13 00:19:03.897390,5596078592.0
2024-11-13 00:19:23.289430,5597678592.0
2024-11-13 00:19:42.681460,5604738048.0
