Date,counts
2024-07-10 03:59:00,19.0
2024-07-10 04:00:00,28.0
2024-07-10 04:01:00,26.0
2024-07-10 04:02:00,22.0
2024-07-10 04:03:00,24.0
2024-07-10 04:04:00,17.0
2024-07-10 04:05:00,12.0
2024-07-10 04:06:00,14.0
2024-07-10 04:07:00,11.0
2024-07-10 04:08:00,13.0
2024-07-10 04:09:00,12.0
2024-07-10 04:10:00,7.0
2024-07-10 04:11:00,5.0
2024-07-10 04:12:00,6.0
2024-07-10 04:13:00,2.0
2024-07-10 04:14:00,9.0
2024-07-10 04:15:00,7.0
2024-07-10 04:16:00,8.0
2024-07-10 04:17:00,3.0
2024-07-10 04:18:00,21.0
2024-07-10 04:19:00,39.0
2024-07-10 04:20:00,15.0
2024-07-10 04:21:00,7.0
2024-07-10 04:22:00,3.0
2024-07-10 04:23:00,13.0
2024-07-10 04:24:00,5.0
2024-07-10 04:25:00,14.0
2024-07-10 04:26:00,6.0
2024-07-10 04:27:00,7.0
2024-07-10 04:28:00,7.0
2024-07-10 04:29:00,5.0
2024-07-10 04:30:00,6.0
2024-07-10 04:31:00,7.0
2024-07-10 04:32:00,9.0
2024-07-10 04:33:00,16.0
2024-07-10 04:34:00,7.0
2024-07-10 04:35:00,9.0
2024-07-10 04:36:00,3.0
2024-07-10 04:37:00,8.0
2024-07-10 04:38:00,3.0
2024-07-10 04:39:00,3.0
2024-07-10 04:40:00,3.0
2024-07-10 04:41:00,1.0
2024-07-10 04:42:00,6.0
2024-07-10 04:43:00,3.0
2024-07-10 04:44:00,3.0
2024-07-10 04:45:00,21.0
2024-07-10 04:46:00,34.0
2024-07-10 04:47:00,20.0
2024-07-10 04:48:00,17.0
2024-07-10 04:49:00,19.0
2024-07-10 04:50:00,16.0
2024-07-10 04:51:00,15.0
2024-07-10 04:52:00,6.0
2024-07-10 04:53:00,11.0
2024-07-10 04:54:00,5.0
2024-07-10 04:55:00,5.0
2024-07-10 04:56:00,8.0
2024-07-10 04:57:00,11.0
2024-07-10 04:58:00,9.0
2024-07-10 04:59:00,5.0
2024-07-10 05:00:00,9.0
2024-07-10 05:01:00,9.0
2024-07-10 05:02:00,8.0
2024-07-10 05:03:00,8.0
2024-07-10 05:04:00,6.0
2024-07-10 05:05:00,12.0
2024-07-10 05:06:00,6.0
2024-07-10 05:07:00,9.0
2024-07-10 05:08:00,4.0
2024-07-10 05:09:00,5.0
2024-07-10 05:10:00,4.0
2024-07-10 05:11:00,6.0
2024-07-10 05:12:00,5.0
2024-07-10 05:13:00,1.0
2024-07-10 05:14:00,3.0
2024-07-10 05:15:00,1.0
2024-07-10 05:16:00,7.0
2024-07-10 05:17:00,4.0
2024-07-10 05:18:00,5.0
2024-07-10 05:19:00,5.0
2024-07-10 05:20:00,6.0
2024-07-10 05:21:00,5.0
2024-07-10 05:22:00,8.0
2024-07-10 05:23:00,12.0
2024-07-10 05:24:00,16.0
2024-07-10 05:25:00,12.0
2024-07-10 05:26:00,3.0
2024-07-10 05:27:00,7.0
2024-07-10 05:28:00,11.0
2024-07-10 05:29:00,15.0
2024-07-10 05:30:00,11.0
2024-07-10 05:31:00,10.0
2024-07-10 05:32:00,5.0
2024-07-10 05:33:00,6.0
2024-07-10 05:34:00,19.0
2024-07-10 05:35:00,19.0
2024-07-10 05:36:00,6.0
2024-07-10 05:37:00,10.0
2024-07-10 05:38:00,5.0
2024-07-10 05:39:00,7.0
2024-07-10 05:40:00,7.0
2024-07-10 05:41:00,4.0
2024-07-10 05:42:00,7.0
2024-07-10 05:43:00,6.0
2024-07-10 05:44:00,4.0
2024-07-10 05:45:00,9.0
2024-07-10 05:46:00,44.0
2024-07-10 05:47:00,15.0
2024-07-10 05:48:00,30.0
2024-07-10 05:49:00,75.0
2024-07-10 05:50:00,246.0
2024-07-10 05:51:00,192.0
2024-07-10 05:52:00,342.0
2024-07-10 05:53:00,651.0
2024-07-10 05:54:00,2416.0
2024-07-10 05:55:00,4318.0
2024-07-10 05:56:00,7759.0
2024-07-10 05:57:00,7447.0
2024-07-10 05:58:00,4642.0
2024-07-10 05:59:00,2834.0
2024-07-10 06:00:00,1770.0
2024-07-10 06:01:00,1184.0
2024-07-10 06:02:00,790.0
2024-07-10 06:03:00,514.0
2024-07-10 06:04:00,443.0
2024-07-10 06:05:00,414.0
2024-07-10 06:06:00,345.0
2024-07-10 06:07:00,224.0
2024-07-10 06:08:00,176.0
2024-07-10 06:09:00,142.0
2024-07-10 06:10:00,216.0
2024-07-10 06:11:00,141.0
2024-07-10 06:12:00,93.0
2024-07-10 06:13:00,72.0
2024-07-10 06:14:00,52.0
