date_time,suit_coun
2024-10-09T00:02:39,48715919.728027344
2024-10-09T00:12:21,2393155.39453125
2024-10-09T00:15:35,3448064.14453125
2024-10-09T00:23:41,5165020.556640625
2024-10-09T00:26:55,13561499.8984375
2024-10-09T00:36:37,13689218.458984375
2024-10-09T00:41:28,8688178.302734375
2024-10-09T00:46:20,21345409.294921875
2024-10-09T00:52:48,19242189.025390625
2024-10-09T00:57:39,13161279.708984375
2024-10-09T01:12:45,25286132.47265625
2024-10-09T01:15:59,13755331.096679688
2024-10-09T01:20:50,5858484.5498046875
